TimeElapsed,optimgain,TimestepsSoFar,entloss,ev_tdlam_before,meankl,EpLenMean,EpRewMean,entropy,EpTrueRewMean,EpisodesSoFar,EpThisIter,surrgain
260.5325491428375,0.21136609,116646,0.0,0.7443997263908386,0.008385072,71.625,57.773754,23.759703,348.2347686951245,810,14,0.21136609
267.13973903656006,0.20743823,119697,0.0,0.7803193032741547,0.008852858,71.575,57.55529,23.736578,350.9165805584653,823,13,0.20743823
273.75582551956177,0.19473049,122949,0.0,0.8447285145521164,0.00894916,74.7,54.5193,23.718443,368.16294697675653,837,14,0.19473049
280.40505027770996,0.21945444,125970,0.0,0.8141313344240189,0.008704927,76.175,56.979633,23.692623,376.2848631377285,851,14,0.21945444
287.1242091655731,0.20016882,129165,0.0,0.7648531943559647,0.009199439,73.55,57.069935,23.644468,364.32204967658464,865,14,0.20016882
293.7934534549713,0.19750032,132312,0.0,0.7323835790157318,0.00981951,71.175,55.28767,23.63753,349.00004359025127,880,15,0.19750032
300.3969144821167,0.22434385,135498,0.0,0.867621511220932,0.0095990775,73.075,56.31775,23.614683,360.08080555735194,894,14,0.22434385
307.01476669311523,0.20661527,138618,0.0,0.815181314945221,0.010001222,72.925,53.278156,23.60467,360.205985370132,909,15,0.20661527
313.65116119384766,0.2186907,141606,0.0,0.804682120680809,0.00937761,72.975,54.45521,23.582827,361.0049598002683,922,13,0.2186907
320.22166085243225,0.21516949,144486,0.0,0.7969794273376465,0.009457749,73.05,51.786194,23.585615,358.2522168057592,935,13,0.21516949
327.1192982196808,0.21881428,147522,0.0,0.7557359784841537,0.010095319,77.425,52.828632,23.552816,381.44568159687714,947,12,0.21881428
333.7757725715637,0.21879187,150591,0.0,0.7657136023044586,0.010123899,78.95,51.972523,23.562971,390.232152138938,960,13,0.21879187
340.4237244129181,0.23653345,153531,0.0,0.7994883507490158,0.009945687,80.45,52.2554,23.541748,395.0183505820365,972,12,0.23653345
347.038777589798,0.20478892,156324,0.0,0.8027455508708954,0.010703618,81.3,52.550987,23.520674,399.54960289224283,984,12,0.20478892
353.81974029541016,0.24312826,159234,0.0,0.707910031080246,0.010649747,78.05,47.713516,23.516035,383.4491313679473,997,13,0.24312826
360.5348014831543,0.21568675,162135,0.0,0.7129298448562622,0.011193293,74.85,45.409584,23.501972,369.41915787683035,1010,13,0.21568675
367.28339552879333,0.20943534,165303,0.0,0.7926746606826782,0.010566824,74.825,44.992065,23.477213,368.43717399260584,1024,14,0.20943534
373.9328417778015,0.21462242,168174,0.0,0.8183320313692093,0.010295894,76.65,47.152702,23.449713,377.83142767165316,1036,12,0.21462242
380.58440947532654,0.20054644,171309,0.0,0.7946450561285019,0.010456511,76.45,47.14907,23.427656,378.79484021058386,1050,14,0.20054644
387.19983768463135,0.2168672,174408,0.0,0.8702264428138733,0.011558896,77.325,44.87245,23.436016,384.7081360577687,1063,13,0.2168672
393.81058645248413,0.24790353,177351,0.0,0.8107856959104538,0.010384847,78.625,44.099987,23.450018,387.1568917668109,1075,12,0.24790353
400.37304735183716,0.23257002,180213,0.0,0.8083781898021698,0.010664378,81.15,45.741997,23.470537,399.71846531098106,1086,11,0.23257002
406.9316918849945,0.25893092,183330,0.0,0.7931844890117645,0.010545466,80.525,48.032124,23.470282,392.0587483100868,1099,13,0.25893092
