TimestepsSoFar,entloss,optimgain,EpisodesSoFar,ev_tdlam_before,meankl,EpRewMean,EpLenMean,EpThisIter,TimeElapsed,surrgain,EpTrueRewMean,entropy
853641,0.0,0.060396515,584,0.9736191350966692,0.012033034,245.25613,732.825,1,7058.946844577789,0.060396515,2637.569297610305,2.6906488
856641,0.0,0.048874803,585,-0.041669487953186035,0.010887964,250.30298,749.5,1,7083.348264932632,0.048874803,2694.790225015451,2.6537263
860940,0.0,0.049886625,587,0.7521930038928986,0.013921327,250.19775,749.7,2,7108.539353609085,0.049886625,2693.180676658961,2.6418333
863772,0.0,0.056768276,588,0.9881380740553141,0.009911303,252.03528,755.05,1,7133.244743108749,0.056768276,2711.7206641462594,2.6470606
866772,0.0,0.047412284,589,0.045775413513183594,0.00993318,251.78455,755.05,1,7158.647711277008,0.047412284,2711.102236348762,2.6563318
870750,0.0,0.05085036,591,0.7316272556781769,0.013794136,254.01753,762.25,2,7183.279316186905,0.05085036,2735.4882301829784,2.6738665
872274,0.0,0.07297782,592,0.9771559964865446,0.009552685,251.98921,755.45,1,7208.4249584674835,0.07297782,2710.523504110792,2.6683996
875274,0.0,0.04478675,593,0.02707219123840332,0.009594987,253.94308,762.6,1,7233.089919567108,0.04478675,2733.599280038633,2.6724603
879303,0.0,0.04078573,595,0.7153558731079102,0.011406202,250.25705,752.95,2,7258.2785103321075,0.04078573,2699.3792284346027,2.6639311
882051,0.0,0.058388453,596,0.9930442199110985,0.011665208,250.34087,750.85,1,7283.3209891319275,0.058388453,2696.402068467809,2.6132224
887931,0.0,0.05605661,599,0.8266544044017792,0.009330793,242.87859,724.85,3,7307.680113554001,0.05605661,2607.3298095087744,2.6483305
890931,0.0,0.05132567,600,0.7856710702180862,0.009504644,243.9125,724.85,1,7333.1726496219635,0.05132567,2609.942138512485,2.5874598
893931,0.0,0.051405102,601,-0.016848206520080566,0.014344335,244.1611,724.85,1,7357.772728919983,0.051405102,2610.763975248926,2.561628
897789,0.0,0.05789064,603,0.9727842062711716,0.010533639,243.93205,727.3,2,7383.1561760902405,0.05789064,2619.9836318383996,2.548332
900789,0.0,0.042798076,604,0.013050079345703125,0.010122299,245.49702,731.125,1,7407.387414455414,0.042798076,2634.167756465712,2.484431
903789,0.0,0.04380883,605,0.015095412731170654,0.010857187,246.42227,731.125,1,7433.35168504715,0.04380883,2636.6854131570535,2.5202434
906789,0.0,0.04797663,606,-0.024516701698303223,0.00991333,246.13321,731.125,1,7458.226189851761,0.04797663,2636.247206185838,2.503828
909789,0.0,0.039455216,607,-0.0012543201446533203,0.009717141,245.58926,732.125,1,7483.3624012470245,0.039455216,2638.0142112153235,2.504845
912789,0.0,0.05689564,608,0.015303373336791992,0.010056542,246.9532,737.775,1,7508.43879365921,0.05689564,2656.5643098961878,2.5729697
915993,0.0,0.056967657,610,0.9832468684762716,0.010166919,248.00447,740.075,2,7534.439626693726,0.056967657,2667.795068190462,2.6015418
918861,0.0,0.056254007,612,0.9900459079071879,0.010363508,245.17188,730.85,2,7559.101926803589,0.056254007,2635.132787448006,2.6583366
921861,0.0,0.041870996,613,0.6284411251544952,0.011536767,246.38257,736.375,1,7584.409783124924,0.041870996,2653.1403376727094,2.6767294
923778,0.0,0.078033864,614,0.9834622405469418,0.011902147,246.39087,737.625,1,7608.394027709961,0.078033864,2658.1560155525904,2.669844
927717,0.0,0.040477917,616,0.7760884761810303,0.010305396,248.92363,746.625,2,7634.199673652649,0.040477917,2690.5398959710683,2.6499574
930717,0.0,0.041825123,617,0.01406717300415039,0.011395387,251.65771,755.85,1,7658.788074970245,0.041825123,2721.950524635974,2.6746447
934257,0.0,0.054594714,619,0.9270483180880547,0.010133903,248.72708,747.8,2,7684.387917518616,0.054594714,2696.420832715484,2.67646
937257,0.0,0.04484483,620,-0.031554341316223145,0.010576298,250.61946,755.9,1,7708.642704248428,0.04484483,2724.5060770127443,2.657797
