EpThisIter,EpRewMean,entloss,meankl,optimgain,EpTrueRewMean,EpLenMean,surrgain,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,entropy
13,67.69546,0.0,0.010420032,0.2366176,367.3820340853075,76.4,0.2366176,1165,376.76682353019714,205923,0.8381801396608353,23.166338
13,69.12272,0.0,0.010818388,0.2408461,376.7453866064874,78.125,0.2408461,1178,382.5226831436157,209043,0.8536095172166824,23.172869
13,71.455154,0.0,0.01090133,0.20973113,388.40244288916546,80.65,0.20973113,1191,388.16751050949097,212208,0.855185478925705,23.166727
11,74.837654,0.0,0.010719487,0.23714042,408.21053051429664,84.05,0.23714042,1202,393.95831298828125,215184,0.8767794817686081,23.16691
12,75.472496,0.0,0.010676924,0.26958746,418.56864232283806,85.35,0.26958746,1214,399.76394486427307,218148,0.8333637416362762,23.170649
13,69.65144,0.0,0.011816658,0.25983873,398.90375132150496,82.0,0.25983873,1227,405.77656054496765,221187,0.8050469756126404,23.19035
13,67.49998,0.0,0.010197729,0.22677737,389.3863633161326,80.05,0.22677737,1240,411.7393102645874,224310,0.8174934089183807,23.196224
12,70.97786,0.0,0.011439567,0.26531547,396.2608695333471,82.375,0.26531547,1252,417.50691747665405,227487,0.8422811478376389,23.222902
12,72.47052,0.0,0.010741839,0.2316764,396.8739689444179,82.15,0.2316764,1264,423.200480222702,230388,0.7888161689043045,23.231852
11,76.26015,0.0,0.011357952,0.24030675,414.7698486910746,85.775,0.24030675,1275,429.03065943717957,233409,0.8691369146108627,23.224298
13,78.8462,0.0,0.011095615,0.24030331,419.7804114002344,85.55,0.24030331,1288,434.7677278518677,236562,0.8576770424842834,23.245096
11,82.199196,0.0,0.010891458,0.2900497,428.3291054993124,85.925,0.2900497,1299,440.5766701698303,239643,0.8709961920976639,23.23144
14,87.67228,0.0,0.01075978,0.24236996,421.73776030176515,84.35,0.24236996,1313,446.4168303012848,242787,0.7878713011741638,23.231525
14,91.51758,0.0,0.0102881575,0.24584109,399.9702031277996,80.05,0.24584109,1327,452.1778829097748,245985,0.783177062869072,23.233644
13,85.53339,0.0,0.0117064975,0.25640738,373.5426523985981,75.175,0.25640738,1340,457.9731307029724,248922,0.7644677311182022,23.247782
13,84.192955,0.0,0.011758635,0.29163897,382.5525047334484,77.15,0.29163897,1353,463.7851665019989,252045,0.8369259238243103,23.253828
13,77.848854,0.0,0.012598443,0.2404969,380.2577173664572,76.2,0.2404969,1366,469.48842668533325,254916,0.8709283620119095,23.238527
12,80.50191,0.0,0.011740036,0.22541149,394.944121673176,78.7,0.22541149,1378,475.3028998374939,257889,0.8472972363233566,23.238848
14,74.38997,0.0,0.011537732,0.23501518,377.30200547987835,76.125,0.23501518,1392,481.0923056602478,260997,0.8387821316719055,23.222677
12,81.42593,0.0,0.011630329,0.22908194,390.5837277727072,79.175,0.22908194,1404,486.8292591571808,263889,0.7964305728673935,23.224138
12,78.95485,0.0,0.011820412,0.2376633,387.46731341224734,78.725,0.2376633,1416,492.6002039909363,266877,0.8318803608417511,23.20736
11,89.82528,0.0,0.011287671,0.24146311,416.45812494725016,83.6,0.24146311,1427,498.53329586982727,269958,0.7638146728277206,23.205238
