meankl,EpTrueRewMean,entropy,ev_tdlam_before,EpRewMean,TimestepsSoFar,entloss,EpLenMean,TimeElapsed,optimgain,surrgain,EpThisIter,EpisodesSoFar
0.006357228,782.4178506684001,4.212788,0.01704263687133789,265.11044,33201,0.0,731.8,937.8111562728882,0.03177312,0.03177312,1,121
0.0063578817,804.2365534676875,4.283163,0.4643373489379883,270.48383,34164,0.0,753.925,965.6132323741913,0.064352416,0.064352416,1,122
0.006765014,815.0155490540764,4.2670856,0.32298678159713745,271.558,35127,0.0,769.225,995.2340874671936,0.051256362,0.051256362,2,124
0.006761063,826.7136011613247,4.233847,0.3861057162284851,272.2937,36113,0.0,783.15,1023.6944937705994,0.052962113,0.052962113,2,126
0.0069906116,845.2014162760239,4.2228513,-0.015912175178527832,275.44775,37113,0.0,804.2,1052.4715421199799,0.02835396,0.02835396,1,127
0.0068824026,864.6421607066128,4.2374578,-0.031191587448120117,279.41217,38113,0.0,825.775,1082.5151755809784,0.038792618,0.038792618,1,128
0.006222906,893.0684967891633,4.245512,0.14080363512039185,283.92252,39754,0.0,857.0,1110.1293983459473,0.05300983,0.05300983,2,130
0.00636549,910.3205042098541,4.2755456,-0.007230520248413086,286.544,40754,0.0,876.625,1139.638144493103,0.033307355,0.033307355,1,131
0.006974215,898.8588038954362,4.2827516,0.14325159788131714,279.21954,41427,0.0,869.05,1166.9637784957886,0.058121644,0.058121644,2,133
0.005390355,896.898219999592,4.292442,0.5885089039802551,274.20636,42284,0.0,865.475,1196.2286269664764,0.063922584,0.063922584,1,134
0.0064842235,867.6215238384677,4.297622,0.6436754465103149,254.3588,43756,0.0,835.8,1226.2251179218292,0.057061516,0.057061516,3,137
0.007299507,864.1872513954498,4.2835255,0.7732575982809067,248.94438,44570,0.0,831.15,1254.0435128211975,0.05910162,0.05910162,1,138
0.008080543,847.8903229121381,4.259735,0.5691379308700562,236.12956,45787,0.0,811.575,1284.0579524040222,0.06030935,0.06030935,2,140
0.007640107,848.1465932186308,4.286562,-0.03931224346160889,231.15085,46787,0.0,811.575,1311.8342583179474,0.033129193,0.033129193,1,141
0.0070932563,847.5126356817682,4.290577,-0.2271888256072998,225.7738,47787,0.0,811.575,1340.5891726016998,0.047189247,0.047189247,1,142
0.007889882,869.8664091001734,4.2706027,-0.026924848556518555,229.1591,48787,0.0,832.5,1371.2069218158722,0.03649625,0.03649625,1,143
0.009169621,835.5889052048685,4.2928224,0.21130985021591187,211.7395,50214,0.0,793.175,1399.0614585876465,0.070549846,0.070549846,3,146
0.0067677572,794.2065297408478,4.298038,0.6179850697517395,197.15695,51177,0.0,742.25,1429.1974387168884,0.05343282,0.05343282,3,149
0.0071314694,727.0971947108391,4.2971873,0.4855394959449768,173.81381,52216,0.0,668.225,1456.992660522461,0.05945909,0.05945909,4,153
0.006781198,696.0355681905282,4.3033566,0.546226292848587,162.69005,53660,0.0,629.325,1486.6890895366669,0.06548071,0.06548071,3,156
0.0076339864,649.3292866621144,4.3123474,0.9050674363970757,152.03606,54919,0.0,567.95,1516.3791484832764,0.071081765,0.071081765,4,160
0.0074724676,614.3074934861554,4.3132896,0.957445714622736,146.15083,55865,0.0,518.45,1544.7705581188202,0.07119019,0.07119019,4,164
0.009002349,537.7578332214769,4.2994423,0.6032094657421112,130.59052,56888,0.0,428.35,1574.4654033184052,0.059191655,0.059191655,6,170
0.008168007,502.0191735437167,4.3128605,0.9590912684798241,125.3857,57950,0.0,374.775,1602.2782294750214,0.06657792,0.06657792,5,175
0.007609844,460.81903302680183,4.2895055,0.7336658239364624,117.22996,58777,0.0,324.75,1631.532143354416,0.06087461,0.06087461,5,180
0.008288326,398.24459590213655,4.270127,0.9813580419868231,108.31742,59780,0.0,244.975,1660.9158091545105,0.060731415,0.060731415,5,185
0.0071787904,398.360654169999,4.2598476,0.9685734584927559,105.19863,60892,0.0,236.425,1689.7877395153046,0.062206544,0.062206544,5,190
