entloss,EpisodesSoFar,ev_tdlam_before,EpThisIter,TimestepsSoFar,EpLenMean,entropy,TimeElapsed,meankl,EpRewMean,surrgain,optimgain,EpTrueRewMean
0.0,439,0.9299827739596367,4,306219,252.775,2.9362166,2583.3672885894775,0.009517876,57.391846,0.06648776,0.06648776,802.5611053031855
0.0,443,0.8979014381766319,4,309174,255.575,2.9190254,2609.4212143421173,0.009577564,58.861034,0.06081742,0.06081742,813.1604982577952
0.0,446,0.9113313108682632,3,312111,264.5,2.9021966,2633.9072918891907,0.009261434,63.064636,0.059757415,0.059757415,849.149598135685
0.0,450,0.9195371270179749,4,315450,268.55,2.8717496,2659.9525599479675,0.009293679,66.43556,0.052673288,0.052673288,869.1622914615818
0.0,453,0.8042804449796677,3,318162,272.875,2.8873367,2684.1897180080414,0.009589124,69.65431,0.05179191,0.05179191,887.2113145502547
0.0,456,0.8553619533777237,3,320634,274.925,2.8463984,2710.314629793167,0.009875592,72.142395,0.056754854,0.056754854,899.7016713983033
0.0,459,0.7649223059415817,3,323547,279.675,2.8838534,2735.150919675827,0.010058989,74.14785,0.055482686,0.055482686,918.0017933112856
0.0,463,0.8591257333755493,4,326478,274.775,2.8909967,2760.906396150589,0.009723074,74.470985,0.06618662,0.06618662,905.9775360024399
0.0,467,0.8583760261535645,4,330378,282.325,2.8348885,2785.6479671001434,0.010445627,77.54186,0.054911204,0.054911204,935.4802124430046
0.0,469,0.9303200393915176,2,332613,287.175,2.8428228,2811.363779067993,0.009294375,80.5216,0.05723552,0.05723552,956.7086592265903
0.0,474,0.8410554975271225,5,335295,274.55,2.7921355,2836.1339626312256,0.010204735,76.870094,0.06903264,0.06903264,913.6114270295999
0.0,477,0.9220201596617699,3,338598,284.0,2.7717085,2861.828120470047,0.009089936,82.22766,0.066953436,0.066953436,952.8142287466235
0.0,481,0.9286253228783607,4,342570,291.825,2.773281,2886.988739013672,0.009642951,87.29384,0.06544234,0.06544234,988.6998876531441
0.0,485,0.8665522933006287,4,344940,281.7,2.739855,2912.5796236991882,0.009189669,84.55861,0.060711097,0.060711097,956.6802382181586
0.0,488,0.9468916691839695,3,347820,284.3,2.7365553,2937.3440330028534,0.010085918,87.30565,0.06457792,0.06457792,971.7153237853099
0.0,492,0.8577880859375,4,350856,280.0,2.7713645,2963.0146164894104,0.010153692,85.38313,0.066071905,0.066071905,955.868477600405
0.0,496,0.8526448309421539,4,354936,285.85,2.7099752,2987.8931159973145,0.009729822,87.776955,0.05764565,0.05764565,973.8046046697613
0.0,499,0.9505773708224297,3,357501,282.95,2.665122,3013.5605177879333,0.00891128,88.47246,0.059492536,0.059492536,969.210508747836
0.0,502,0.9218877106904984,3,359925,286.075,2.6412973,3038.2703227996826,0.009697497,91.290245,0.055534005,0.055534005,980.5645978498931
0.0,505,0.902194544672966,3,362526,284.925,2.5921648,3064.025252342224,0.010508985,93.69082,0.06549553,0.06549553,983.0287615236039
