TimestepsSoFar,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpThisIter,EpRewMean,EpisodesSoFar,entloss,optimgain,TimeElapsed,entropy,surrgain
331149,712.175,1752.0757733623764,-0.001912832260131836,0.009119065,1,1752.0757733623764,476,0.0,0.041929714,391.09095573425293,3.3324065,0.041929714
334149,716.075,1764.094366218232,-0.0007642507553100586,0.009980965,1,1764.094366218232,477,0.0,0.04148773,394.7632975578308,3.397744,0.04148773
337938,717.925,1772.645872582664,0.7131215035915375,0.008244643,2,1772.645872582664,479,0.0,0.047335915,398.36258125305176,3.3524482,0.047335915
340938,730.375,1807.412297633326,0.011842429637908936,0.008904861,1,1807.412297633326,480,0.0,0.028099779,401.92017817497253,3.35917,0.028099779
343938,749.05,1855.9612585226173,-0.006267070770263672,0.011901762,1,1855.9612585226173,481,0.0,0.047617428,405.5894830226898,3.3348157,0.047617428
346938,764.95,1896.4294556333873,0.9288459494709969,0.010026141,1,1896.4294556333873,482,0.0,0.06241104,409.1494302749634,3.3307502,0.06241104
347790,768.55,1906.5029338119105,0.9280635938048363,0.009177624,1,1906.5029338119105,483,0.0,0.04794266,412.7333285808563,3.341461,0.04794266
350790,791.55,1964.7617935020753,-0.12679505348205566,0.010444817,1,1964.7617935020753,484,0.0,0.060245536,416.40577244758606,3.3048005,0.060245536
353790,809.0,2011.60384988668,0.48892295360565186,0.009483041,1,2011.60384988668,485,0.0,0.050540924,419.89703702926636,3.268858,0.050540924
356790,825.35,2053.4654001949707,-0.056908488273620605,0.008676133,1,2053.4654001949707,486,0.0,0.047181275,423.4387547969818,3.2836308,0.047181275
360135,838.5,2088.860720809582,0.8680108040571213,0.009057272,2,2088.860720809582,488,0.0,0.05187345,426.95378065109253,3.2816234,0.05187345
363135,851.95,2126.9517495708465,0.6158490180969238,0.00934292,1,2126.9517495708465,489,0.0,0.05086876,430.50787568092346,3.2705312,0.05086876
366504,840.7,2101.556830635784,0.5479543209075928,0.009280598,2,2101.556830635784,491,0.0,0.050730962,434.1230216026306,3.280058,0.050730962
370182,822.4,2066.6293251655393,0.07375156879425049,0.008182776,2,2066.6293251655393,493,0.0,0.058102496,437.6909053325653,3.2814329,0.058102496
373557,808.2,2035.4566046727268,0.4529876112937927,0.009370303,2,2035.4566046727268,495,0.0,0.056798857,441.29022431373596,3.2241492,0.056798857
376557,808.2,2041.4280023764732,0.0942162275314331,0.008700287,1,2041.4280023764732,496,0.0,0.057389267,444.88726115226746,3.2713952,0.057389267
380388,790.125,2003.8135387796458,0.6972720921039581,0.008863224,2,2003.8135387796458,498,0.0,0.034999423,448.45447754859924,3.275809,0.034999423
383751,768.15,1950.8840619147352,0.3861914277076721,0.009202026,2,1950.8840619147352,500,0.0,0.056968983,452.16274094581604,3.2810667,0.056968983
386751,768.15,1952.5859074521709,-0.06952250003814697,0.009781872,1,1952.5859074521709,501,0.0,0.03698888,455.74120354652405,3.2310698,0.03698888
389751,789.9,2015.0610356353275,-0.1502063274383545,0.009272203,1,2015.0610356353275,502,0.0,0.04712794,459.2994775772095,3.210701,0.04712794
393126,768.025,1956.855650073511,0.323186993598938,0.010006136,2,1956.855650073511,504,0.0,0.051908594,462.94052052497864,3.2231066,0.051908594
396126,768.025,1961.7448048625515,-0.05490767955780029,0.009268535,1,1961.7448048625515,505,0.0,0.043353442,466.6514644622803,3.2046816,0.043353442
399126,768.025,1967.0747550469932,-0.11864101886749268,0.009620119,1,1967.0747550469932,506,0.0,0.043051824,470.21668815612793,3.1604006,0.043051824
402126,771.875,1975.8321200688704,-0.07150912284851074,0.010084847,1,1975.8321200688704,507,0.0,0.045761213,473.7330768108368,3.1564121,0.045761213
