EpThisIter,meankl,EpisodesSoFar,EpTrueRewMean,surrgain,EpRewMean,entloss,EpLenMean,TimestepsSoFar,ev_tdlam_before,TimeElapsed,entropy,optimgain
15,0.009218265,776,387.62899301006183,0.19807042,18.080986,0.0,76.75,119013,0.6594444513320923,1201.1121327877045,23.320927,0.19807042
13,0.009496309,789,392.5275371469909,0.17792584,18.344223,0.0,76.9,122061,0.7777794897556305,1228.8673429489136,23.329353,0.17792584
14,0.009119545,803,384.0836734827555,0.19226328,17.830107,0.0,75.3,125316,0.7845470309257507,1257.120613336563,23.304783,0.19226328
12,0.00889539,815,398.2815191284736,0.20023209,18.21109,0.0,78.45,128211,0.7040889263153076,1284.9868569374084,23.302883,0.20023209
13,0.009080272,828,390.19897160998124,0.20087297,17.788715,0.0,77.75,131187,0.6911841332912445,1313.8089232444763,23.289015,0.20087297
12,0.0093100155,840,400.07426981755674,0.19205946,17.647484,0.0,79.05,134148,0.7850097268819809,1340.7013692855835,23.272463,0.19205946
13,0.009148809,853,403.8997064920727,0.18144402,17.757654,0.0,79.475,137238,0.72906094789505,1370.058146238327,23.249477,0.18144402
13,0.009606875,866,401.8019702825175,0.17742357,17.092833,0.0,79.9,140229,0.7773488014936447,1398.0559985637665,23.25386,0.17742357
14,0.008853199,880,384.0702781285896,0.19136626,14.884213,0.0,76.35,143310,0.7297560572624207,1426.1231548786163,23.234089,0.19136626
13,0.009705717,893,376.3528417821953,0.20413044,15.236259,0.0,75.275,146271,0.7338413894176483,1454.8751211166382,23.225267,0.20413044
12,0.010278562,905,387.65207241064456,0.18527994,17.10618,0.0,76.75,149223,0.6918732225894928,1482.6745402812958,23.235842,0.18527994
13,0.009614783,918,397.0889032311753,0.1940292,18.12193,0.0,78.35,152292,0.7755723148584366,1511.8122205734253,23.204008,0.1940292
13,0.009929062,931,398.62720944970226,0.19172077,17.544138,0.0,79.3,155409,0.7854409068822861,1539.1105422973633,23.176023,0.19172077
12,0.010461931,943,395.6413848272058,0.19841228,16.24521,0.0,78.9,158334,0.8169230222702026,1568.1102087497711,23.159939,0.19841228
15,0.009140947,958,386.9354498418292,0.18403445,16.19717,0.0,76.45,161466,0.7842783182859421,1595.7904922962189,23.154118,0.18403445
13,0.010271044,971,388.4184816296608,0.2252498,16.672728,0.0,75.95,164523,0.6294849216938019,1624.783143043518,23.136677,0.2252498
14,0.009524559,985,389.5878186514218,0.22667181,16.721846,0.0,75.275,167712,0.7813480645418167,1652.7396802902222,23.146473,0.22667181
13,0.009869691,998,406.1528643489968,0.20137101,17.526955,0.0,78.125,170841,0.8158035129308701,1681.3171751499176,23.16211,0.20137101
15,0.009318892,1013,392.32102801576,0.18685848,16.353888,0.0,75.475,174117,0.8424911946058273,1709.6193854808807,23.186428,0.18685848
15,0.010174476,1028,367.60557949937476,0.22606139,14.516806,0.0,71.0,177159,0.6068713068962097,1738.2092125415802,23.186888,0.22606139
14,0.010326053,1042,367.132238903111,0.22524509,13.676697,0.0,70.5,180300,0.7739835530519485,1766.7451796531677,23.197414,0.22524509
12,0.009962724,1054,392.9077700880533,0.2217821,15.896723,0.0,76.55,183522,0.7170635461807251,1794.8018872737885,23.197008,0.2217821
13,0.009911715,1067,416.7247953915902,0.21155366,16.491913,0.0,80.775,186585,0.6163088977336884,1823.3889663219452,23.21048,0.21155366
13,0.010709778,1080,418.2829831127803,0.303257,17.172514,0.0,82.175,189609,0.6606840193271637,1851.4475123882294,23.203035,0.303257
13,0.010890555,1093,410.43012606284685,0.24926719,15.7523985,0.0,80.2,192903,0.7157784402370453,1879.901534318924,23.211393,0.24926719
14,0.0111628035,1107,407.7398613459588,0.20262185,16.437572,0.0,79.35,196107,0.8002106100320816,1907.7787878513336,23.216465,0.20262185
13,0.009463709,1120,415.68393587086194,0.20596202,16.127792,0.0,79.375,199134,0.6569022834300995,1936.5596005916595,23.209877,0.20596202
13,0.0102597475,1133,418.5669054146697,0.20122106,16.309063,0.0,79.375,202428,0.8067312687635422,1964.4091267585754,23.22121,0.20122106
13,0.010059134,1146,414.7774600929035,0.23146874,16.361013,0.0,79.575,205461,0.7941932529211044,1992.7242667675018,23.22245,0.23146874
15,0.011200122,1161,393.5309260573215,0.19218817,15.489659,0.0,76.65,208662,0.7656939923763275,2021.5869662761688,23.229643,0.19218817
13,0.010724882,1174,386.85305387905487,0.23914781,16.991436,0.0,75.85,211719,0.6595326662063599,2049.6221764087677,23.244095,0.23914781
13,0.0108029265,1187,386.6110399777037,0.2382071,17.071758,0.0,75.825,214842,0.6933115124702454,2077.7408192157745,23.235111,0.2382071
12,0.010091071,1199,401.64016179524833,0.19306703,19.106121,0.0,79.7,217836,0.7348884046077728,2105.505916595459,23.232775,0.19306703
12,0.011141214,1211,408.53689281494934,0.2447835,19.906738,0.0,81.425,220785,0.6809485554695129,2134.326720237732,23.241707,0.2447835
13,0.011517872,1224,412.9984974484032,0.20551643,18.93938,0.0,82.825,223920,0.8036535531282425,2162.079122543335,23.23336,0.20551643
14,0.0109782405,1238,402.91905992155023,0.22045183,19.2332,0.0,79.575,227151,0.7255269587039948,2190.277224302292,23.237072,0.22045183
13,0.0112989135,1251,390.7743300021304,0.21742049,16.935291,0.0,76.825,230004,0.8053022474050522,2218.804629802704,23.244465,0.21742049
13,0.0104674,1264,397.5602604514115,0.20089275,17.607069,0.0,77.825,233259,0.7472418248653412,2247.2267158031464,23.235338,0.20089275
13,0.010076477,1277,403.4830642886228,0.20984451,16.971815,0.0,78.55,236409,0.7535751163959503,2275.9321625232697,23.220562,0.20984451
12,0.01170586,1289,419.02024746140114,0.20612969,17.817535,0.0,81.05,239292,0.79944808781147,2303.252445936203,23.209442,0.20612969
13,0.010318903,1302,404.715954736699,0.22582084,16.76929,0.0,77.8,242181,0.741976261138916,2332.5069074630737,23.20832,0.22582084
12,0.011311895,1314,419.1851020345381,0.2360449,18.011032,0.0,80.725,245259,0.8120976239442825,2360.625757217407,23.209751,0.2360449
11,0.011519615,1325,417.0839044719779,0.21432593,17.430275,0.0,80.425,247968,0.8485872745513916,2388.4621748924255,23.204884,0.21432593
13,0.010898734,1338,423.7507302443504,0.24436969,17.669954,0.0,81.625,251067,0.7553326040506363,2416.3594658374786,23.209785,0.24436969
12,0.011647355,1350,433.75608137652216,0.21996191,16.797688,0.0,83.125,254121,0.7698993980884552,2445.426579475403,23.215681,0.21996191
12,0.011184353,1362,427.51888115655277,0.2631021,16.295155,0.0,82.275,257040,0.8198009729385376,2474.0023725032806,23.220276,0.2631021
13,0.011127972,1375,430.586989471701,0.22790277,16.464993,0.0,83.35,260304,0.8483175039291382,2501.7725224494934,23.20012,0.22790277
10,0.010859112,1385,460.83788773169925,0.22262332,17.84226,0.0,90.175,263682,0.8315777480602264,2530.4313580989838,23.198717,0.22262332
14,0.012384421,1399,445.5351034094712,0.2333097,17.464087,0.0,87.45,266832,0.8202837109565735,2558.0795373916626,23.18999,0.2333097
11,0.012068985,1410,458.0589838058726,0.24208274,17.411266,0.0,89.4,269883,0.841817706823349,2586.7658462524414,23.184813,0.24208274
12,0.01218379,1422,445.2654776372434,0.252189,17.280815,0.0,85.45,272976,0.6495959460735321,2613.873774290085,23.188805,0.252189
11,0.011591342,1433,462.6221066921962,0.2679668,18.379145,0.0,88.05,276042,0.7804208695888519,2642.8289346694946,23.181273,0.2679668
12,0.0119785555,1445,470.8505852915276,0.25670773,19.233086,0.0,90.875,279342,0.777224063873291,2670.5333518981934,23.175035,0.25670773
12,0.011815451,1457,466.00703193261404,0.25916544,19.192282,0.0,90.075,282351,0.689484715461731,2699.0561950206757,23.184036,0.25916544
10,0.011393808,1467,466.0662959516334,0.24312758,18.285015,0.0,90.725,285243,0.7648812979459763,2725.938887357712,23.188694,0.24312758
12,0.011719781,1479,456.56998224959733,0.27011722,17.523623,0.0,88.8,288390,0.7551563382148743,2754.777126789093,23.189037,0.27011722
12,0.011153512,1491,451.75048536076645,0.2559286,16.69682,0.0,87.325,291306,0.7733473479747772,2783.2342216968536,23.197004,0.2559286
10,0.01300753,1501,469.920690610543,0.27013603,17.624113,0.0,91.8,294456,0.7258057296276093,2810.898244380951,23.19981,0.27013603
12,0.011515976,1513,441.70069816654086,0.21319439,16.217754,0.0,87.1,297453,0.7879897952079773,2839.8738090991974,23.190384,0.21319439
13,0.011225077,1526,432.9433175566868,0.21317875,15.970327,0.0,86.125,300438,0.8156271129846573,2867.643312215805,23.190273,0.21317875
13,0.011419482,1539,408.8886944163645,0.24808928,14.083629,0.0,81.25,303507,0.8216499388217926,2896.185302257538,23.192257,0.24808928
12,0.010591144,1551,404.6006880673702,0.23693019,15.570658,0.0,78.025,306414,0.5766909122467041,2923.006915330887,23.19218,0.23693019
15,0.011086879,1566,398.5759158432744,0.21946692,15.755437,0.0,75.825,309537,0.7748923897743225,2952.4447610378265,23.194155,0.21946692
12,0.012174737,1578,413.37508206665507,0.2597859,17.272297,0.0,78.45,312642,0.7457845211029053,2979.854291200638,23.192482,0.2597859
13,0.011228487,1591,405.044852914535,0.24238108,16.792007,0.0,77.95,315768,0.8039439022541046,3008.9412252902985,23.195362,0.24238108
14,0.012040945,1605,417.9123844440548,0.25895652,17.583792,0.0,79.3,318813,0.6937404274940491,3036.9783754348755,23.187248,0.25895652
13,0.011664395,1618,404.78475786659664,0.25015444,17.806767,0.0,77.0,321882,0.7123895585536957,3064.9385850429535,23.191948,0.25015444
12,0.012018448,1630,408.78637685184844,0.27151346,17.758596,0.0,77.975,324894,0.6793472170829773,3093.9308230876923,23.187706,0.27151346
11,0.01178574,1641,428.3580911398118,0.27278394,18.599522,0.0,82.425,327852,0.6969535648822784,3121.3704736232758,23.193436,0.27278394
12,0.011694074,1653,449.13459380380766,0.21946919,18.638784,0.0,87.1,331050,0.7498818337917328,3150.4063284397125,23.190046,0.21946919
11,0.012442237,1664,461.0027379001455,0.2704625,18.680897,0.0,89.5,334020,0.6692255139350891,3177.878390789032,23.181778,0.2704625
11,0.012191059,1675,464.62817256760684,0.3006792,17.634617,0.0,89.975,337152,0.8035289198160172,3206.9694545269012,23.17569,0.3006792
13,0.011800749,1688,468.84353048402465,0.24769253,17.559475,0.0,90.4,340428,0.7624052613973618,3235.2489092350006,23.177963,0.24769253
12,0.011172121,1700,461.9473805455814,0.2310791,17.765802,0.0,88.675,343506,0.772923156619072,3263.580103635788,23.178831,0.2310791
13,0.011754629,1713,435.598083083064,0.259987,15.2426605,0.0,83.0,346584,0.8260343819856644,3292.190367460251,23.182457,0.259987
12,0.0119124735,1725,451.7203884499877,0.2434479,16.688278,0.0,86.2,349941,0.7943004220724106,3319.9800095558167,23.19312,0.2434479
13,0.013803527,1738,436.31904401168305,0.26085216,15.450503,0.0,83.375,353031,0.5951803624629974,3348.415261030197,23.189484,0.26085216
12,0.012171572,1750,453.43860461517244,0.26175708,17.02622,0.0,86.3,356136,0.8085375130176544,3376.3982820510864,23.187809,0.26175708
12,0.012939095,1762,434.766331369951,0.23995823,15.544421,0.0,82.75,359124,0.8026479184627533,3405.498491048813,23.186852,0.23995823
13,0.012357963,1775,442.60206669590127,0.25950006,15.361177,0.0,84.05,362259,0.8164515942335129,3432.700804710388,23.180235,0.25950006
11,0.012973832,1786,436.0833137423124,0.25880316,15.8482685,0.0,84.375,365268,0.7954452782869339,3461.797614097595,23.173128,0.25880316
11,0.011726657,1797,447.51643723150767,0.2603213,15.681996,0.0,86.15,368352,0.7719230502843857,3490.8051974773407,23.17262,0.2603213
10,0.012098032,1807,480.3206650398748,0.2349309,17.148335,0.0,92.95,371409,0.7002774178981781,3518.7193343639374,23.166975,0.2349309
10,0.012723929,1817,504.93745821557314,0.30905855,18.260345,0.0,97.3,374436,0.7710302323102951,3547.4657170772552,23.167788,0.30905855
11,0.013809813,1828,507.49752463177873,0.32361248,17.8339,0.0,97.025,377487,0.7368192672729492,3574.977153778076,23.17702,0.32361248
12,0.012301807,1840,491.80048890098703,0.23634481,17.057003,0.0,95.175,380631,0.8101881295442581,3603.747013568878,23.17548,0.23634481
11,0.012759108,1851,478.6746534494943,0.26143003,15.795346,0.0,92.8,383877,0.8040421903133392,3631.3902595043182,23.175112,0.26143003
10,0.012274676,1861,489.66613228659753,0.23216343,16.287354,0.0,94.4,386721,0.8414657413959503,3660.141839027405,23.173292,0.23216343
11,0.012156021,1872,490.7727230807297,0.23368266,17.311245,0.0,94.775,389856,0.8207837343215942,3688.337641477585,23.17096,0.23368266
11,0.012843075,1883,488.0272326782698,0.24117339,17.490437,0.0,93.675,392739,0.8344684541225433,3716.3560535907745,23.166656,0.24117339
12,0.012570659,1895,477.6992382723928,0.24032916,17.327398,0.0,92.6,396123,0.7479301393032074,3744.547341823578,23.174528,0.24032916
11,0.011916511,1906,485.10103035131533,0.25007454,18.779682,0.0,93.225,399378,0.7481099665164948,3773.5040719509125,23.1722,0.25007454
11,0.012483096,1917,491.2430066931888,0.23987713,18.371967,0.0,94.75,402471,0.8461977392435074,3802.683485031128,23.168415,0.23987713
10,0.011448538,1927,492.89485562395686,0.22609925,18.177334,0.0,95.25,405390,0.8285388201475143,3830.784957885742,23.1738,0.22609925
12,0.012477376,1939,476.4420034438782,0.224394,17.592052,0.0,92.4,408627,0.8617791682481766,3858.731367588043,23.17231,0.224394
