TimeElapsed,EpThisIter,EpRewMean,EpisodesSoFar,surrgain,EpLenMean,meankl,TimestepsSoFar,entropy,EpTrueRewMean,ev_tdlam_before,optimgain,entloss
2373.4299371242523,12,64.345436,4113,0.15183955,99.25,0.004233985,339254,23.518536,485.1677698872583,0.891991026699543,0.15183955,0.0
2380.2085382938385,9,64.951866,4122,0.13978827,101.775,0.003976548,340211,23.519041,500.20290954891186,0.8770146444439888,0.13978827,0.0
2387.031632900238,11,64.78926,4133,0.14673705,103.05,0.0041323113,341301,23.519041,509.705787583753,0.9046371132135391,0.14673705,0.0
2393.8244004249573,8,63.83918,4141,0.13792047,99.675,0.0038234505,342234,23.519207,496.8801993260102,0.8727778196334839,0.13792047,0.0
2400.4400560855865,9,67.8929,4150,0.14796373,107.6,0.004236226,343292,23.518877,540.9184063689344,0.860895574092865,0.14796373,0.0
2407.6778016090393,9,69.47713,4159,0.16071332,109.45,0.00428606,344282,23.519049,556.2108950347381,0.8611770868301392,0.16071332,0.0
2415.081886291504,10,68.70167,4169,0.13435557,108.975,0.0040681856,345269,23.517107,550.4439148740946,0.8922137767076492,0.13435557,0.0
2422.648199558258,10,66.12795,4179,0.1631679,105.95,0.0044813287,346268,23.519468,533.7811431521925,0.8477587252855301,0.1631679,0.0
2430.217823266983,8,68.94061,4187,0.14908987,109.75,0.0040962026,347259,23.524168,544.94180332204,0.8672628700733185,0.14908987,0.0
2437.6780846118927,9,67.088715,4196,0.16415858,106.625,0.0039754785,348223,23.521807,522.6626431377952,0.8642734736204147,0.16415858,0.0
2445.233500480652,9,72.66382,4205,0.16134568,110.725,0.0041800602,349313,23.518133,547.5330585216191,0.9244942963123322,0.16134568,0.0
2452.7242181301117,11,71.80124,4216,0.1576365,108.9,0.004166766,350389,23.517744,541.7647911593865,0.9190122783184052,0.1576365,0.0
2460.2463612556458,11,72.63951,4227,0.17417164,107.7,0.004680769,351567,23.522284,546.1592503845643,0.8822788819670677,0.17417164,0.0
2467.7849113941193,11,69.33009,4238,0.16733688,103.975,0.004636132,352685,23.522238,524.2624380532178,0.8855465278029442,0.16733688,0.0
