entloss,EpThisIter,meankl,TimestepsSoFar,entropy,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpRewMean,EpLenMean,optimgain,surrgain,TimeElapsed
0.0,1,0.01063204,630502,2.0908449,1440,2763.996374167292,0.019408702850341797,450.82013,772.95,0.0421401,0.0421401,11535.267076253891
0.0,1,0.012686105,631502,2.0674036,1441,2806.7935101401176,0.04572087526321411,457.08115,785.975,0.039859932,0.039859932,11545.062111616135
0.0,3,0.0106833195,632344,2.1076624,1444,2640.8212456214205,0.5616708099842072,429.13956,741.625,0.05263049,0.05263049,11554.873111248016
0.0,1,0.013349273,633344,2.1192358,1445,2638.831855080756,0.10075128078460693,429.1664,741.625,0.04608975,0.04608975,11564.542499780655
0.0,1,0.012397818,634344,2.1154878,1446,2638.3832844709914,0.4597211480140686,428.8941,742.4,0.05147802,0.05147802,11574.21119594574
0.0,1,0.010341998,635344,2.1032064,1447,2691.5082634043742,0.2173205018043518,437.35425,757.975,0.043914028,0.043914028,11583.984948158264
0.0,2,0.013630473,636681,2.0999622,1449,2718.636004269188,0.7351805865764618,440.70694,766.55,0.043193217,0.043193217,11593.68487071991
0.0,1,0.014446469,637681,2.0932467,1450,2723.993088317224,0.0969356894493103,441.38754,769.25,0.052982725,0.052982725,11603.419058084488
0.0,1,0.012985447,638450,2.0850127,1451,2735.9886640890677,0.1011197566986084,443.13202,773.575,0.051852964,0.051852964,11613.079255342484
0.0,1,0.010155108,639058,2.0364761,1452,2732.5505575888915,0.08216756582260132,442.33945,774.075,0.05373165,0.05373165,11622.941216468811
0.0,1,0.011434941,639957,2.0133593,1453,2724.157023967187,0.9513395614922047,441.21518,771.55,0.055998877,0.055998877,11632.501174926758
0.0,1,0.01124666,640957,1.9953234,1454,2741.3051348453446,0.047867000102996826,444.30194,777.45,0.041062303,0.041062303,11642.159892559052
0.0,1,0.01064115,641957,2.014641,1455,2789.829559635319,0.40819251537323,452.20685,791.85,0.05803214,0.05803214,11651.92300105095
0.0,1,0.009828571,642957,2.0132215,1456,2804.3664396898157,-0.0879981517791748,454.65643,797.2,0.046383284,0.046383284,11661.758178949356
0.0,1,0.011291822,643957,1.9984591,1457,2809.064850847359,0.08171075582504272,456.01163,799.975,0.04675682,0.04675682,11671.371541261673
0.0,1,0.012599641,644957,1.9373491,1458,2861.0968128286136,0.06540286540985107,464.9996,815.3,0.045072272,0.045072272,11681.087127685547
0.0,1,0.0114159975,645957,1.8995837,1459,2860.8032674762762,-0.023271799087524414,465.52695,815.3,0.04821828,0.04821828,11690.965801239014
0.0,1,0.013424752,646957,1.9047534,1460,2858.8714395155366,0.06893980503082275,466.43182,815.3,0.050680578,0.050680578,11700.74653840065
0.0,1,0.004728969,647876,1.9159338,1461,2853.31744494659,0.9626167565584183,466.95282,813.275,0.05294764,0.05294764,11710.782279014587
0.0,1,0.010206405,648876,1.9157703,1462,2883.1586792819253,0.1326524019241333,472.50327,822.675,0.044867173,0.044867173,11723.649844884872
0.0,1,0.010826293,649876,1.8989933,1463,2933.225382454174,0.1111336350440979,481.68,837.425,0.04409372,0.04409372,11733.531863451004
0.0,1,0.013608725,650659,1.8697206,1464,2965.4456456802136,0.9726099502295256,487.34027,846.9,0.07397999,0.07397999,11743.24743270874
0.0,1,0.012314784,651659,1.8381492,1465,2982.0010353482257,0.8001568168401718,491.13947,852.85,0.064021945,0.064021945,11752.88245511055
0.0,1,0.013008026,652659,1.8068436,1466,3017.0278471446377,0.04596668481826782,497.4279,863.375,0.050002106,0.050002106,11762.716950416565
0.0,1,0.012088463,653659,1.7707326,1467,3090.30376185887,0.02809983491897583,509.57877,884.0,0.04870504,0.04870504,11772.514589071274
0.0,1,0.010910604,654659,1.7561271,1468,3085.932378860115,0.06815576553344727,509.4572,884.0,0.04113233,0.04113233,11782.50340127945
0.0,1,0.013178198,655659,1.7553445,1469,3084.4298404784313,0.09909564256668091,510.32407,884.0,0.054520167,0.054520167,11792.219108819962
