ev_tdlam_before,surrgain,TimeElapsed,EpisodesSoFar,EpTrueRewMean,TimestepsSoFar,entropy,entloss,EpLenMean,EpThisIter,meankl,optimgain,EpRewMean
0.8976355791091919,0.2768055,1192.732356786728,2838,488.21969238693447,645714,23.551008,0.0,99.95,11,0.01471008,0.2768055,488.21969238693447
0.9125798270106316,0.14487791,1198.4123830795288,2847,481.41772639861836,648570,23.549253,0.0,98.025,9,0.0038812752,0.14487791,481.41772639861836
0.9184964522719383,0.13923585,1204.160442829132,2858,476.42231284635716,651570,23.55078,0.0,96.675,11,0.004094567,0.13923585,476.42231284635716
0.8748727589845657,0.16262284,1209.95943069458,2869,477.22919973934506,655023,23.548845,0.0,96.2,11,0.0039531635,0.16262284,477.22919973934506
0.8960544243454933,0.14105868,1215.7064821720123,2880,483.393066414358,658062,23.553465,0.0,97.5,11,0.0039165295,0.14105868,483.393066414358
0.9160467013716698,0.1518457,1221.5114934444427,2891,477.31869272869625,661278,23.551836,0.0,96.325,11,0.0041539264,0.1518457,477.31869272869625
0.8842257410287857,0.1777504,1227.342157125473,2903,455.1354381650679,664479,23.545732,0.0,92.325,12,0.004106194,0.1777504,455.1354381650679
0.9125571697950363,0.15382689,1233.110026359558,2913,475.40878318210144,667500,23.547628,0.0,96.025,10,0.0038516782,0.15382689,475.40878318210144
0.8831839561462402,0.14151162,1238.8236560821533,2923,484.41110858344945,670650,23.547848,0.0,98.525,10,0.0037944806,0.14151162,484.41110858344945
0.8831369876861572,0.15115021,1244.5815603733063,2933,491.93360367180424,673842,23.547342,0.0,99.35,10,0.0038071433,0.15115021,491.93360367180424
0.9114412218332291,0.25173354,1250.3756911754608,2945,497.2733337932841,677088,23.539043,0.0,100.125,12,0.013896707,0.25173354,497.2733337932841
0.9125880897045135,0.16156727,1256.1821417808533,2955,488.4941690607751,680145,23.540789,0.0,99.45,10,0.0039416132,0.16156727,488.4941690607751
0.900851845741272,0.14937198,1261.9951496124268,2965,487.20288781688487,683235,23.539473,0.0,100.675,10,0.0042690365,0.14937198,487.20288781688487
0.9063399881124496,0.14253296,1267.8277626037598,2975,467.4452873744435,686154,23.541582,0.0,97.05,10,0.0038209748,0.14253296,467.4452873744435
0.9383742958307266,0.13834208,1273.5485327243805,2985,490.3397004697757,689196,23.536638,0.0,100.9,10,0.0039465255,0.13834208,490.3397004697757
0.8956377953290939,0.18435068,1279.2582142353058,2996,481.3054612248267,692313,23.53322,0.0,98.75,11,0.0038674513,0.18435068,481.3054612248267
0.9376381151378155,0.13853899,1284.9944076538086,3006,486.8228588593818,695376,23.5306,0.0,99.0,10,0.0037797778,0.13853899,486.8228588593818
0.9275097846984863,0.1479955,1290.80468583107,3016,486.73414472904716,698268,23.526121,0.0,98.375,10,0.0038209907,0.1479955,486.73414472904716
0.9204413220286369,0.15273385,1296.6656892299652,3026,483.9634270768589,701265,23.523924,0.0,97.325,10,0.0038376844,0.15273385,483.9634270768589
0.9110653921961784,0.28749874,1302.4711647033691,3036,508.1362095633247,704505,23.518576,0.0,101.6,10,0.014447054,0.28749874,508.1362095633247
0.8892406299710274,0.15375726,1308.226577281952,3046,502.17423439280844,707481,23.517576,0.0,100.875,10,0.0039866073,0.15375726,502.17423439280844
0.9152190834283829,0.15525556,1314.0355608463287,3057,497.44604380645194,710586,23.52271,0.0,100.3,11,0.0039718044,0.15525556,497.44604380645194
0.8946146965026855,0.34741867,1319.7391049861908,3067,492.0232239270862,713625,23.52059,0.0,100.25,10,0.014604885,0.34741867,492.0232239270862
0.8938222974538803,0.14777154,1325.5178637504578,3078,486.8491355676466,716958,23.523212,0.0,99.875,11,0.0037585606,0.14777154,486.8491355676466
0.924356684088707,0.14500125,1331.2458710670471,3088,487.2952862296287,720006,23.524652,0.0,100.475,10,0.003871471,0.14500125,487.2952862296287
0.8519339561462402,0.19660601,1336.96990609169,3097,502.27790314450795,722988,23.523458,0.0,103.35,9,0.0040912377,0.19660601,502.27790314450795
0.8913397118449211,0.15963863,1342.5452868938446,3107,509.3863404892709,726015,23.520514,0.0,103.25,10,0.0039220997,0.15963863,509.3863404892709
0.9050760641694069,0.14905351,1348.251801252365,3117,506.90384228976507,728934,23.52165,0.0,102.4,10,0.004151373,0.14905351,506.90384228976507
0.9070074260234833,0.16052467,1354.1727681159973,3126,514.6130338368281,731835,23.521261,0.0,103.325,9,0.0042159962,0.16052467,514.6130338368281
0.9424564987421036,0.14278579,1359.974266052246,3137,495.6403836151915,735006,23.52344,0.0,100.15,11,0.0038146905,0.14278579,495.6403836151915
