EpRewMean,surrgain,ev_tdlam_before,entloss,EpTrueRewMean,TimeElapsed,optimgain,EpThisIter,EpisodesSoFar,EpLenMean,TimestepsSoFar,entropy,meankl
43.85186,0.058866445,0.9699667990207672,0.0,342.6372713808974,647.7717599868774,0.058866445,4,214,217.125,76050,7.9572673,0.0063580885
42.87069,0.07632647,0.9904152704402804,0.0,347.10749200353,674.4551374912262,0.07632647,5,219,219.95,79182,7.9534636,0.0056057796
41.694206,0.08167584,0.9714038986712694,0.0,349.3730554426337,700.0778293609619,0.08167584,5,224,217.975,82812,7.933162,0.006299828
42.43819,0.07272265,0.9931387603282928,0.0,367.72386480686896,726.3287627696991,0.07272265,5,229,221.9,85980,7.9213605,0.006023036
41.12451,0.061309468,0.9564810805022717,0.0,365.28736970230403,751.7010478973389,0.061309468,5,234,221.125,88941,7.9561625,0.0071789017
40.39326,0.09410024,0.9832774754613638,0.0,369.17528285598127,777.9934408664703,0.09410024,5,239,218.075,92070,7.9679074,0.006851324
41.474987,0.093905166,0.967982579022646,0.0,385.235203740601,803.9406001567841,0.093905166,3,242,221.225,94668,7.963363,0.0055677365
40.097504,0.06580949,0.942841000854969,0.0,379.74406381842175,829.6377618312836,0.06580949,5,247,222.425,98130,7.9477224,0.0069819465
40.753246,0.08092691,0.9522996507585049,0.0,389.61742851033455,854.9113049507141,0.08092691,4,251,227.75,101094,7.9321146,0.006627094
38.869682,0.06417809,0.9345974624156952,0.0,376.05254368685354,881.3137137889862,0.06417809,4,255,224.475,103644,7.9308352,0.006504336
38.539482,0.08087501,0.986208169721067,0.0,377.90420761705525,906.9523279666901,0.08087501,4,259,225.7,106266,7.9215655,0.0064000078
38.646503,0.07463642,0.960133645683527,0.0,386.1361865628625,932.6428723335266,0.07463642,4,263,232.55,109962,7.9420443,0.006528075
39.194145,0.07279241,0.963534701615572,0.0,391.0133369982333,958.0043499469757,0.07279241,3,266,236.825,112467,7.9511194,0.0075268373
