meankl,TimeElapsed,EpLenMean,entropy,surrgain,EpisodesSoFar,EpTrueRewMean,EpRewMean,EpThisIter,optimgain,entloss,ev_tdlam_before,TimestepsSoFar
0.013615208,1063.4535851478577,88.075,23.581545,0.29232377,2140,431.8360919796928,48.82833,13,0.29232377,0.0,0.6969793140888214,152567
0.013418679,1070.6896471977234,84.3,23.582294,0.29951918,2152,416.5037349829462,48.313683,12,0.29951918,0.0,0.780573233962059,153550
0.0039622616,1077.9183926582336,82.9,23.583174,0.14067042,2164,412.44935357809254,48.517216,12,0.14067042,0.0,0.7113734185695648,154588
0.012781294,1085.1592931747437,84.65,23.583025,0.2925893,2175,418.64555337405966,49.39836,11,0.2925893,0.0,0.7659462243318558,155595
0.012647014,1092.462111711502,88.9,23.583746,0.3022526,2187,440.49650912514943,52.895435,12,0.3022526,0.0,0.7967226058244705,156673
0.01410866,1099.5823760032654,87.85,23.585043,0.32935536,2199,436.72924197398754,55.48756,12,0.32935536,0.0,0.7255864441394806,157656
0.013603482,1106.9682898521423,87.1,23.58177,0.27188015,2210,432.60054634947045,52.43791,11,0.27188015,0.0,0.80388143658638,158645
0.014950972,1114.225268125534,88.775,23.581537,0.3544843,2220,445.2418646460027,54.09092,10,0.3544843,0.0,0.7153032124042511,159603
0.0142992735,1121.4190318584442,90.6,23.586,0.3757081,2231,454.44056189256463,60.590675,11,0.3757081,0.0,0.7213409245014191,160636
0.01478459,1128.6221814155579,92.725,23.59294,0.36492708,2242,462.77138650361286,67.14924,11,0.36492708,0.0,0.7417304515838623,161649
0.014083452,1135.7350749969482,90.0,23.589113,0.27493238,2254,447.6978580587205,68.67802,12,0.27493238,0.0,0.7521614581346512,162639
0.0038357722,1142.8915524482727,85.75,23.583822,0.15107551,2267,421.76130726145374,67.706,13,0.15107551,0.0,0.7890045940876007,163756
0.0038110889,1150.0046145915985,87.75,23.580647,0.14192033,2277,432.9332622990676,78.0291,10,0.14192033,0.0,0.7447333633899689,164743
0.014279701,1157.1346516609192,88.625,23.581072,0.27996188,2288,437.4354941595793,77.87257,11,0.27996188,0.0,0.706148773431778,165749
0.003787206,1164.5766541957855,92.075,23.582586,0.14622208,2300,453.0905604348689,87.38059,12,0.14622208,0.0,0.7941305637359619,166830
0.01455503,1171.7368307113647,91.4,23.58055,0.2797364,2311,448.7381999652074,82.50578,11,0.2797364,0.0,0.7590770870447159,167880
0.014174733,1178.8246774673462,93.75,23.573648,0.27636105,2322,457.55881108741414,81.64264,11,0.27636105,0.0,0.8300981372594833,168937
