EpLenMean,entloss,EpTrueRewMean,meankl,EpRewMean,surrgain,EpThisIter,TimestepsSoFar,ev_tdlam_before,entropy,optimgain,EpisodesSoFar,TimeElapsed
363.575,0.0,554.5862398377044,0.0067568356,159.71396,0.08080974,3,139578,0.8253054469823837,7.71503,0.08080974,270,203.75576281547546
360.225,0.0,563.3945899584057,0.00736426,168.91698,0.10279704,3,142590,0.78855000436306,7.6952395,0.10279704,273,208.1068410873413
358.5,0.0,572.6834787044435,0.0069524585,174.70322,0.078788504,3,145200,0.931006908416748,7.674854,0.078788504,276,212.56145215034485
360.525,0.0,580.5317443445658,0.0067788186,180.4718,0.093970396,3,148035,0.8171848207712173,7.643436,0.093970396,279,216.93602752685547
343.45,0.0,579.0690472830672,0.0071421936,188.31212,0.07539235,2,149928,0.8488925993442535,7.613538,0.07539235,281,221.34295964241028
335.85,0.0,579.6001066899116,0.00720621,190.05081,0.08204598,3,152124,0.9331343919038773,7.611024,0.08204598,284,225.74385619163513
339.25,0.0,594.692666869266,0.0065559996,195.71439,0.09836915,2,154551,0.8743190467357635,7.59703,0.09836915,286,230.18473529815674
346.45,0.0,616.925427014897,0.0070936643,203.62485,0.07954926,4,158226,0.9223906993865967,7.6001434,0.07954926,290,234.5550835132599
354.25,0.0,637.7507392111862,0.0068088863,212.82187,0.07482645,2,160671,0.869800016283989,7.585084,0.07482645,292,239.02755069732666
341.425,0.0,641.2424915635339,0.0076598926,219.63574,0.0922979,3,163671,0.8602768629789352,7.5574794,0.0922979,295,243.42703819274902
339.575,0.0,655.1050439747187,0.0074116313,226.48999,0.078117445,3,167322,0.8621048629283905,7.566529,0.078117445,298,247.87125325202942
358.925,0.0,687.3509026947319,0.006581573,235.28275,0.08124484,2,171171,0.8524129986763,7.5572515,0.08124484,300,252.31427311897278
363.925,0.0,712.6094413473933,0.007588207,245.56319,0.077573836,3,174336,0.7724045068025589,7.538314,0.077573836,303,256.7338218688965
356.325,0.0,718.0826846894076,0.0064761215,247.3317,0.07915933,2,176466,0.8901430144906044,7.532425,0.07915933,305,261.09272813796997
350.15,0.0,728.0968332286083,0.007239612,249.19717,0.07621226,3,179385,0.8814126923680305,7.502701,0.07621226,308,265.4753050804138
353.5,0.0,747.0229686262144,0.006313366,251.73723,0.076576054,2,181998,0.8376465886831284,7.526669,0.076576054,310,269.9230456352234
357.525,0.0,763.6300724654124,0.0074546407,249.78647,0.08536728,3,185493,0.9177538976073265,7.540767,0.08536728,313,274.3011348247528
366.2,0.0,784.7207287449753,0.0071301684,252.22916,0.077334,2,188172,0.941016610711813,7.54115,0.077334,315,278.6190857887268
376.825,0.0,822.8889059479468,0.0069654603,261.50342,0.093596704,2,191601,0.809674009680748,7.5334435,0.093596704,317,282.99615025520325
387.475,0.0,846.5634901001871,0.0071107075,260.11563,0.08288883,3,195351,0.9068355336785316,7.522875,0.08288883,320,287.33881545066833
