TimeElapsed,optimgain,TimestepsSoFar,surrgain,ev_tdlam_before,EpLenMean,EpRewMean,EpTrueRewMean,EpThisIter,entropy,EpisodesSoFar,meankl,entloss
251.7111942768097,0.094671056,163509,0.094671056,0.8624965697526932,492.35,398.4206,974.5118409170278,2,7.70726,292,0.0068309177,0.0
256.2384223937988,0.11493762,166725,0.11493762,0.8432464152574539,506.0,410.7955,1011.2800560992553,2,7.6846957,294,0.0077711167,0.0
260.7286219596863,0.07801047,169725,0.07801047,0.414347767829895,519.925,418.9876,1036.403797992038,1,7.6712766,295,0.006556671,0.0
265.15731143951416,0.09297713,173052,0.09297713,0.7715259939432144,533.475,438.8581,1087.5675549619762,2,7.6795173,297,0.0074995966,0.0
269.6914701461792,0.09382847,175959,0.09382847,0.6953283846378326,534.85,442.44516,1102.8831472800857,3,7.672669,300,0.0073544886,0.0
274.23185324668884,0.105168715,179364,0.105168715,0.9134696945548058,535.625,441.79645,1099.4124937476104,3,7.6809044,303,0.0069387304,0.0
278.6184117794037,0.08718462,181767,0.08718462,0.8574244230985641,526.55,442.53696,1111.433030275733,2,7.662613,305,0.007350674,0.0
283.1717629432678,0.087448545,185160,0.087448545,0.8531555831432343,513.075,427.4912,1086.2219719590896,3,7.6639366,308,0.007404686,0.0
287.7091734409332,0.10696039,187005,0.10696039,0.8185461610555649,500.575,419.3548,1063.8009151016076,2,7.6526,310,0.007278295,0.0
292.24164724349976,0.11160369,190635,0.11160369,0.8301927596330643,490.5,417.42148,1061.1016288312894,3,7.6401377,313,0.007826394,0.0
296.74779295921326,0.09016376,193293,0.09016376,0.9179045930504799,479.925,412.7422,1049.0524369423224,2,7.629703,315,0.0079616215,0.0
301.19594287872314,0.090561524,196140,0.090561524,0.8348934203386307,492.3,430.47046,1097.6532987590697,1,7.630387,316,0.007795258,0.0
305.7477300167084,0.07272971,199140,0.07272971,0.15860825777053833,509.275,444.5424,1137.1323922523256,1,7.6352534,317,0.0070471615,0.0
310.33700609207153,0.10469496,202032,0.10469496,0.907334104180336,510.375,454.42267,1155.2220256894193,2,7.6227427,319,0.007905263,0.0
314.83221101760864,0.099074006,204996,0.099074006,0.9054835364222527,495.675,447.5296,1129.78268025014,2,7.5892324,321,0.0072356276,0.0
319.31740832328796,0.09042393,208569,0.09042393,0.8353527039289474,472.5,429.68848,1085.716875201236,3,7.5787807,324,0.0073432312,0.0
323.8388431072235,0.084387004,212154,0.084387004,0.775081142783165,486.075,444.9057,1130.2635027986396,2,7.584904,326,0.0074412604,0.0
328.30622959136963,0.08367941,216264,0.08367941,0.7345927953720093,484.125,439.2835,1116.5634856454103,3,7.5935674,329,0.006572107,0.0
332.79323077201843,0.08972126,216951,0.08972126,0.778241366147995,467.625,424.83292,1076.8358130293616,1,7.5985265,330,0.0070862668,0.0
337.3248770236969,0.11329356,219138,0.11329356,0.8174101859331131,463.575,422.78745,1068.1794733071556,2,7.590348,332,0.0079279905,0.0
341.80707573890686,0.120765984,222798,0.120765984,0.8946908488869667,442.275,412.83682,1034.724998782051,3,7.5886073,335,0.0074979183,0.0
346.304443359375,0.10351309,224688,0.10351309,0.8687578588724136,438.925,407.9152,1022.4619259689116,1,7.586901,336,0.007965852,0.0
350.78217911720276,0.09034739,227817,0.09034739,0.8584816455841064,439.525,406.07898,1026.7545101548408,3,7.5825353,339,0.0075438106,0.0
355.25372886657715,0.10245101,230949,0.10245101,0.8803848698735237,445.225,414.36572,1056.801315396826,2,7.592895,341,0.006932454,0.0
359.77226734161377,0.0962309,233319,0.0962309,0.8187654465436935,449.625,424.89423,1084.7497872354913,2,7.562379,343,0.007663576,0.0
