EpisodesSoFar,TimestepsSoFar,surrgain,EpLenMean,optimgain,EpTrueRewMean,EpThisIter,entloss,entropy,ev_tdlam_before,EpRewMean,TimeElapsed,meankl
349,164535,0.08821547,241.95,0.08821547,457.49106742701605,4,0.0,7.67651,0.9128106757998466,457.49106742701605,243.32358598709106,0.0069611073
353,167502,0.0852019,246.025,0.0852019,472.7529132023428,4,0.0,7.6629066,0.821448802947998,472.7529132023428,247.45245456695557,0.007541571
356,170880,0.115626134,257.2,0.115626134,494.1087799180914,3,0.0,7.6534276,0.814996525645256,494.1087799180914,251.43097400665283,0.007164633
359,173433,0.10977772,264.275,0.10977772,513.6047836013198,3,0.0,7.654239,0.8336016088724136,513.6047836013198,255.4231879711151,0.0072852354
362,176436,0.08574326,268.425,0.08574326,536.3065167738694,3,0.0,7.6124916,0.8786152899265289,536.3065167738694,259.4616930484772,0.007828712
364,178872,0.09099978,277.975,0.09099978,565.0646787087968,2,0.0,7.6234865,0.85722516477108,565.0646787087968,263.50310730934143,0.007520701
366,181335,0.09516302,287.05,0.09516302,592.3680036757648,2,0.0,7.6146817,0.8903105854988098,592.3680036757648,267.5121078491211,0.0072853663
369,184785,0.10198537,298.575,0.10198537,624.1423721428985,3,0.0,7.6007724,0.9094284847378731,624.1423721428985,271.5356593132019,0.008185012
372,188484,0.08219597,306.825,0.08219597,655.6439365568615,3,0.0,7.6123695,0.7339008450508118,655.6439365568615,275.518878698349,0.0072430223
376,192261,0.09445149,312.475,0.09445149,690.458289821094,4,0.0,7.610168,0.9507843367755413,690.458289821094,279.4912300109863,0.0075225737
379,196698,0.09049344,330.9,0.09049344,742.9778546489516,3,0.0,7.590958,0.8894787952303886,742.9778546489516,283.51384353637695,0.0073438524
382,201474,0.08607406,352.875,0.08607406,802.8501010172058,3,0.0,7.5677643,0.9095859751105309,802.8501010172058,287.5309374332428,0.007730746
384,204348,0.092548,364.625,0.092548,827.4636505134661,2,0.0,7.5496697,0.847987487912178,827.4636505134661,291.6105406284332,0.0076131895
385,206997,0.10005161,379.225,0.10005161,863.7828868003335,1,0.0,7.5472536,0.8721899390220642,863.7828868003335,295.5702135562897,0.0073718177
387,211710,0.1108198,405.625,0.1108198,934.2326100864509,2,0.0,7.5335684,0.8423776179552078,934.2326100864509,299.5639317035675,0.008410282
389,214698,0.08979142,418.025,0.08979142,975.7924275180449,2,0.0,7.516052,0.834301769733429,975.7924275180449,303.543331861496,0.008074375
392,217854,0.08411073,424.5,0.08411073,989.6308561426633,3,0.0,7.48877,0.8227020055055618,989.6308561426633,307.5810670852661,0.007636075
394,220689,0.08911981,437.1,0.08911981,1025.3957490866371,2,0.0,7.4863315,0.888927049934864,1025.3957490866371,311.5937135219574,0.0074407533
397,224751,0.08880204,440.825,0.08880204,1035.9583208522322,3,0.0,7.4922934,0.8844254985451698,1035.9583208522322,315.5394186973572,0.008239446
399,228903,0.09042485,462.25,0.09042485,1077.7558229843664,2,0.0,7.4688873,0.7526242882013321,1077.7558229843664,319.41510248184204,0.008073361
400,230244,0.09740667,465.5,0.09740667,1085.927943579067,1,0.0,7.4586053,-0.027369022369384766,1085.927943579067,323.45348381996155,0.0075437655
401,232074,0.12528959,474.125,0.12528959,1114.841017721694,1,0.0,7.44556,0.8017902821302414,1114.841017721694,327.5013430118561,0.007872144
404,235530,0.091240466,472.15,0.091240466,1102.165609951236,3,0.0,7.462159,0.841185674071312,1102.165609951236,331.574298620224,0.007676281
407,240099,0.0888757,478.35,0.0888757,1113.9859806518648,3,0.0,7.4539804,0.7387234270572662,1113.9859806518648,335.6042082309723,0.007845486
408,243099,0.11470766,497.075,0.11470766,1157.3105656211862,1,0.0,7.431593,0.7877051532268524,1157.3105656211862,339.66362953186035,0.008776702
