EpRewMean,EpLenMean,EpThisIter,TimestepsSoFar,TimeElapsed,EpisodesSoFar,ev_tdlam_before,entloss,meankl,entropy,surrgain,EpTrueRewMean,optimgain
420.05078,887.925,2,958728,1340.2381761074066,432,-0.017384052276611328,0.0,0.009849036,4.1584535,0.057121187,982.9303115144597,0.057121187
419.79355,887.925,1,961728,1344.6296043395996,433,-0.12954115867614746,0.0,0.010020697,4.1502056,0.06426847,983.467761747694,0.06426847
420.10138,887.925,1,964728,1349.1239082813263,434,-0.008144378662109375,0.0,0.010954403,4.1468487,0.061743,982.0509246187473,0.061743
420.29266,887.925,1,967728,1353.506786108017,435,-0.003258347511291504,0.0,0.010168668,4.153044,0.055927403,981.0876147823201,0.055927403
420.42743,887.925,1,970728,1357.979966878891,436,-0.006471395492553711,0.0,0.011263831,4.1433434,0.059590958,982.6783168353484,0.059590958
422.34937,891.725,1,973728,1362.3992624282837,437,-0.0029500722885131836,0.0,0.011232483,4.1693664,0.049944524,985.67382217467,0.049944524
423.01093,891.725,1,976728,1366.7996451854706,438,-0.021931767463684082,0.0,0.0092859,4.160401,0.05684422,985.8579508752027,0.05684422
422.852,891.725,1,979728,1371.1172573566437,439,-0.08387672901153564,0.0,0.010838738,4.1776104,0.05784314,986.4779763603067,0.05784314
423.10742,891.725,1,982728,1375.5035254955292,440,-0.004544973373413086,0.0,0.010009052,4.138191,0.061447635,987.1276628223306,0.061447635
422.79898,891.725,1,985728,1379.9112045764923,441,-0.04876255989074707,0.0,0.010652781,4.0938425,0.049217932,986.2266174931603,0.049217932
430.73868,908.4,1,988146,1384.3507080078125,442,0.553765594959259,0.0,0.011022847,4.081689,0.055500925,1004.1258854986288,0.055500925
430.70255,908.4,1,991146,1388.7857933044434,443,-0.0002633333206176758,0.0,0.009717682,4.075171,0.05383562,1004.7237131385289,0.05383562
430.455,908.4,1,994146,1393.192872285843,444,-0.0046683549880981445,0.0,0.011574291,4.097562,0.049172275,1002.7814323064349,0.049172275
426.40405,899.7,2,997509,1397.5742402076721,446,0.3243294954299927,0.0,0.010005445,4.096626,0.06945296,993.5631894803294,0.06945296
426.21274,899.7,1,1000509,1402.0422623157501,447,-0.0022202730178833008,0.0,0.0075411657,4.0985737,0.061678294,990.9798491737289,0.061678294
