EpThisIter,EpLenMean,TimeElapsed,EpisodesSoFar,surrgain,meankl,EpRewMean,EpTrueRewMean,TimestepsSoFar,entropy,ev_tdlam_before,entloss,optimgain
8,124.55,6851.995759963989,9487,0.18378165,0.0051698755,78.81225,635.2509256243022,980457,23.245623,0.8966490924358368,0.0,0.18378165
9,122.675,6859.167720794678,9496,0.17862469,0.0056400076,78.54999,629.753974076805,981504,23.24456,0.8606546074151993,0.0,0.17862469
6,128.95,6866.298087358475,9502,0.19422707,0.005847667,82.58894,670.3231730450843,982492,23.243471,0.8850388824939728,0.0,0.19422707
8,125.4,6873.533851146698,9510,0.17369601,0.0052486844,81.45274,650.7415057968215,983445,23.242414,0.9104436412453651,0.0,0.17369601
7,131.6,6880.706192731857,9517,0.17895336,0.005511032,82.69264,684.1717387795823,984476,23.243343,0.8847650587558746,0.0,0.17895336
8,129.425,6887.80441904068,9525,0.16575246,0.0050081937,80.47424,671.5577982219667,985390,23.242414,0.8741661608219147,0.0,0.16575246
9,128.575,6895.03620839119,9534,0.16856372,0.0050684246,78.1121,667.6274735980785,986412,23.241697,0.9030838385224342,0.0,0.16856372
7,126.55,6902.215912818909,9541,0.20285925,0.0051255343,75.69156,655.1614467368712,987452,23.24095,0.9197883680462837,0.0,0.20285925
8,125.1,6909.497640371323,9549,0.19325477,0.0052118218,72.67578,648.8077779488106,988353,23.239424,0.8938857913017273,0.0,0.19325477
8,124.125,6916.788697957993,9557,0.1686759,0.0042286688,73.70204,635.7466916544142,989441,23.237972,0.8807772994041443,0.0,0.1686759
8,125.7,6923.9102120399475,9565,0.17920575,0.0053091645,72.38157,641.7833090356065,990418,23.237288,0.9314080700278282,0.0,0.17920575
9,126.9,6931.071682929993,9574,0.18011695,0.0054103313,75.19862,647.5135683427459,991488,23.238592,0.9130959808826447,0.0,0.18011695
10,121.1,6938.216054916382,9584,0.18335947,0.0058780853,74.0955,616.2116269937778,992625,23.239809,0.9336621016263962,0.0,0.18335947
8,120.4,6945.363002538681,9592,0.17420825,0.0052184677,72.95172,617.0913225199407,993628,23.242025,0.9164290800690651,0.0,0.17420825
8,119.6,6952.570006608963,9600,0.17897692,0.005852163,70.46256,623.0688944623487,994577,23.243341,0.9170360192656517,0.0,0.17897692
8,118.775,6959.7311046123505,9608,0.21737763,0.005590775,71.268745,623.2337562230953,995560,23.242353,0.8690612316131592,0.0,0.21737763
8,121.45,6966.851019382477,9616,0.19106306,0.0046379426,70.90437,627.749671414267,996607,23.24294,0.8933022394776344,0.0,0.19106306
9,122.55,6973.510854005814,9625,0.16827707,0.0047547487,69.972824,628.3141942624388,997625,23.241047,0.9195452481508255,0.0,0.16827707
9,122.05,6980.078671455383,9634,0.18149826,0.0055359686,69.95708,620.6461754876525,998722,23.245672,0.8833390846848488,0.0,0.18149826
10,119.825,6986.623447179794,9644,0.207673,0.006341138,71.301315,603.4005506480432,999789,23.245523,0.8833432421088219,0.0,0.207673
8,117.05,6993.193170070648,9652,0.17269462,0.005333313,67.704346,589.2805973282457,1000757,23.244894,0.8910962417721748,0.0,0.17269462
