TimestepsSoFar,meankl,optimgain,ev_tdlam_before,EpRewMean,surrgain,EpThisIter,entloss,EpisodesSoFar,TimeElapsed,entropy,EpTrueRewMean,EpLenMean
518808,0.013881895,0.40539813,0.7629191875457764,63.2312,0.40539813,11,0.0,2349,1103.2069144248962,23.297857,484.5401390434422,97.4
521817,0.014853387,0.30915424,0.8517674058675766,64.81722,0.30915424,10,0.0,2359,1109.67471408844,23.306868,494.93283458084545,99.7
524856,0.014380511,0.3040381,0.8894986361265182,63.42022,0.3040381,11,0.0,2370,1116.2808575630188,23.304682,488.69602000024895,96.975
528021,0.012880383,0.2769461,0.8388206958770752,66.63738,0.2769461,10,0.0,2380,1122.8343758583069,23.304668,499.23102002028344,99.225
530922,0.014136182,0.30535793,0.8320268839597702,65.80152,0.30535793,10,0.0,2390,1129.4286348819733,23.300295,490.4622465081835,97.725
534102,0.014944691,0.27374983,0.8666550666093826,64.066185,0.27374983,12,0.0,2402,1136.0698821544647,23.302572,478.7961694081461,95.35
537273,0.01469313,0.34401274,0.8841971531510353,63.92408,0.34401274,11,0.0,2413,1142.6253702640533,23.295473,479.1911258742026,95.75
540744,0.0134643745,0.26742315,0.9170671552419662,65.94989,0.26742315,10,0.0,2423,1149.1247386932373,23.296795,494.00072076899266,99.05
543663,0.014449151,0.28165329,0.8511411994695663,66.01701,0.28165329,10,0.0,2433,1155.757728099823,23.29175,498.35001903675766,98.95
546846,0.014334628,0.30353257,0.8917503878474236,69.723755,0.30353257,10,0.0,2443,1162.3027606010437,23.29299,519.185739562605,104.375
549999,0.014126789,0.32610968,0.886225052177906,71.67485,0.32610968,10,0.0,2453,1168.8579709529877,23.298018,527.2057710398343,106.05
553002,0.013695721,0.27427876,0.874462828040123,67.72678,0.27427876,11,0.0,2464,1175.401546239853,23.290998,497.9104312755693,100.175
555888,0.0038404064,0.14268157,0.8496319055557251,61.806995,0.14268157,11,0.0,2475,1182.039384841919,23.29199,469.3400902871452,95.625
558579,0.014722148,0.2821446,0.871747687458992,63.92589,0.2821446,9,0.0,2484,1188.6324820518494,23.295652,474.97545201461963,95.95
561639,0.003978132,0.15289134,0.8819718360900879,61.875744,0.15289134,11,0.0,2495,1195.241996049881,23.29539,454.255386350742,91.125
564531,0.014460194,0.34998518,0.9070223048329353,66.06001,0.34998518,9,0.0,2504,1201.8348038196564,23.294615,483.5651146310248,96.075
567639,0.004222125,0.16098244,0.87533388286829,68.30827,0.16098244,11,0.0,2515,1208.5000898838043,23.29004,495.98523942470354,97.925
571032,0.0144759165,0.27405438,0.8972009792923927,66.193344,0.27405438,12,0.0,2527,1215.0872883796692,23.278318,498.3934631000837,97.5
574128,0.013394254,0.30980164,0.825048953294754,65.139885,0.30980164,11,0.0,2538,1221.5956296920776,23.27979,490.95104278369416,96.125
577275,0.0038899323,0.14803681,0.8412649780511856,63.390594,0.14803681,10,0.0,2548,1228.1062994003296,23.27913,480.7768756837605,94.55
580491,0.014808694,0.28581828,0.8837474584579468,64.931656,0.28581828,11,0.0,2559,1234.7309653759003,23.278545,487.7928020392943,96.7
583371,0.00425121,0.15010037,0.8600567281246185,68.05317,0.15010037,10,0.0,2569,1241.4139971733093,23.281252,492.60928901551625,97.575
586605,0.0040989406,0.1558612,0.8951749056577682,69.76735,0.1558612,10,0.0,2579,1248.2506787776947,23.27879,506.3656152121941,100.3
589707,0.014385998,0.27897388,0.8860794827342033,70.59239,0.27897388,10,0.0,2589,1254.7440195083618,23.273863,514.702770345193,101.625
592785,0.0038386406,0.15725121,0.8398392498493195,68.33661,0.15725121,11,0.0,2600,1261.2259275913239,23.267828,505.53695939232165,99.75
595740,0.014465091,0.28681076,0.8477059155702591,66.37422,0.28681076,10,0.0,2610,1267.8656136989594,23.267328,506.0137447265286,100.375
598611,0.014466219,0.34869063,0.8681770116090775,62.664825,0.34869063,10,0.0,2620,1274.469244480133,23.261068,493.49668489379076,97.75
601818,0.0043055727,0.14746091,0.8851888328790665,59.057068,0.14746091,12,0.0,2632,1281.074375152588,23.2632,480.83823844961114,94.525
604728,0.004058178,0.14149164,0.8479850739240646,59.694214,0.14149164,10,0.0,2642,1287.7017250061035,23.26296,481.95653342158903,94.9
607755,0.013230483,0.26623893,0.8749180287122726,57.313843,0.26623893,11,0.0,2653,1294.3744716644287,23.257387,463.9250145318445,91.975
610743,0.014535517,0.37970352,0.8462052792310715,60.08541,0.37970352,10,0.0,2663,1300.942006111145,23.258705,478.08724798200876,94.95
614031,0.014921367,0.38055804,0.8613860607147217,67.26601,0.38055804,8,0.0,2671,1307.5135955810547,23.258873,518.1245615964223,104.05
616737,0.004105199,0.1426659,0.8489293307065964,69.12709,0.1426659,10,0.0,2681,1314.4863891601562,23.257566,515.9775298028095,102.875
619965,0.0039521977,0.15635605,0.8835662752389908,73.06835,0.15635605,10,0.0,2691,1321.194257259369,23.258299,533.197175015701,106.3
622950,0.004097263,0.16613902,0.846783459186554,71.75571,0.16613902,11,0.0,2702,1327.841064453125,23.261147,518.3371885395026,104.125
626007,0.0041560777,0.15163948,0.8737741708755493,66.32044,0.15163948,11,0.0,2713,1334.5057544708252,23.2595,474.2270458990176,95.225
629082,0.0039705047,0.16465646,0.8846171349287033,63.71406,0.16465646,11,0.0,2724,1341.1604146957397,23.264666,466.6181381541804,95.3
631848,0.014689316,0.30008593,0.8121402412652969,60.755962,0.30008593,10,0.0,2734,1347.9945528507233,23.268978,454.00102619804875,92.7
634851,0.003892387,0.14813231,0.8513912558555603,60.76825,0.14813231,10,0.0,2744,1354.7067964076996,23.268549,461.1770942779123,93.625
637794,0.0039225896,0.13969962,0.856419175863266,59.065845,0.13969962,11,0.0,2755,1361.4227468967438,23.267843,461.3759668933168,94.6
641214,0.00398304,0.15844655,0.8943257257342339,62.171154,0.15844655,10,0.0,2765,1368.2954602241516,23.269777,484.282351591073,98.075
644319,0.004051976,0.14913833,0.856928750872612,65.37581,0.14913833,10,0.0,2775,1374.95077419281,23.269045,505.441171118056,101.85
647079,0.0038703214,0.14225583,0.8629747182130814,67.14716,0.14225583,9,0.0,2784,1381.6713483333588,23.267998,511.23495936485125,101.9
650073,0.0038434528,0.13977297,0.9153997078537941,70.92924,0.13977297,9,0.0,2793,1388.4279062747955,23.265139,534.92118191231,106.125
653205,0.0041151275,0.15714736,0.8433983325958252,70.70785,0.15714736,10,0.0,2803,1395.079205751419,23.26457,527.7974414086244,104.5
656046,0.0038162938,0.13639066,0.8882237151265144,67.02685,0.13639066,11,0.0,2814,1401.7369866371155,23.264627,504.8399891994344,99.475
659139,0.014626931,0.29676288,0.8697486221790314,64.83242,0.29676288,11,0.0,2825,1408.4838364124298,23.263838,494.4942657794143,98.325
662097,0.003958093,0.14472064,0.87089703977108,59.127605,0.14472064,11,0.0,2836,1415.32559800148,23.262627,459.8913152006233,91.375
665298,0.0038149469,0.1501728,0.8577688932418823,58.590996,0.1501728,11,0.0,2847,1422.018711566925,23.260332,463.6323163451481,91.8
668484,0.014737974,0.30786172,0.8636957257986069,63.497303,0.30786172,9,0.0,2856,1428.6228849887848,23.261454,496.49875646885494,99.15
671559,0.0041765473,0.15193643,0.851558655500412,65.09792,0.15193643,10,0.0,2866,1435.3382415771484,23.25788,506.469397120935,101.15
674814,0.003761772,0.13618281,0.9169348850846291,67.36078,0.13618281,11,0.0,2877,1442.1087799072266,23.258705,514.3380735014113,102.2
677997,0.01427475,0.3095495,0.8515332341194153,70.25881,0.3095495,10,0.0,2887,1448.819442987442,23.260172,530.762402130081,105.825
681048,0.0039466587,0.14492375,0.8536614924669266,64.39398,0.14492375,11,0.0,2898,1455.3981614112854,23.259945,492.28601013007284,97.825
684165,0.00411057,0.15603036,0.834510013461113,67.2727,0.15603036,9,0.0,2907,1462.0672075748444,23.25928,511.85818170420237,101.725
