EpRewMean,EpTrueRewMean,TimeElapsed,EpisodesSoFar,optimgain,entropy,TimestepsSoFar,entloss,ev_tdlam_before,EpThisIter,meankl,surrgain,EpLenMean
531.404,2621.3014414247327,1174.4009957313538,748,0.09540558,6.8284745,827748,0.0,0.6313415169715881,1,0.009571536,0.09540558,818.5
522.2221,2597.32890825057,1178.8590250015259,750,0.095832676,6.751146,832575,0.0,0.7116281688213348,2,0.010632563,0.095832676,808.725
521.4061,2604.6845680495126,1183.3180367946625,751,0.07656725,6.7756495,835575,0.0,0.286809504032135,1,0.009652022,0.07656725,808.725
519.9911,2605.289800233516,1187.7881789207458,752,0.10039411,6.774156,838575,0.0,0.2188553810119629,1,0.00973933,0.10039411,808.725
502.8891,2505.718675181647,1192.2736337184906,754,0.117154,6.749572,841908,0.0,0.8513291478157043,2,0.011036428,0.117154,787.15
499.0495,2495.755483776077,1196.704269170761,756,0.11497119,6.726258,846771,0.0,0.8752390444278717,2,0.010757178,0.11497119,781.15
509.49512,2554.941213065528,1201.157727241516,757,0.08685999,6.739365,849771,0.0,-0.03469228744506836,1,0.009609955,0.08685999,796.95
486.74252,2421.811821575867,1205.5772993564606,759,0.12093091,6.73439,851514,0.0,0.905939519405365,2,0.012578393,0.12093091,761.475
487.89575,2429.1662564826393,1210.0369336605072,760,0.080387354,6.7247276,854514,0.0,0.019730448722839355,1,0.010660336,0.080387354,763.875
488.50275,2439.5677128406687,1214.490439414978,761,0.08371003,6.7184887,857514,0.0,0.11810672283172607,1,0.009241753,0.08371003,765.725
499.8632,2505.4694754144653,1218.9871635437012,762,0.09674491,6.69922,860514,0.0,0.13655471801757812,1,0.010753892,0.09674491,784.25
506.81113,2549.8335176572746,1223.4534590244293,763,0.10346784,6.6954966,863514,0.0,0.134829580783844,1,0.0106585715,0.10346784,795.825
519.4237,2633.6225527907654,1227.8807537555695,764,0.079401985,6.6464806,866514,0.0,0.12059420347213745,1,0.009905651,0.079401985,813.975
507.93887,2574.8525551756306,1232.350864648819,766,0.09991293,6.655879,870318,0.0,0.7420866787433624,2,0.008940116,0.09991293,797.725
503.06134,2562.580593794727,1236.7992713451385,767,0.10477743,6.6257176,872556,0.0,0.8425764590501785,1,0.0098183695,0.10477743,791.375
501.5353,2568.197901788586,1241.2273726463318,768,0.0800598,6.5944686,875556,0.0,0.2587284445762634,1,0.009633043,0.0800598,791.375
514.756,2643.966405432824,1245.6330642700195,769,0.08980265,6.6199813,878361,0.0,0.8625775724649429,1,0.009666609,0.08980265,810.825
513.94934,2641.5793229446726,1250.145682811737,770,0.07736294,6.6139674,881361,0.0,0.03492802381515503,1,0.010826211,0.07736294,810.825
526.6589,2727.9693935801706,1254.5738108158112,771,0.07749963,6.633668,884361,0.0,0.22624355554580688,1,0.011120772,0.07749963,831.975
541.004,2803.6552973847165,1259.024962425232,772,0.07532728,6.674913,887361,0.0,0.0536959171295166,1,0.009264886,0.07532728,854.025
540.18695,2799.2700625186944,1263.4673609733582,773,0.09122792,6.7163258,890361,0.0,0.18085885047912598,1,0.012516266,0.09122792,854.025
536.869,2791.4013787146437,1267.8871896266937,774,0.18602762,6.719038,893046,0.0,0.8635410070419312,1,0.012523869,0.18602762,851.4
540.4012,2820.031381171778,1272.358469247818,775,0.06607757,6.6964583,896046,0.0,0.2974644899368286,1,0.009576809,0.06607757,860.6
537.9141,2811.398323995107,1276.8279621601105,776,0.087637216,6.7327743,899046,0.0,0.46929287910461426,1,0.009998777,0.087637216,860.6
536.638,2800.2222392828826,1281.322818994522,777,0.07521002,6.7229176,902046,0.0,0.08389586210250854,1,0.009367125,0.07521002,860.6
536.49493,2794.5345959974666,1285.7691855430603,778,0.091502436,6.743108,905046,0.0,0.38556307554244995,1,0.009879351,0.091502436,860.6
534.4043,2778.6384108108014,1290.2455170154572,779,0.11086574,6.7398076,907500,0.0,0.8910232931375504,1,0.010507932,0.11086574,856.05
533.1417,2773.142686345179,1294.7132756710052,780,0.094460055,6.7166286,910500,0.0,0.05490511655807495,1,0.009925127,0.094460055,856.05
532.4052,2771.4229455987715,1299.174334526062,781,0.084576786,6.7308393,913500,0.0,0.2008962631225586,1,0.010785228,0.084576786,856.05
532.0026,2757.5321627902863,1303.7068178653717,782,0.07653688,6.7805777,916500,0.0,0.18632090091705322,1,0.011014173,0.07653688,856.05
519.29083,2675.0368156364257,1308.159666776657,783,0.13324451,6.773076,917172,0.0,0.9561367332935333,1,0.010397443,0.13324451,836.65
518.0003,2657.5671195214372,1312.583590745926,784,0.08419656,6.7613997,920172,0.0,0.27646422386169434,1,0.009756638,0.08419656,836.65
525.3072,2708.358078713987,1317.0099651813507,785,0.07153951,6.74091,923172,0.0,0.15120476484298706,1,0.010976679,0.07153951,850.325
524.9063,2699.570836292317,1321.4198505878448,786,0.074426435,6.7114697,926172,0.0,0.12701666355133057,1,0.009984922,0.074426435,850.325
534.60724,2758.8958405111503,1325.8921473026276,787,0.12845789,6.7268505,928629,0.0,0.9121624827384949,1,0.0104430355,0.12845789,865.675
518.4579,2679.922408676955,1330.5355343818665,789,0.08823031,6.728634,932163,0.0,0.8130490183830261,2,0.0097379545,0.08823031,845.125
524.3695,2713.961059784754,1334.9463381767273,790,0.083693184,6.713558,935163,0.0,-0.13255620002746582,1,0.009716283,0.083693184,854.9
524.00616,2704.5814595662896,1339.361109495163,791,0.07538755,6.732404,938163,0.0,0.15468543767929077,1,0.01095841,0.07538755,854.9
524.7368,2702.179928665766,1343.6998653411865,792,0.08661234,6.7218623,941163,0.0,0.03405153751373291,1,0.010081189,0.08661234,854.9
529.387,2713.6407161243797,1348.1088771820068,793,0.08341652,6.6933546,944163,0.0,0.0819399356842041,1,0.010722939,0.08341652,863.2
530.41504,2720.1462714294307,1352.4537208080292,795,0.106935546,6.774676,948399,0.0,0.8051109462976456,2,0.009665814,0.106935546,862.95
513.75183,2620.0090451799783,1356.8308098316193,797,0.093215674,6.7623906,950400,0.0,0.8220686912536621,2,0.010922921,0.093215674,838.575
