entropy,optimgain,TimestepsSoFar,EpThisIter,EpTrueRewMean,EpisodesSoFar,TimeElapsed,surrgain,entloss,EpLenMean,ev_tdlam_before,EpRewMean,meankl
8.115357,0.058894876,110679,4,309.2111619326762,302,224.5477294921875,0.058894876,0.0,230.85,0.9283926412463188,309.2111619326762,0.005918633
8.10254,0.05841572,114024,4,317.6653935997348,306,230.79511904716492,0.05841572,0.0,230.3,0.919738844037056,317.6653935997348,0.0066304505
8.086671,0.07263848,117111,4,314.023737926809,310,237.02087497711182,0.07263848,0.0,234.2,0.8641942739486694,314.023737926809,0.006461037
8.074905,0.08190759,120759,5,315.95986139281865,315,243.26320266723633,0.08190759,0.0,237.675,0.9742869418114424,315.95986139281865,0.00601904
8.087892,0.08114996,123249,5,316.47844059082547,320,249.50792360305786,0.08114996,0.0,227.025,0.9164002984762192,316.47844059082547,0.0069112787
8.038743,0.063195184,126228,4,315.91241134522704,324,255.74747228622437,0.063195184,0.0,230.725,0.9357337206602097,315.91241134522704,0.0066006854
8.065617,0.079824455,128526,2,329.2109331444938,326,261.98830795288086,0.079824455,0.0,233.975,0.8118928223848343,329.2109331444938,0.006322833
8.037949,0.10248683,130812,3,335.25615814224267,329,268.2813558578491,0.10248683,0.0,238.125,0.9662632644176483,335.25615814224267,0.006526031
8.010009,0.06085109,134439,4,350.37091803615704,333,274.47346091270447,0.06085109,0.0,246.075,0.9371816664934158,350.37091803615704,0.0063080373
8.01997,0.087928526,137541,5,356.1459532751793,338,280.62271642684937,0.087928526,0.0,249.425,0.9631565436720848,356.1459532751793,0.006271592
8.035352,0.08006083,140718,5,352.63059418482953,343,286.78024768829346,0.08006083,0.0,237.325,0.9801780264824629,352.63059418482953,0.0068298858
8.035752,0.11353462,143310,4,355.0010612038876,347,292.96006083488464,0.11353462,0.0,234.175,0.9461171440780163,355.0010612038876,0.007246511
8.049132,0.090436205,146601,5,364.2033473621721,352,299.13639068603516,0.090436205,0.0,228.55,0.9550170004367828,364.2033473621721,0.0062374305
8.048588,0.096112035,149622,3,378.81249763661464,355,305.3143320083618,0.096112035,0.0,240.525,0.9415068998932838,378.81249763661464,0.0070526158
8.061527,0.086709805,152508,3,396.520891515898,358,311.4712233543396,0.086709805,0.0,251.575,0.9558790363371372,396.520891515898,0.006389904
8.073852,0.08102009,155409,3,415.3995815716429,361,317.6902799606323,0.08102009,0.0,264.175,0.9718570951372385,415.3995815716429,0.0065588644
8.0949745,0.09981136,158934,4,419.92714921531217,365,323.9197828769684,0.09981136,0.0,261.325,0.9652059599757195,419.92714921531217,0.00649421
8.082412,0.08301386,161832,4,420.6346097575777,369,330.1691629886627,0.08301386,0.0,258.5,0.966342780739069,420.6346097575777,0.00606216
8.080567,0.09326935,164607,2,429.95108653464877,371,336.3711562156677,0.09326935,0.0,261.325,0.9427924789488316,429.95108653464877,0.007081045
8.070922,0.08743287,166899,2,449.0285594033576,373,342.61286449432373,0.08743287,0.0,270.5,0.9446433000266552,449.0285594033576,0.0067010205
8.077696,0.10667931,171030,3,473.47434796266714,376,348.8644618988037,0.10667931,0.0,290.075,0.9328312501311302,473.47434796266714,0.007018001
8.0586405,0.06288253,174630,2,498.6292638421455,378,355.0973675251007,0.06288253,0.0,309.075,0.6793412566184998,498.6292638421455,0.007110849
8.031325,0.07574883,177546,2,506.49181246751397,380,361.3459942340851,0.07574883,0.0,321.025,0.7751290798187256,506.49181246751397,0.0064923046
8.017807,0.059945427,180546,1,526.8215745694941,381,367.6151316165924,0.059945427,0.0,340.95,0.04139620065689087,526.8215745694941,0.0072568217
8.004273,0.09913236,183843,2,553.2194049948354,383,373.88693261146545,0.09913236,0.0,359.375,0.9702205993235111,553.2194049948354,0.00649505
8.010022,0.0814437,189285,3,584.3151738371859,386,380.11672258377075,0.0814437,0.0,387.175,0.7736220806837082,584.3151738371859,0.0072174463
8.018173,0.064856425,192285,1,607.5144278479361,387,386.35525703430176,0.064856425,0.0,408.125,0.07459837198257446,607.5144278479361,0.0074975244
