EpLenMean,TimestepsSoFar,EpThisIter,ev_tdlam_before,optimgain,EpisodesSoFar,TimeElapsed,meankl,entropy,surrgain,entloss,EpRewMean,EpTrueRewMean
82.1,260934,13,0.9067035540938377,0.23369084,1423,476.84478282928467,0.011418133,23.513655,0.23369084,0.0,405.76585274407387,405.76585274407387
84.025,263937,12,0.9270254373550415,0.22464876,1435,482.3875000476837,0.010888724,23.503092,0.22464876,0.0,411.96199711000133,411.96199711000133
81.9,266985,12,0.9189088419079781,0.3389309,1447,487.94938802719116,0.011526515,23.509928,0.3389309,0.0,406.01217408674273,406.01217408674273
82.075,269940,13,0.8964098989963531,0.2679481,1460,493.604877948761,0.011920332,23.514711,0.2679481,0.0,411.6173065672644,411.6173065672644
84.15,273276,12,0.8693218678236008,0.4405165,1472,499.2134008407593,0.012210742,23.497736,0.4405165,0.0,421.6887662342184,421.6887662342184
81.0,276336,13,0.8911580219864845,0.24218315,1485,504.7789764404297,0.011465948,23.49168,0.24218315,0.0,403.32810279061016,403.32810279061016
82.175,279393,13,0.9023970663547516,0.26857287,1498,510.4245550632477,0.01084806,23.489325,0.26857287,0.0,410.0757460821586,410.0757460821586
81.725,282411,11,0.8659972101449966,0.26093766,1509,515.9811840057373,0.012111835,23.479975,0.26093766,0.0,404.0400415903194,404.0400415903194
81.975,285315,12,0.9105984419584274,0.24781355,1521,521.591801404953,0.010916939,23.482649,0.24781355,0.0,403.35893968056615,403.35893968056615
87.4,288384,11,0.8743713945150375,0.25701982,1532,527.251478433609,0.0117961345,23.486147,0.25701982,0.0,436.4021406759799,436.4021406759799
84.8,291441,13,0.9164839386940002,0.23751558,1545,532.9515144824982,0.011431653,23.4798,0.23751558,0.0,428.2672233236723,428.2672233236723
84.175,294345,11,0.8842822387814522,0.25927934,1556,538.8026096820831,0.0114764925,23.478535,0.25927934,0.0,428.4235821859601,428.4235821859601
84.475,297573,13,0.9414191655814648,0.23853362,1569,544.3671128749847,0.0108298175,23.463133,0.23853362,0.0,423.15283887073093,423.15283887073093
84.975,300699,12,0.903499647974968,0.2435919,1581,550.034797668457,0.012485374,23.461664,0.2435919,0.0,424.27997157666766,424.27997157666766
86.475,303813,12,0.9181143715977669,0.22340932,1593,555.6202127933502,0.011684253,23.459738,0.22340932,0.0,427.8324360617353,427.8324360617353
86.7,306738,11,0.8822563663125038,0.26895317,1604,561.2866945266724,0.011549795,23.459982,0.26895317,0.0,432.0878328667883,432.0878328667883
89.35,310050,12,0.9048269018530846,0.27643803,1616,567.1782402992249,0.012263051,23.462324,0.27643803,0.0,444.3131216647624,444.3131216647624
