TimeElapsed,surrgain,TimestepsSoFar,EpTrueRewMean,EpThisIter,EpRewMean,EpisodesSoFar,EpLenMean,entloss,meankl,entropy,optimgain,ev_tdlam_before
2854.0979692935944,0.06391934,344895,1929.4912582034642,1,176.8072,337,555.95,0.0,0.009173083,2.5386314,0.06391934,0.9127506390213966
2879.5044033527374,0.05087281,347826,1958.815168786245,1,179.383,338,565.1,0.0,0.009029414,2.5636156,0.05087281,0.6658308506011963
2904.122287750244,0.05764297,351480,2016.3121501366397,2,183.96736,340,580.925,0.0,0.009772576,2.5182562,0.05764297,0.9749150574207306
2929.66295838356,0.042502176,354480,2016.6721365330056,1,184.0131,341,581.175,0.0,0.008980703,2.5291846,0.042502176,0.2363153100013733
2954.6447212696075,0.060163096,356223,2056.152072288988,1,187.34196,342,591.55,0.0,0.00924998,2.558102,0.060163096,0.9784498997032642
2979.8488912582397,0.049374163,359067,2121.8929945861264,1,192.71191,343,609.275,0.0,0.010415774,2.5471315,0.049374163,0.8509115278720856
3004.070505142212,0.053592708,360393,2103.3676888189793,1,191.3482,344,604.775,0.0,0.00916712,2.4908426,0.053592708,0.12738430500030518
3029.6849954128265,0.046019115,363393,2137.625543441034,1,194.30531,345,614.775,0.0,0.009980382,2.4760637,0.046019115,0.09382754564285278
3054.265231847763,0.058965646,364284,2123.671175088256,1,193.42307,346,611.175,0.0,0.009941172,2.5123503,0.058965646,0.9762666411697865
3079.510617017746,0.062002245,367290,2036.4731160746255,2,188.20496,348,586.225,0.0,0.009364407,2.5057218,0.062002245,0.935844324529171
3104.5748245716095,0.053896878,371439,2060.2800219640803,2,191.60905,350,592.55,0.0,0.009304573,2.4934657,0.053896878,0.9672752544283867
3130.0508246421814,0.047562927,373692,2108.521497000437,1,195.92363,351,605.925,0.0,0.009267012,2.5242062,0.047562927,0.9675892777740955
3154.8988988399506,0.060684063,376533,1987.6798208193188,3,185.34256,354,570.7,0.0,0.00946266,2.5013487,0.060684063,0.9867374319583178
