optimgain,EpTrueRewMean,entloss,entropy,surrgain,EpisodesSoFar,TimestepsSoFar,meankl,EpLenMean,ev_tdlam_before,EpThisIter,TimeElapsed,EpRewMean
0.079774104,2440.2234130791207,0.0,7.20299,0.079774104,639,857871,0.009345839,834.1,-0.04457736015319824,1,1151.7305896282196,787.59265
0.09950315,2348.5759937947396,0.0,7.2153363,0.09950315,642,862089,0.009668274,805.875,0.8263213783502579,3,1158.2569768428802,757.50934
0.08436013,2346.9401194577576,0.0,7.2168584,0.08436013,643,865089,0.010146765,805.875,-0.0737072229385376,1,1164.6754593849182,756.71985
0.08925845,2347.350038054258,0.0,7.2205844,0.08925845,644,868089,0.009004109,805.875,-0.10961639881134033,1,1171.1001515388489,756.5146
0.10000295,2217.1386310522666,0.0,7.2260776,0.10000295,647,872136,0.009869084,764.6,0.9241791069507599,3,1177.5853152275085,716.84033
0.10946294,2243.915302201308,0.0,7.2239385,0.10946294,648,873918,0.010100087,769.35,0.8874384239315987,1,1184.1206464767456,723.80853
0.13095894,2281.816911065408,0.0,7.2303467,0.13095894,649,876918,0.00912953,780.375,0.8622564673423767,1,1190.6803114414215,733.74396
0.121481866,2222.5081853421498,0.0,7.239149,0.121481866,651,880980,0.01171352,764.225,0.7515646368265152,2,1197.1905272006989,717.9826
0.10404427,2265.133956969933,0.0,7.2141123,0.10404427,652,883980,0.009707055,776.4,-0.03512930870056152,1,1203.6675853729248,729.54956
0.08146902,2268.9015618206095,0.0,7.181136,0.08146902,654,889569,0.010076682,775.2,0.1200379729270935,2,1210.194483757019,727.69904
0.10679435,2292.2999224019586,0.0,7.147384,0.10679435,655,891612,0.0087334495,782.375,0.5374876260757446,1,1216.6767432689667,734.05994
0.11043213,2317.4066610383024,0.0,7.1340814,0.11043213,656,894612,0.009907107,790.475,-0.3131906986236572,1,1223.1659400463104,742.86816
0.11029964,2337.0327060186282,0.0,7.1274457,0.11029964,657,896724,0.00987818,797.2,0.9005350768566132,1,1229.729267835617,749.8419
0.08045099,2336.4323428811235,0.0,7.1430497,0.08045099,658,899724,0.00870053,797.2,-0.0652608871459961,1,1236.238408088684,748.62744
0.097282715,2373.287528122107,0.0,7.171386,0.097282715,659,902724,0.009973643,808.2,-0.07004022598266602,1,1242.7603783607483,758.1841
0.0816976,2445.9586378567974,0.0,7.165788,0.0816976,660,905724,0.00853629,827.425,0.14066088199615479,1,1249.2539014816284,778.1413
0.09823188,2448.4629336905477,0.0,7.1645517,0.09823188,661,908724,0.00950563,827.425,0.12590020895004272,1,1255.6817951202393,777.8737
0.10264303,2442.3271430950604,0.0,7.1352677,0.10264303,663,912960,0.008982058,825.625,0.3473389744758606,2,1262.2347037792206,775.88416
0.12760614,2486.7099624960706,0.0,7.099291,0.12760614,664,915615,0.010566784,839.5,0.8726192861795425,1,1268.679481267929,788.6957
0.098128736,2411.2241755699697,0.0,7.106688,0.098128736,666,919326,0.009983281,820.425,0.728568434715271,2,1275.1610279083252,768.244
0.09997519,2378.7189534362196,0.0,7.093855,0.09997519,668,923961,0.009505775,809.05,0.5490926206111908,2,1281.644448518753,757.5831
0.12324648,2369.2507995912106,0.0,7.0914297,0.12324648,669,926961,0.01018246,809.05,-0.3859745264053345,1,1288.029752254486,756.6425
0.13112411,2310.8167903819854,0.0,7.090166,0.13112411,671,930552,0.009942329,790.875,0.77625572681427,2,1294.4750971794128,737.9407
0.12659873,2340.5392406492165,0.0,7.1084423,0.12659873,672,933552,0.010366963,797.55,-0.08376169204711914,1,1300.947588443756,745.817
0.09097957,2344.1692311734137,0.0,7.0929117,0.09097957,673,936552,0.010097448,797.55,-0.10750234127044678,1,1307.425903558731,745.39636
0.08299243,2349.1641608452255,0.0,7.080809,0.08299243,674,939552,0.009792084,797.55,0.08193045854568481,1,1314.2288143634796,744.77264
0.10042143,2337.6201651346237,0.0,7.086259,0.10042143,675,941130,0.009585507,793.825,0.8280122131109238,1,1320.5754840373993,740.69775
0.08646241,2339.213518439214,0.0,7.066881,0.08646241,676,944130,0.00895364,793.825,-0.008914351463317871,1,1327.0135865211487,740.47577
0.083849944,2336.3805064820417,0.0,7.0432096,0.083849944,677,947130,0.009209945,793.825,-0.10936915874481201,1,1333.5366413593292,738.45447
0.09057691,2334.138192814044,0.0,7.063032,0.09057691,678,950130,0.009376435,793.825,0.5030295252799988,1,1340.0011219978333,737.07007
0.15330386,2319.7915394761635,0.0,7.0692754,0.15330386,679,952611,0.01097746,789.5,0.6844865381717682,1,1346.4611382484436,734.86536
0.085072994,2350.0013098767417,0.0,7.0698404,0.085072994,680,955611,0.010656081,798.575,0.06413841247558594,1,1352.9095029830933,742.3307
0.08274193,2389.5469905308505,0.0,7.063109,0.08274193,681,958611,0.008600585,811.475,-0.08456635475158691,1,1359.3678081035614,753.7762
0.09840983,2449.8215097435623,0.0,7.086308,0.09840983,682,961611,0.010823057,829.35,-0.028948307037353516,1,1365.794023513794,770.0744
0.097524695,2457.560271998301,0.0,7.084721,0.097524695,683,964611,0.008808798,829.35,0.26921576261520386,1,1372.2002983093262,769.73254
0.08963142,2457.9278286002673,0.0,7.0635366,0.08963142,684,967611,0.009591056,829.35,0.025802791118621826,1,1378.6657841205597,768.2182
0.09445086,2550.714346014126,0.0,7.0620074,0.09445086,686,973611,0.010345439,857.125,0.1758134365081787,2,1385.0833957195282,791.91394
0.19131207,2590.4196437097753,0.0,7.054748,0.19131207,687,976341,0.01039151,868.375,0.5023300647735596,1,1391.595697402954,801.952
0.10751845,2564.082480561957,0.0,7.0524335,0.10751845,688,977409,0.009959942,862.425,0.8056029677391052,1,1398.0429108142853,795.0521
0.094147615,2560.7047318145546,0.0,7.036556,0.094147615,689,980409,0.009426838,862.425,0.05266600847244263,1,1404.51176571846,792.7282
0.09218718,2568.5066829665793,0.0,7.046207,0.09218718,690,983409,0.010451371,863.95,0.01571357250213623,1,1411.3117604255676,792.0026
0.13737586,2573.582841237397,0.0,7.022779,0.13737586,692,987774,0.010325974,864.95,0.8071337789297104,2,1419.9241135120392,792.62585
0.17467201,2535.3198245115577,0.0,7.021663,0.17467201,693,989361,0.011493129,856.6,0.7891238927841187,1,1428.4698288440704,783.40173
0.1664874,2533.1648578753898,0.0,7.031551,0.1664874,694,992361,0.01067238,856.6,0.25055545568466187,1,1436.8028433322906,783.10187
0.103264615,2559.074688011998,0.0,7.0312333,0.103264615,695,995361,0.010762659,864.575,0.07805532217025757,1,1444.9119670391083,790.0477
0.14217174,2542.3965224033664,0.0,7.0252643,0.14217174,696,997617,0.012718566,858.375,0.758630782365799,1,1453.0767714977264,782.70526
0.11434223,2536.8392426229284,0.0,6.996565,0.11434223,698,1002333,0.010227611,855.075,0.8845193460583687,2,1461.2850966453552,779.17267
