TimestepsSoFar,entropy,entloss,TimeElapsed,EpisodesSoFar,optimgain,EpThisIter,EpTrueRewMean,EpRewMean,meankl,surrgain,EpLenMean,ev_tdlam_before
876330,23.050621,0.0,1879.2087485790253,3555,0.15367156,9,561.7729386943371,67.59779,0.004037922,0.15367156,108.375,0.8910600990056992
879393,23.04938,0.0,1886.1079499721527,3565,0.14840369,10,544.4190648847987,65.37939,0.00414943,0.14840369,106.325,0.8565124422311783
882489,23.04907,0.0,1892.7192878723145,3574,0.13777399,9,555.3344632196931,68.56116,0.0038170575,0.13777399,108.85,0.8878659307956696
885582,23.042742,0.0,1899.36763048172,3583,0.28447577,9,550.8263347845116,70.39675,0.014294848,0.28447577,109.25,0.8783904016017914
888471,23.042416,0.0,1905.996458530426,3592,0.15234056,9,560.5525417154871,71.64643,0.003963907,0.15234056,110.8,0.8851154148578644
891810,23.043129,0.0,1912.630244731903,3602,0.1781473,10,565.2086755029552,72.182724,0.00407394,0.1781473,112.7,0.8843779191374779
894687,23.04352,0.0,1919.2794342041016,3610,0.15663336,8,562.485493608656,72.57748,0.003954645,0.15663336,112.8,0.8622710108757019
897825,23.045082,0.0,1925.920005083084,3620,0.16181743,10,552.3759548389826,71.212906,0.004048516,0.16181743,110.075,0.885408341884613
900660,23.044172,0.0,1932.5306713581085,3629,0.1570467,9,544.0903273419806,69.05542,0.0041220053,0.1570467,108.575,0.8338866531848907
903672,23.045982,0.0,1939.246815443039,3639,0.15065119,10,540.5066677680309,69.07024,0.0042024446,0.15065119,107.4,0.875688374042511
906735,23.044518,0.0,1945.8821585178375,3648,0.15878221,9,543.5030458564895,68.14003,0.004683782,0.15878221,107.275,0.8820815980434418
909816,23.042482,0.0,1952.5457565784454,3658,0.1325319,10,528.8323389154273,66.70691,0.0038838862,0.1325319,105.125,0.9206982180476189
912960,23.041826,0.0,1959.111517906189,3668,0.1486801,10,525.5475857530843,67.488144,0.0042635994,0.1486801,104.475,0.867751732468605
916041,23.044172,0.0,1965.8530464172363,3676,0.15731154,8,550.3611007990742,71.84965,0.0042701755,0.15731154,109.225,0.8951587304472923
918972,23.045229,0.0,1972.541263103485,3685,0.17607558,9,554.9275895822872,74.0318,0.004120175,0.17607558,109.8,0.8346572667360306
921897,23.047039,0.0,1979.1780865192413,3695,0.16009489,10,550.6469009587627,72.364426,0.004070879,0.16009489,108.6,0.8261383324861526
925266,23.047445,0.0,1986.0536851882935,3705,0.13825834,10,559.4669305655225,74.0428,0.0038757827,0.13825834,110.65,0.8805198669433594
928356,23.041811,0.0,1992.7016685009003,3715,0.24708165,10,534.6211678141412,69.0546,0.0142673515,0.24708165,106.925,0.8297836929559708
