EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,optimgain,EpLenMean,entloss,TimeElapsed,entropy,EpThisIter,TimestepsSoFar,EpRewMean,surrgain,meankl
369,943.5844383710971,0.7500006854534149,0.14002395,485.425,0.0,613.9297187328339,7.62915,1,311886,468.60507,0.14002395,0.007358027
372,950.7175714610534,0.8538101464509964,0.09940593,480.325,0.0,619.9751620292664,7.6255503,3,315396,474.1416,0.09940593,0.0070227343
375,967.4706010720414,0.8626154661178589,0.116648465,484.8,0.0,626.0300862789154,7.620776,3,318897,485.23334,0.116648465,0.007537773
378,968.1144054066597,0.8966569900512695,0.13064745,481.8,0.0,632.1000580787659,7.6163206,3,322014,486.35214,0.13064745,0.0074691838
380,978.8505440812112,0.7506077736616135,0.17318028,479.0,0.0,638.1923584938049,7.6181636,2,325062,489.3338,0.17318028,0.008136762
383,954.8310911578795,0.8440842032432556,0.110141635,474.375,0.0,644.2804608345032,7.5998077,3,328836,475.73438,0.110141635,0.007893762
385,974.2189374178755,0.7942806780338287,0.10833061,479.675,0.0,650.3725287914276,7.6027827,2,331803,482.54102,0.10833061,0.0077317273
389,941.0700816076212,0.8340373486280441,0.1389992,456.825,0.0,656.4996333122253,7.602787,4,335613,469.44067,0.1389992,0.008748369
391,926.8651233309872,0.8651367574930191,0.16026838,451.45,0.0,662.737336397171,7.5975795,2,337401,460.48065,0.16026838,0.008310836
393,922.0557180960557,0.9322085678577423,0.1206158,449.8,0.0,669.1073868274689,7.587936,2,340431,458.58432,0.1206158,0.007926494
396,908.2563483215915,0.8915357664227486,0.09905922,443.45,0.0,675.4430787563324,7.5953245,3,343536,449.07745,0.09905922,0.007426021
398,906.2002899634057,0.912691131234169,0.16802491,441.85,0.0,681.7862546443939,7.5869594,2,346716,447.64307,0.16802491,0.008085755
399,915.3081570017275,0.7987026423215866,0.109295785,449.025,0.0,688.1797642707825,7.593815,1,349092,451.80917,0.109295785,0.0076186997
400,913.512700256063,0.8666391223669052,0.103089675,447.125,0.0,694.5222730636597,7.5856943,1,350520,450.1848,0.103089675,0.0074924296
402,930.6761997108442,0.8989620208740234,0.15207034,442.025,0.0,700.9074845314026,7.582443,2,353238,457.6247,0.15207034,0.008284661
404,955.362366478792,0.8562025725841522,0.09364815,457.0,0.0,707.2462658882141,7.59093,2,357453,468.44794,0.09364815,0.007369984
406,974.6005463408707,0.7760042995214462,0.10258809,456.375,0.0,713.5619697570801,7.5887933,2,361149,475.205,0.10258809,0.007854525
407,993.2210116662778,0.7462515234947205,0.17106132,461.65,0.0,719.9170298576355,7.572769,1,362457,481.84375,0.17106132,0.0067250268
409,984.2657409363565,0.8971776142716408,0.10297771,455.8,0.0,726.2696425914764,7.56744,2,366582,476.77423,0.10297771,0.008028701
412,969.2989957423699,0.8508080095052719,0.104112506,455.825,0.0,732.5748906135559,7.5654173,3,370095,470.2001,0.104112506,0.0076355427
414,965.2418340510907,0.8576531261205673,0.100576185,454.7,0.0,738.9485824108124,7.569523,2,372576,465.2099,0.100576185,0.007772429
418,966.2359152381221,0.9234075471758842,0.098378405,453.4,0.0,745.266978263855,7.564591,4,376422,460.43994,0.098378405,0.009065978
420,958.6919488514457,0.8312477767467499,0.106587805,450.05,0.0,751.6068384647369,7.5466313,2,379068,453.07413,0.106587805,0.0078663565
423,966.8853736826935,0.9120873957872391,0.10394521,446.825,0.0,757.9798755645752,7.5454226,3,382455,456.52725,0.10394521,0.008316772
425,967.7890098617812,0.9176250770688057,0.11843328,441.5,0.0,764.26384973526,7.5544558,2,384783,457.68292,0.11843328,0.008051679
427,984.6191084394402,0.8108931630849838,0.09966639,446.3,0.0,770.6136090755463,7.5561514,2,387036,461.28778,0.09966639,0.007647449
429,998.7399905253812,0.8497538864612579,0.08912304,449.75,0.0,776.8632838726044,7.562137,2,389583,463.9999,0.08912304,0.0077781198
430,1006.3116229633226,0.6501417756080627,0.11839751,453.225,0.0,783.1481535434723,7.552869,1,390936,464.33145,0.11839751,0.008032385
432,1011.5245093594843,0.893688939511776,0.15356177,452.55,0.0,789.4546792507172,7.554398,2,392997,465.52832,0.15356177,0.009057961
433,1030.6412916579175,0.8750906810164452,0.107017525,455.625,0.0,795.7798979282379,7.5492067,1,395106,470.39032,0.107017525,0.008340504
436,1062.459804598604,0.8840780928730965,0.100450255,461.15,0.0,802.1323783397675,7.537341,3,398874,478.60483,0.100450255,0.009066909
440,1030.9859741068747,0.8135637044906616,0.10911192,433.05,0.0,808.4974646568298,7.519653,4,402486,458.45215,0.10911192,0.0076112966
443,1039.6210844524053,0.7515975087881088,0.13779084,424.875,0.0,814.8312728404999,7.513123,3,406683,455.36523,0.13779084,0.0086542955
445,1022.5813536642418,0.858805924654007,0.12693813,416.0,0.0,821.1848285198212,7.498214,2,409116,446.83047,0.12693813,0.009029349
446,1046.1435572313858,0.17795366048812866,0.06782154,424.725,0.0,827.5153560638428,7.5137787,1,412116,449.0826,0.06782154,0.0077380603
449,1025.8617357265016,0.9038362875580788,0.099504486,408.275,0.0,833.8652541637421,7.5281243,3,415575,435.71933,0.099504486,0.00810037
450,1045.1098234692695,0.8639308214187622,0.10880654,410.775,0.0,840.2113034725189,7.550794,1,417492,441.00604,0.10880654,0.008566612
451,1092.0008180385398,0.1823543906211853,0.095584735,423.8,0.0,846.4940793514252,7.543442,1,420492,452.35196,0.095584735,0.008575881
452,1122.5156141955767,0.833000972867012,0.09904732,431.825,0.0,852.8418803215027,7.5337486,1,421914,461.6164,0.09904732,0.008281928
453,1149.005816053835,0.8768745586276054,0.099111356,436.9,0.0,859.1469395160675,7.5208282,1,423459,470.45477,0.099111356,0.009596948
454,1161.7379002187292,0.7672571092844009,0.12365012,436.475,0.0,865.4780249595642,7.5193357,1,424953,474.8331,0.12365012,0.00908914
458,1192.1068699525786,0.8999064341187477,0.103888616,441.8,0.0,871.8083505630493,7.4947553,4,429438,486.07846,0.103888616,0.008754395
461,1221.6689217294152,0.8482847809791565,0.103580326,442.75,0.0,878.1285648345947,7.5183268,3,433608,492.93594,0.103580326,0.009590355
462,1272.2785897045803,-0.07736968994140625,0.10209379,459.25,0.0,884.4648113250732,7.5330963,1,436608,509.36713,0.10209379,0.008830909
465,1302.9963547160362,0.6767005622386932,0.10327284,469.85,0.0,890.7631781101227,7.520585,3,441165,514.3693,0.10327284,0.00879954
467,1311.6225464134375,0.8962461575865746,0.101445064,469.25,0.0,897.0182409286499,7.521419,2,443346,518.05286,0.101445064,0.0077700405
468,1360.0196025458063,-0.27832329273223877,0.09405741,482.45,0.0,903.8021221160889,7.5421596,1,446346,533.6222,0.09405741,0.009313224
471,1335.3751351641174,0.9005371108651161,0.0870161,475.875,0.0,910.3541786670685,7.543637,3,449376,524.6523,0.0870161,0.009042332
473,1365.080806735415,0.71684330701828,0.09892066,487.675,0.0,916.7666282653809,7.5311155,2,453627,534.10284,0.09892066,0.00920558
475,1392.5757813116243,0.9583386965095997,0.1516268,496.4,0.0,923.0400784015656,7.5217247,2,456699,544.3893,0.1516268,0.008734153
476,1396.6262839239478,0.7235285043716431,0.13568082,496.475,0.0,929.3383073806763,7.5471187,1,458451,546.6649,0.13568082,0.008729462
478,1449.7901305697148,0.8731006532907486,0.10395685,511.35,0.0,935.613531589508,7.5237393,2,461772,564.4466,0.10395685,0.008893298
480,1487.3464869816291,0.9329887181520462,0.103756875,522.05,0.0,941.8074424266815,7.4820433,2,465132,578.3211,0.103756875,0.008655189
482,1479.5239629318016,0.8399427384138107,0.087576285,517.725,0.0,948.146096944809,7.47662,2,467853,573.54865,0.087576285,0.007715782
485,1499.3325000510754,0.9266101270914078,0.13139358,520.95,0.0,954.4105355739594,7.460693,3,471630,576.96594,0.13139358,0.008873578
487,1486.4913137134392,0.9197772368788719,0.106251664,513.7,0.0,960.775753736496,7.449051,2,474714,572.5129,0.106251664,0.009533719
489,1507.7268186784415,0.9116937145590782,0.10285962,517.3,0.0,967.6707947254181,7.425721,2,477651,578.5059,0.10285962,0.008531847
491,1485.1911275683153,0.9103090092539787,0.09625346,504.275,0.0,974.2947750091553,7.3928266,2,481005,570.7208,0.09625346,0.007860543
493,1486.3358956640232,0.8328070193529129,0.10892251,503.475,0.0,981.2794301509857,7.350329,2,483876,569.7803,0.10892251,0.009044804
495,1498.6482098687052,0.8800290375947952,0.10324657,504.825,0.0,988.1947662830353,7.3469195,2,487581,569.17236,0.10324657,0.008949723
499,1441.533470869996,0.8889628946781158,0.105669565,494.775,0.0,994.4921779632568,7.3534064,4,490308,546.1825,0.105669565,0.009313375
502,1360.571025328556,0.9140046536922455,0.10514529,468.925,0.0,1000.8093078136444,7.320174,3,492879,518.87756,0.10514529,0.00857114
504,1385.0963849870557,0.9706381633877754,0.11661511,474.325,0.0,1007.4531915187836,7.3062873,2,496977,525.8971,0.11661511,0.009037303
505,1408.1473230237464,0.8809521272778511,0.12253973,480.5,0.0,1013.7989771366119,7.2775273,1,498825,532.675,0.12253973,0.008568651
507,1405.19820389007,0.8264448791742325,0.094555676,479.625,0.0,1020.4345171451569,7.2711053,2,500901,529.6003,0.094555676,0.00939863
509,1417.4342495451456,0.7900364845991135,0.10451088,477.975,0.0,1027.2652249336243,7.267154,2,504240,530.6354,0.10451088,0.007909743
511,1390.3967405448634,0.8692735731601715,0.111850485,470.2,0.0,1033.882348060608,7.277511,2,505800,520.7054,0.111850485,0.010071761
514,1321.1335243578192,0.8640915602445602,0.11388785,448.725,0.0,1040.325837612152,7.2845454,3,508794,497.5395,0.11388785,0.009485981
