ev_tdlam_before,TimeElapsed,TimestepsSoFar,entropy,entloss,EpTrueRewMean,EpLenMean,optimgain,meankl,EpisodesSoFar,EpThisIter,surrgain,EpRewMean
0.08794301748275757,4985.06289935112,581853,7.1287994,0.0,2596.4079322219577,796.375,0.07766298,0.009115894,671,1,0.07766298,227.32149
0.646327555179596,5011.705971240997,585882,7.093971,0.0,2558.540127871962,789.85,0.08924319,0.009494966,673,2,0.08924319,224.58362
0.8519100993871689,5035.895365715027,588882,7.098794,0.0,2559.8804923008784,791.0,0.0843493,0.008688717,674,1,0.0843493,224.40971
0.07190722227096558,5062.926953315735,591882,7.1098185,0.0,2599.96483990604,800.35,0.07803674,0.009442225,675,1,0.07803674,226.96416
0.19901174306869507,5087.507016181946,594882,7.123096,0.0,2679.0959146547475,822.025,0.08460532,0.011733943,676,1,0.08460532,233.04878
0.9201390892267227,5114.1778218746185,597861,7.092148,0.0,2745.3666667973093,838.425,0.09357363,0.009127899,677,1,0.09357363,238.51457
0.593238890171051,5138.7820365428925,601902,7.0344076,0.0,2696.508369486373,822.1,0.084519476,0.008444437,679,2,0.084519476,234.63034
0.25187504291534424,5165.329316616058,604902,7.0450907,0.0,2705.9866019057577,822.1,0.0796183,0.009634589,680,1,0.0796183,234.83911
0.826065257191658,5190.092240333557,607341,7.0911245,0.0,2748.4467546381848,831.525,0.11856235,0.009390108,681,1,0.11856235,237.56119
0.8450922220945358,5216.53370141983,609471,7.1033697,0.0,2679.5781322373064,811.55,0.084842175,0.009046792,683,2,0.084842175,231.95886
0.7340579628944397,5240.674738645554,614811,7.0837793,0.0,2696.1061884609876,811.425,0.073042504,0.009031724,685,2,0.073042504,232.28467
0.9479128010571003,5267.018806695938,617802,7.0746374,0.0,2611.3323191502186,786.35,0.09200211,0.009274612,687,2,0.09200211,225.443
-0.05544710159301758,5292.524543762207,620802,7.0919733,0.0,2620.2591790754864,786.35,0.07834887,0.010282854,688,1,0.07834887,225.4301
0.6478799879550934,5318.592664003372,624666,7.104419,0.0,2555.037203222725,768.55,0.095100164,0.008861715,690,2,0.095100164,219.88974
0.8373257219791412,5343.252839803696,627348,7.0915995,0.0,2555.8371180972904,766.75,0.090743154,0.009265413,691,1,0.090743154,218.83115
0.8123606145381927,5369.748661518097,629976,7.111129,0.0,2550.8506620433327,764.525,0.105565876,0.012011204,692,1,0.105565876,217.31726
0.8746514171361923,5394.800456762314,632817,7.0472984,0.0,2581.754795946258,773.1,0.10529239,0.009519556,693,1,0.10529239,219.61653
-0.11829507350921631,5420.882076740265,635817,7.0646853,0.0,2619.9835183072696,783.825,0.09509691,0.0091518555,694,1,0.09509691,222.07272
0.8975026309490204,5445.21423459053,638139,7.071197,0.0,2668.3112977022442,796.975,0.08373164,0.009103943,695,1,0.08373164,225.28769
0.030798673629760742,5471.327453136444,641139,7.0653887,0.0,2678.2754989555783,796.975,0.07327232,0.009362301,696,1,0.07327232,224.67114
-0.3007850646972656,5496.562554359436,644139,7.062797,0.0,2687.8031917679646,796.975,0.09809002,0.009633826,697,1,0.09809002,224.87125
0.3525245189666748,5522.900671243668,647139,7.061912,0.0,2707.203253019752,796.975,0.078118406,0.00920262,698,1,0.078118406,225.2583
0.9569107368588448,5547.455899953842,648360,7.039573,0.0,2693.516099784425,793.125,0.11698709,0.011547573,699,1,0.11698709,223.73174
0.9353684633970261,5573.9168021678925,651684,7.020194,0.0,2684.9147271727775,788.375,0.097369626,0.0101255225,701,2,0.097369626,222.62769
0.7815842628479004,5598.948879241943,656229,7.0282545,0.0,2537.140641225752,753.4,0.090647385,0.01036472,704,3,0.090647385,210.81499
0.04685455560684204,5624.960626602173,659229,7.0656276,0.0,2593.0398561496536,768.225,0.074425176,0.012253804,705,1,0.074425176,214.47757
0.015766561031341553,5649.645259380341,662229,7.056003,0.0,2590.744085748672,768.225,0.08762956,0.010544881,706,1,0.08762956,214.65654
0.5724239349365234,5675.927342891693,665229,7.027333,0.0,2638.3786617063292,782.5,0.07561498,0.011110094,707,1,0.07561498,218.07785
0.9105913266539574,5700.910513877869,667743,7.035569,0.0,2636.4787268509135,780.5,0.09064631,0.010163081,708,1,0.09064631,217.60625
0.6593264043331146,5726.89364361763,673377,6.986378,0.0,2656.9418732681943,787.7,0.08013929,0.009852229,710,2,0.08013929,218.77356
0.8913690447807312,5751.624619007111,677994,7.013592,0.0,2490.819375862289,742.6,0.09901442,0.009781989,714,4,0.09901442,206.2314
0.8167153894901276,5777.604287147522,680994,7.036896,0.0,2489.4076205597944,742.6,0.0979087,0.010537346,715,1,0.0979087,205.8171
0.8976135849952698,5802.752707004547,683124,6.989403,0.0,2472.2531888787103,735.35,0.09661033,0.010024418,716,1,0.09661033,204.00879
0.15454286336898804,5829.20671916008,686124,6.9691396,0.0,2467.408300712065,735.525,0.08531615,0.008467609,717,1,0.08531615,203.03304
0.06597656011581421,5854.128201723099,689124,6.9963794,0.0,2465.043401847069,735.525,0.07610208,0.01090951,718,1,0.07610208,202.39941
-0.010108232498168945,5879.762083768845,692124,6.9633603,0.0,2509.2589114878137,751.85,0.112347156,0.011253407,719,1,0.112347156,205.83655
0.10586762428283691,5905.220417737961,695124,6.9559183,0.0,2496.696268738345,751.85,0.065511286,0.00988259,720,1,0.065511286,204.41063
0.9347678646445274,5931.165513753891,697983,6.9500647,0.0,2505.2037564517204,755.35,0.101065144,0.009357804,721,1,0.101065144,204.8435
0.9423887468874454,5955.894590854645,699090,7.0300436,0.0,2505.1829146801915,754.3,0.14077687,0.0111431135,722,1,0.14077687,204.52225
0.8779380023479462,5981.889818191528,700803,7.0745435,0.0,2534.0433679053413,761.1,0.08158767,0.00920532,723,1,0.08158767,206.40715
0.5895090103149414,6007.322949171066,705129,7.022247,0.0,2500.0778647992315,752.65,0.086845666,0.011189458,725,2,0.086845666,203.4578
0.10304772853851318,6033.272785663605,708129,7.0185857,0.0,2537.09521845104,763.5,0.07521118,0.00995713,726,1,0.07521118,206.20517
0.9560062326490879,6058.003698348999,710994,7.0078244,0.0,2591.9475473836455,776.6,0.12155654,0.009911841,727,1,0.12155654,209.74458
0.27061575651168823,6084.055830001831,713994,6.988212,0.0,2590.2323226882354,776.6,0.08889265,0.010316808,728,1,0.08889265,209.5326
0.1294633150100708,6109.4180245399475,716994,7.008225,0.0,2576.2601608594987,776.6,0.08460556,0.0091695385,729,1,0.08460556,208.69136
0.8706529885530472,6135.697761774063,718491,7.024541,0.0,2595.703931904657,781.875,0.09922904,0.011220746,730,1,0.09922904,210.00093
