entropy,meankl,ev_tdlam_before,EpLenMean,EpisodesSoFar,entloss,TimeElapsed,surrgain,optimgain,EpTrueRewMean,EpRewMean,EpThisIter,TimestepsSoFar
3.7449336,0.0082610315,0.1620861291885376,378.925,234,0.0,241.50288343429565,0.05870485,0.05870485,1034.2274847825242,352.44687,1,178935
3.7467935,0.0075090528,0.6697251796722412,352.725,237,0.0,245.70604586601257,0.058928747,0.058928747,989.7431540873483,339.14667,3,181608
3.7411737,0.008620139,0.9233146011829376,363.55,239,0.0,249.92738604545593,0.06235245,0.06235245,1037.8045548088353,353.94537,2,184710
3.7250056,0.00807805,0.9703559689223766,332.05,243,0.0,254.13242387771606,0.06584538,0.06584538,973.7504316230983,335.93457,4,189366
3.6836483,0.008590205,0.9116014540195465,317.55,246,0.0,258.3382878303528,0.049329676,0.049329676,949.8009527424795,331.69122,3,192186
3.6846392,0.00743561,0.9514432288706303,331.575,248,0.0,262.5074965953827,0.056089707,0.056089707,1000.7383255515812,345.51343,2,195960
3.6558554,0.008506903,0.9503142796456814,350.85,250,0.0,266.69581365585327,0.057738706,0.057738706,1075.3657603375373,373.16934,2,199293
3.6583574,0.007737767,0.7036054134368896,361.9,252,0.0,270.8858835697174,0.048549924,0.048549924,1120.6333392362449,387.4551,2,202431
3.6421878,0.00750114,0.8531188517808914,368.775,255,0.0,275.05537271499634,0.05693975,0.05693975,1145.2487276848963,392.27423,3,205212
3.6267416,0.008349452,0.9720029644668102,383.4,257,0.0,279.0905978679657,0.057627648,0.057627648,1202.3526195761115,409.31674,2,208380
3.5981138,0.008936577,0.9631707109510899,382.625,258,0.0,283.31440114974976,0.05705984,0.05705984,1202.7069249296164,408.09464,1,209385
3.602441,0.008622892,0.88282261043787,395.05,260,0.0,287.4524025917053,0.060625724,0.060625724,1245.8798972890756,419.8636,2,212175
3.6045449,0.0082375435,0.9431269057095051,403.925,262,0.0,291.61029529571533,0.053993333,0.053993333,1285.0599847991543,430.1879,2,215199
3.546419,0.008583037,0.8767151981592178,402.9,263,0.0,295.73811626434326,0.06441877,0.06441877,1289.883488615836,431.25488,1,216567
3.5361345,0.008620408,0.9307327643036842,411.75,264,0.0,299.91190004348755,0.054816246,0.054816246,1321.912111099924,438.81607,1,219258
3.5443046,0.008650895,0.9754877034574747,419.775,266,0.0,304.16981387138367,0.058359288,0.058359288,1352.7744785396662,444.9414,2,222906
3.5357664,0.008244752,0.9538377150893211,435.125,268,0.0,308.36986446380615,0.057198085,0.057198085,1412.7996033262837,465.47998,2,226020
3.520974,0.009598007,0.21046185493469238,451.05,269,0.0,312.62099719047546,0.04800082,0.04800082,1466.7052094239111,478.69962,1,229020
3.5274882,0.009088073,0.9470283091068268,457.675,270,0.0,316.80078125,0.07586691,0.07586691,1489.0478134342297,484.14813,1,230376
3.5254142,0.008560805,0.8321802020072937,475.1,272,0.0,321.0359194278717,0.061168574,0.061168574,1551.0427823814855,501.1507,2,233757
3.519439,0.008944415,0.91988555341959,488.875,274,0.0,325.2520241737366,0.07003268,0.07003268,1601.0562629033943,513.9538,2,237600
3.5255451,0.007918166,0.7272119224071503,491.25,276,0.0,329.4270906448364,0.05141563,0.05141563,1612.1574123699363,514.21796,2,240141
3.5195394,0.008026697,0.8672231733798981,490.4,279,0.0,333.58926939964294,0.06501487,0.06501487,1616.3337989054558,516.03503,3,243558
3.5404577,0.008189086,0.8787807896733284,486.75,282,0.0,337.7704961299896,0.056982607,0.056982607,1599.7182643298324,505.18036,3,246714
3.5144129,0.0082207555,-0.11931002140045166,502.9,283,0.0,341.9660849571228,0.040364757,0.040364757,1651.074623126357,516.802,1,249714
3.5310361,0.008950917,0.5781873762607574,518.175,284,0.0,346.1391341686249,0.04856141,0.04856141,1699.725982157616,524.92163,1,252714
3.527137,0.00789724,0.03704768419265747,532.25,285,0.0,350.30760169029236,0.048960526,0.048960526,1743.8355971702883,533.9684,1,255714
3.472176,0.008728012,0.5698031783103943,542.25,287,0.0,354.44351863861084,0.058735013,0.058735013,1779.5246525000214,541.0493,2,259806
3.4492884,0.010146269,0.8470452576875687,541.425,290,0.0,358.57544350624084,0.058072317,0.058072317,1779.0541211880845,533.8004,3,264264
3.4775698,0.00806161,0.6675828099250793,541.975,292,0.0,362.66800570487976,0.04852943,0.04852943,1783.5262043589148,532.804,2,267468
3.4812007,0.0083765425,0.7289460599422455,563.325,293,0.0,366.8353605270386,0.06269507,0.06269507,1858.2695109687252,552.8826,1,270468
3.4645712,0.008133614,0.9280499145388603,572.025,294,0.0,371.01995038986206,0.05801008,0.05801008,1890.0785979295026,561.4053,1,272526
3.4481184,0.009426863,0.09975022077560425,584.75,295,0.0,375.23711585998535,0.044688195,0.044688195,1935.4668690823084,571.8824,1,275382
3.4522421,0.008777832,-0.014191865921020508,601.075,296,0.0,379.50171971321106,0.04139797,0.04139797,1989.4504030726487,584.50574,1,278382
3.4186685,0.008947937,0.9293864220380783,601.675,297,0.0,383.7230405807495,0.068446994,0.068446994,1993.7291876063543,583.2427,1,280581
3.4077144,0.008222676,0.8805000111460686,602.75,298,0.0,387.90873503685,0.08149484,0.08149484,1998.5586335912456,585.12537,1,281715
3.4484181,0.008999667,0.7024752199649811,613.45,300,0.0,392.18114495277405,0.057527393,0.057527393,2043.0733887163365,596.76794,2,285789
3.4253612,0.008928991,0.9368758201599121,618.1,301,0.0,396.4024167060852,0.055624105,0.055624105,2061.1785215017926,600.039,1,288033
3.4409719,0.007957305,0.0764153003692627,631.95,302,0.0,400.6471633911133,0.052657865,0.052657865,2108.707059155046,611.0919,1,291033
3.4802027,0.009718848,0.959136638790369,643.775,303,0.0,404.92486667633057,0.057540677,0.057540677,2152.688829527946,622.81476,1,293820
3.40402,0.009189275,-0.008167147636413574,646.35,304,0.0,409.0737624168396,0.04017491,0.04017491,2164.7173357476877,623.83136,1,296820
