entropy,optimgain,EpThisIter,EpRewMean,EpLenMean,TimestepsSoFar,EpTrueRewMean,ev_tdlam_before,meankl,surrgain,entloss,TimeElapsed,EpisodesSoFar
6.633119,0.13063367,1,450.41357,662.825,832158,1952.7314713234398,0.8687437623739243,0.010337968,0.13063367,0.0,1204.1164362430573,901
6.6293473,0.13194147,2,431.5128,635.4,834867,1862.6980221421836,0.9085599184036255,0.010173501,0.13194147,0.0,1208.5640807151794,903
6.607418,0.12416383,2,427.9124,631.85,839463,1853.6309053209575,0.8882336616516113,0.010054415,0.12416383,0.0,1213.001947402954,905
6.599286,0.13012592,2,422.6665,623.425,842694,1827.4854082816448,0.8869714736938477,0.010529374,0.13012592,0.0,1217.4804639816284,907
6.544251,0.10046071,3,419.85712,620.1,846612,1809.2381569367894,0.9006518349051476,0.009572215,0.10046071,0.0,1221.9432933330536,910
6.559555,0.11966377,1,427.05133,631.475,849612,1846.059789768856,0.8640368580818176,0.010360075,0.11966377,0.0,1226.3585786819458,911
6.582778,0.10626319,1,439.48505,649.625,852321,1913.9678399922109,0.8848292753100395,0.009720247,0.10626319,0.0,1230.754417181015,912
6.585811,0.10862441,2,436.61377,648.05,854322,1901.6111711439157,0.8776709511876106,0.009731911,0.10862441,0.0,1235.1766211986542,914
6.575438,0.13157962,1,436.9266,649.325,857322,1906.528263231532,0.7678859084844589,0.011130511,0.13157962,0.0,1239.6552407741547,915
6.5758843,0.11301554,1,429.0288,639.025,858807,1870.46268690492,0.8561371117830276,0.010010054,0.11301554,0.0,1244.1579508781433,916
6.5656133,0.08380555,2,434.8045,648.6,862323,1895.2191724404263,0.627965122461319,0.010825781,0.08380555,0.0,1248.6489543914795,918
6.5230675,0.11845426,2,430.17865,645.25,864489,1880.270248694224,0.8453976362943649,0.010927227,0.11845426,0.0,1253.1308028697968,920
6.514786,0.09840668,1,439.03937,657.1,867489,1927.5937439998008,-0.05278170108795166,0.010176159,0.09840668,0.0,1257.547690629959,921
6.4848638,0.16978613,2,422.11737,629.1,870129,1852.0230824088983,0.8851163163781166,0.011363596,0.16978613,0.0,1262.0169973373413,923
6.4671617,0.10097257,2,423.05792,630.025,874593,1859.5842054544441,0.7305878698825836,0.009566948,0.10097257,0.0,1266.460598230362,925
6.46727,0.12790121,2,418.36346,621.0,877497,1837.274682207534,0.9349265471100807,0.010499822,0.12790121,0.0,1270.8645775318146,927
6.480104,0.14396515,1,419.9986,623.65,878652,1845.3501247129593,0.9312775582075119,0.0102793295,0.14396515,0.0,1275.3582518100739,928
6.4458804,0.13452697,2,415.7831,615.4,882543,1829.5099079365013,0.8753997981548309,0.010964328,0.13452697,0.0,1279.8726012706757,930
6.4537916,0.11876732,2,403.25082,597.325,884181,1783.357490213546,0.6693882644176483,0.010642159,0.11876732,0.0,1284.2643218040466,932
6.450078,0.12013435,2,396.80823,588.725,886689,1741.4987188409627,0.942721527069807,0.010127158,0.12013435,0.0,1288.6564388275146,934
6.43152,0.11016771,2,382.85516,574.475,889869,1692.6476816606878,0.9026678279042244,0.010154362,0.11016771,0.0,1293.125162601471,936
6.441834,0.13376823,2,381.09674,571.15,893004,1688.454143200787,0.8909186348319054,0.010627482,0.13376823,0.0,1297.6171336174011,938
6.442154,0.14311826,1,385.30212,576.125,896004,1702.5041727880264,0.801498681306839,0.010824472,0.14311826,0.0,1302.0672528743744,939
6.4632573,0.16739872,1,385.42316,576.625,899004,1697.9083594704891,-0.1578989028930664,0.010127126,0.16739872,0.0,1306.5517871379852,940
6.4599605,0.11892562,2,379.09384,565.25,901671,1671.7031108870494,0.8860466480255127,0.010420612,0.11892562,0.0,1311.0270638465881,942
6.4963374,0.10139105,1,388.61615,581.7,904671,1715.5838339293718,-0.08301734924316406,0.010695612,0.10139105,0.0,1315.4826068878174,943
6.4849677,0.11766225,2,382.85684,571.45,908037,1684.397519469115,0.9005162268877029,0.010767018,0.11766225,0.0,1319.8987572193146,945
6.471925,0.1431126,1,379.95038,569.95,909879,1672.682773666549,0.8100402355194092,0.010827564,0.1431126,0.0,1324.3512654304504,946
6.488788,0.084511034,2,398.92896,597.875,915825,1756.5448990775913,0.6683137118816376,0.010279012,0.084511034,0.0,1328.7626605033875,948
6.469365,0.204757,1,408.37177,612.4,918756,1797.6193828498951,0.8192517906427383,0.012528263,0.204757,0.0,1333.4203698635101,949
6.447101,0.11259578,2,403.5442,604.95,922206,1775.9729062861757,0.94209174066782,0.011576578,0.11259578,0.0,1337.8491849899292,951
6.411114,0.12438154,2,408.18924,610.15,926520,1792.8086592291388,0.8241260796785355,0.010708821,0.12438154,0.0,1342.2924830913544,953
6.395371,0.14701363,2,407.03763,609.15,930420,1789.5624982080014,0.9063214287161827,0.010507252,0.14701363,0.0,1346.7065572738647,955
6.399232,0.1418488,2,399.05536,595.65,933285,1755.9497757882637,0.822921946644783,0.01273145,0.1418488,0.0,1351.1634159088135,957
6.404072,0.1314174,1,408.46207,611.05,935649,1804.9215155858867,0.798740491271019,0.009709366,0.1314174,0.0,1355.5587890148163,958
