surrgain,entloss,EpThisIter,entropy,EpRewMean,TimeElapsed,TimestepsSoFar,optimgain,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpisodesSoFar
0.2123447,0.0,13,23.705976,362.25850715278585,228.9863350391388,129297,0.2123447,73.95,362.25850715278585,0.8550434112548828,0.009820666,901
0.20451246,0.0,14,23.661135,367.85823726475763,234.831360578537,132459,0.20451246,74.85,367.85823726475763,0.8874498680233955,0.009906774,915
0.21487215,0.0,15,23.64705,375.73760819056344,240.9404594898224,135717,0.21487215,76.625,375.73760819056344,0.8822205141186714,0.0094669815,930
0.21910028,0.0,14,23.610674,373.1724395858866,246.83794474601746,139107,0.21910028,75.65,373.1724395858866,0.8632723987102509,0.010326633,944
0.20720488,0.0,14,23.596193,381.16642822618695,252.5100405216217,142329,0.20720488,77.35,381.16642822618695,0.9073977544903755,0.009878129,958
0.25739342,0.0,13,23.600035,374.47548629999403,258.0799596309662,145305,0.25739342,75.575,374.47548629999403,0.899514377117157,0.010561556,971
0.21107106,0.0,14,23.576666,371.78927997797507,263.83854365348816,148422,0.21107106,76.1,371.78927997797507,0.8720740228891373,0.009740584,985
0.19238317,0.0,14,23.554766,365.37201242676866,269.4792227745056,151476,0.19238317,74.625,365.37201242676866,0.9004920423030853,0.0101826545,999
0.22559991,0.0,13,23.559568,360.25708907023335,275.0644152164459,154464,0.22559991,74.65,360.25708907023335,0.8702265024185181,0.010180457,1012
0.19553985,0.0,14,23.539774,360.3221427188822,280.7740890979767,157569,0.19553985,73.925,360.3221427188822,0.8760059624910355,0.010109154,1026
0.22855543,0.0,14,23.52189,367.77735487247475,286.35544443130493,160623,0.22855543,75.075,367.77735487247475,0.8839603140950203,0.009634579,1040
0.25630748,0.0,13,23.507101,380.7982074416451,291.94396138191223,163926,0.25630748,76.95,380.7982074416451,0.8850588724017143,0.009722549,1053
0.22571051,0.0,13,23.477518,388.14529323126584,297.554235458374,167031,0.22571051,78.85,388.14529323126584,0.8719557672739029,0.010607623,1066
0.24575022,0.0,13,23.455141,400.63461234126424,303.1884329319,170244,0.24575022,81.95,400.63461234126424,0.9162134528160095,0.010423219,1079
0.22236674,0.0,12,23.467533,412.380896152427,308.7377905845642,173421,0.22236674,84.2,412.380896152427,0.8829541802406311,0.011106869,1091
0.22332501,0.0,12,23.445559,415.74153486946733,314.28834414482117,176289,0.22332501,84.45,415.74153486946733,0.8959532007575035,0.010783748,1103
0.22435702,0.0,14,23.451902,389.3388347801054,319.8244321346283,179343,0.22435702,79.225,389.3388347801054,0.9156743884086609,0.011722001,1117
0.22252123,0.0,13,23.459711,381.92265063578327,325.41638827323914,182475,0.22252123,77.85,381.92265063578327,0.8798390179872513,0.01031764,1130
0.28727683,0.0,13,23.458822,386.94604463498166,331.0122101306915,185853,0.28727683,79.7,386.94604463498166,0.836809977889061,0.0115322005,1143
0.21876791,0.0,14,23.434103,395.0658159503829,336.64004707336426,189060,0.21876791,80.975,395.0658159503829,0.8916966915130615,0.010901296,1157
0.22631398,0.0,12,23.432373,398.71063587317394,342.2749936580658,191973,0.22631398,81.15,398.71063587317394,0.9032414257526398,0.010834619,1169
0.32868317,0.0,12,23.43189,407.2934520783198,348.04481530189514,195216,0.32868317,82.925,407.2934520783198,0.8906640186905861,0.011356266,1181
0.23153746,0.0,14,23.448406,398.6673872680727,353.9435896873474,198231,0.23153746,81.175,398.6673872680727,0.9224870800971985,0.010642025,1195
0.28885853,0.0,13,23.453936,390.1253329185766,359.9510762691498,201339,0.28885853,79.975,390.1253329185766,0.9241700619459152,0.0108320415,1208
0.2635342,0.0,12,23.456522,387.5470258793016,365.89092922210693,204402,0.2635342,79.375,387.5470258793016,0.8775371313095093,0.010808418,1220
0.23390682,0.0,13,23.458574,404.49131415512426,371.94863653182983,207519,0.23390682,82.025,404.49131415512426,0.8905556350946426,0.011227535,1233
0.24406835,0.0,13,23.429037,405.34077752592606,377.79478931427,210717,0.24406835,82.3,405.34077752592606,0.8829440623521805,0.010322736,1246
0.21830246,0.0,14,23.40008,397.9456144603968,383.408020734787,214008,0.21830246,80.05,397.9456144603968,0.9122773632407188,0.011439418,1260
0.23452637,0.0,13,23.41496,384.050199872214,388.9828486442566,216927,0.23452637,78.4,384.050199872214,0.9333820566534996,0.011304166,1273
0.21518125,0.0,11,23.401533,387.80174145206354,394.6659014225006,219843,0.21518125,79.275,387.80174145206354,0.8505683988332748,0.010466704,1284
0.21543077,0.0,12,23.398214,394.61346682752924,400.5370306968689,222903,0.21543077,81.675,394.61346682752924,0.8855119273066521,0.010282229,1296
0.2193023,0.0,14,23.406736,391.8928955694888,406.3927879333496,225969,0.2193023,80.85,391.8928955694888,0.9415245391428471,0.010740388,1310
0.25174034,0.0,13,23.436441,378.75751049712335,412.2476806640625,229023,0.25174034,78.4,378.75751049712335,0.9053419232368469,0.0112259295,1323
0.26836306,0.0,14,23.448221,367.58489157259527,417.97575974464417,232263,0.26836306,76.225,367.58489157259527,0.9255573078989983,0.011262428,1337
0.2636581,0.0,12,23.432697,384.39028560127133,423.6364748477936,235215,0.2636581,78.75,384.39028560127133,0.884269692003727,0.012126003,1349
0.22054385,0.0,14,23.41302,378.3108377831919,429.3671495914459,238290,0.22054385,77.225,378.3108377831919,0.9146759733557701,0.010225365,1363
