EpisodesSoFar,optimgain,EpThisIter,TimestepsSoFar,EpRewMean,entropy,ev_tdlam_before,EpLenMean,surrgain,TimeElapsed,meankl,EpTrueRewMean,entloss
1933,0.10430371,1,949205,303.16397,5.9938188,0.15549182891845703,708.3,0.10430371,3965.361480951309,0.013443783,2230.768498641258,0.0
1935,0.079094306,2,950261,300.7194,5.992817,0.8405616879463196,701.125,0.079094306,3969.84529709816,0.0046398677,2205.9260112337734,0.0
1936,0.09460686,1,950993,306.3421,5.994282,0.8777178600430489,714.775,0.09460686,3974.2696435451508,0.004493395,2254.281655176526,0.0
1938,0.078202754,2,951991,298.01,5.988831,0.9296801313757896,692.95,0.078202754,3978.7873244285583,0.003937632,2184.763937909684,0.0
1939,0.06519811,1,952991,297.3758,6.0040946,0.28973013162612915,692.95,0.06519811,3983.229658842087,0.0041818134,2184.10226967254,0.0
1940,0.08588925,1,953950,298.43945,5.9622593,0.9019649177789688,691.925,0.08588925,3987.7034623622894,0.004510718,2194.405505974332,0.0
1942,0.10355606,2,955351,289.04517,5.955812,0.8017152100801468,680.55,0.10355606,3992.1671249866486,0.014924088,2127.6033636538878,0.0
1944,0.1341377,2,956248,285.638,5.9609323,0.9107605963945389,675.475,0.1341377,3996.6164450645447,0.014158132,2095.761129496057,0.0
1946,0.07294039,2,957311,282.63895,5.970235,0.9132996946573257,667.775,0.07294039,4001.11980509758,0.0039929524,2074.9113528267726,0.0
1947,0.061651148,1,958311,282.06696,6.001038,-0.007023334503173828,667.775,0.061651148,4005.5550332069397,0.0043337503,2080.967576440671,0.0
1948,0.070156515,1,959311,282.72513,6.0019073,0.08315527439117432,667.775,0.070156515,4010.0165235996246,0.0044823214,2082.075508249397,0.0
1949,0.0528039,1,960311,287.7422,6.008178,0.17742180824279785,667.775,0.0528039,4014.480532646179,0.0050074337,2121.569456879049,0.0
1950,0.09884745,1,961311,291.22473,5.995057,0.19902825355529785,679.6,0.09884745,4018.8737695217133,0.013385842,2164.484923042167,0.0
1951,0.0689085,1,962311,292.05673,5.975724,0.38305753469467163,679.6,0.0689085,4023.304411649704,0.004415718,2170.951023275888,0.0
1953,0.08001795,2,963668,297.4032,5.95909,0.755460187792778,691.75,0.08001795,4027.7915453910828,0.006265592,2214.8792622820242,0.0
1954,0.1274251,1,963883,293.06955,5.9484305,0.9237771108746529,679.65,0.1274251,4032.2932126522064,0.005545321,2169.9957887341357,0.0
1955,0.1288334,1,964546,291.21683,5.956221,0.8891755640506744,671.225,0.1288334,4036.734318256378,0.012971895,2140.1575405140093,0.0
1956,0.10633229,1,965546,291.82434,5.9717445,0.1873253583908081,671.225,0.10633229,4041.192811489105,0.014562216,2138.175509714718,0.0
1958,0.15614909,2,966898,296.09302,5.9787397,0.9091672897338867,683.375,0.15614909,4045.640667438507,0.014930597,2182.4855915356143,0.0
1959,0.116838105,1,967898,301.3995,6.0081162,0.31489115953445435,692.225,0.116838105,4050.156081199646,0.0148832165,2237.02014517741,0.0
1960,0.076681316,1,968898,307.42636,6.000408,-0.25779032707214355,706.8,0.076681316,4054.617394924164,0.0039375727,2284.5279367156604,0.0
1961,0.09102905,1,969647,312.78876,5.992672,0.8164176791906357,720.1,0.09102905,4059.0456001758575,0.004254261,2329.7204980833335,0.0
1962,0.10478182,1,970647,321.95184,5.933776,0.10377252101898193,739.825,0.10478182,4063.4506645202637,0.01341856,2409.4213315972966,0.0
1963,0.076151915,1,971633,321.19775,5.9301767,0.7368675470352173,739.475,0.076151915,4067.8563764095306,0.0038192435,2409.493894267221,0.0
1965,0.1120461,2,972984,327.38403,5.9534106,0.646996796131134,739.775,0.1120461,4072.3182365894318,0.013682874,2468.1014886227795,0.0
1966,0.07261039,1,973984,326.72992,5.926086,0.05324298143386841,745.225,0.07261039,4076.769535779953,0.004704965,2494.754877926274,0.0
1967,0.06395081,1,974984,325.57657,5.918986,0.16460084915161133,745.225,0.06395081,4081.2140867710114,0.004090246,2501.739644778529,0.0
1968,0.14215022,1,975946,330.01895,5.8854823,0.9223589301109314,760.575,0.14215022,4085.6218547821045,0.014141964,2556.9672167206104,0.0
1970,0.081404634,2,977073,330.47134,5.8820148,0.8901177272200584,762.5,0.081404634,4090.0863308906555,0.0040466837,2562.986604491057,0.0
1971,0.07915319,1,978073,329.20996,5.8685746,0.1631971001625061,762.5,0.07915319,4094.5699524879456,0.004668261,2559.18643395028,0.0
1973,0.07181714,2,979202,322.4562,5.8471637,0.9093931540846825,749.925,0.07181714,4099.021161556244,0.004012799,2511.599301415529,0.0
1974,0.10684648,1,980202,324.69028,5.8313766,0.29930275678634644,760.225,0.10684648,4103.45383477211,0.013696076,2545.9103884215547,0.0
1975,0.07748983,1,980788,325.3654,5.8486123,0.8541118055582047,763.175,0.07748983,4107.891136407852,0.0039565144,2551.136707429602,0.0
1976,0.13893968,1,981788,327.92584,5.9078774,0.9582788534462452,769.875,0.13893968,4112.301723003387,0.014074346,2575.0641513579667,0.0
1977,0.10013369,1,982788,330.2934,5.9136147,0.21037763357162476,778.725,0.10013369,4116.738190412521,0.014856018,2600.577441936079,0.0
1978,0.112412825,1,983788,335.45825,5.924972,0.30157238245010376,794.925,0.112412825,4121.143494606018,0.013323165,2657.0557995793006,0.0
1979,0.13363141,1,984788,328.78656,5.9339147,0.817636102437973,794.925,0.13363141,4125.605749607086,0.011975494,2610.217870087598,0.0
