EpRewMean,EpisodesSoFar,entloss,entropy,EpTrueRewMean,surrgain,TimestepsSoFar,EpLenMean,ev_tdlam_before,EpThisIter,TimeElapsed,optimgain,meankl
136.75314,593,0.0,7.086894,1253.6009973541393,0.103875615,410895,435.575,0.8913280144333839,1,3430.5564637184143,0.103875615,0.0095084505
133.9388,596,0.0,7.068645,1225.4027101403803,0.11410494,413856,424.375,0.9480316340923309,3,3455.665285348892,0.11410494,0.009052055
133.83247,598,0.0,7.0419855,1220.1504442993273,0.10896313,417210,428.475,0.9518377594649792,2,3481.22376537323,0.10896313,0.010373146
132.49776,601,0.0,7.032281,1189.027783124667,0.12654045,421854,434.05,0.8549146056175232,3,3506.2108891010284,0.12654045,0.0104017
128.78365,605,0.0,7.0078464,1136.9141768678473,0.10537364,425937,427.725,0.9428122080862522,4,3531.9610488414764,0.10537364,0.009358032
133.03293,607,0.0,6.9828606,1170.5940398268262,0.09932662,429558,436.525,0.8620285242795944,2,3556.8546035289764,0.09932662,0.008658187
133.76111,609,0.0,7.0069385,1174.4870488158342,0.11092925,432744,441.425,0.8450332432985306,2,3582.4123702049255,0.11092925,0.0098540075
135.00447,611,0.0,6.9897265,1183.805593378083,0.11682692,435009,444.125,0.9223823919892311,2,3607.3234162330627,0.11682692,0.009223101
130.56102,615,0.0,6.9855886,1130.7912933780121,0.10316807,438474,434.9,0.9260824844241142,4,3633.3969366550446,0.10316807,0.009206239
137.01033,616,0.0,6.988515,1185.1848412112254,0.111303166,441333,449.375,0.9156393334269524,1,3657.8346786499023,0.111303166,0.009386171
136.13376,619,0.0,6.9895906,1175.6349925743423,0.11175546,444648,443.075,0.9276355057954788,3,3683.7067291736603,0.11175546,0.00970594
133.48984,622,0.0,6.9911227,1159.4873058515343,0.11591157,447420,427.825,0.8698583692312241,3,3708.48952293396,0.11591157,0.008870182
139.80928,624,0.0,7.021892,1225.3401123371464,0.165526,451371,447.35,0.833446592092514,2,3734.251439809799,0.165526,0.012176598
141.07133,626,0.0,7.026635,1247.1806108248954,0.097812474,455220,454.125,0.8769103810191154,2,3759.006682872772,0.097812474,0.009041954
137.27005,630,0.0,7.027419,1228.9230293891196,0.10091017,459636,447.875,0.8964680060744286,4,3785.125928878784,0.10091017,0.009785624
135.40005,633,0.0,7.0590863,1220.3979089228137,0.12408522,464628,447.775,0.8978508487343788,3,3809.6250500679016,0.12408522,0.009255569
135.20567,635,0.0,7.0481424,1221.6209674964523,0.10587964,467160,452.775,0.9402034357190132,2,3835.6609501838684,0.10587964,0.009776343
133.55554,638,0.0,7.0111156,1205.3138240414235,0.11663155,470541,444.425,0.9055511876940727,3,3860.5940322875977,0.11663155,0.009657551
