TimestepsSoFar,entloss,meankl,EpRewMean,EpisodesSoFar,ev_tdlam_before,optimgain,TimeElapsed,entropy,surrgain,EpTrueRewMean,EpThisIter,EpLenMean
754740,0.0,0.003829725,102.715866,3085,0.8993732929229736,0.15855524,1404.672556400299,23.279787,0.15855524,542.1976983156844,10,107.975
757794,0.0,0.014570331,104.57902,3094,0.8342321813106537,0.37114215,1410.3640398979187,23.280825,0.37114215,548.4650543253813,9,109.475
761058,0.0,0.0041051223,102.83867,3104,0.9104983136057854,0.16035847,1415.9667463302612,23.281328,0.16035847,540.4610664043082,10,107.9
764289,0.0,0.004395566,104.26375,3115,0.8749629706144333,0.16335031,1421.5422010421753,23.281,0.16335031,539.5878615806287,11,106.575
767580,0.0,0.0043009,109.83071,3124,0.8691853433847427,0.16562708,1427.164216041565,23.281557,0.16562708,558.0134271599502,9,109.375
770379,0.0,0.014884022,114.19802,3132,0.9177679568529129,0.2680484,1432.9167699813843,23.28156,0.2680484,572.7281291082038,8,112.275
773466,0.0,0.0039343014,111.67842,3143,0.8844772726297379,0.15266421,1438.6218757629395,23.280941,0.15266421,537.1417901866706,11,106.025
776430,0.0,0.013867366,112.46918,3152,0.9052792713046074,0.25858536,1444.2253663539886,23.287577,0.25858536,548.0934590078703,9,108.775
779475,0.0,0.01358681,110.95011,3162,0.8815876096487045,0.32969195,1449.7722799777985,23.285627,0.32969195,548.3306075115397,10,109.05
782370,0.0,0.0040304763,103.5551,3172,0.8549612462520599,0.1611248,1455.3916676044464,23.287577,0.1611248,503.8793340881559,10,99.925
785328,0.0,0.0041796053,103.10417,3182,0.8965325951576233,0.15005918,1461.058699131012,23.289778,0.15005918,511.516822616825,10,101.05
788466,0.0,0.0038747783,104.03081,3192,0.8719130307435989,0.14806767,1466.7000851631165,23.288996,0.14806767,508.9155309743627,10,100.3
791484,0.0,0.004041878,106.21616,3200,0.8747688829898834,0.14538145,1472.353611946106,23.287043,0.14538145,530.4335040287503,8,104.4
