surrgain,entropy,EpThisIter,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpLenMean,TimestepsSoFar,TimeElapsed,entloss,optimgain,meankl,EpRewMean
0.039005328,1.4290315,1,449,2750.379801124688,0.04800426959991455,769.45,670296,903.9202694892883,0.0,0.039005328,0.010316554,639.4166
0.040337887,1.4262948,1,450,2793.436733868228,0.007628440856933594,781.95,673296,908.2385261058807,0.0,0.040337887,0.010640107,647.1206
0.031965554,1.3943523,1,451,2850.546518486249,0.07432681322097778,798.5,676296,912.5561912059784,0.0,0.031965554,0.010610251,658.42505
0.037145093,1.3872819,2,453,2898.305694624559,0.6599534749984741,812.6,680040,916.854621887207,0.0,0.037145093,0.010735396,670.0633
0.06444496,1.3925313,1,454,2862.8456661851997,0.9721031431108713,801.9,681756,921.1365895271301,0.0,0.06444496,0.010491187,663.225
0.04532045,1.4071654,3,457,2769.994405078961,0.9623579382896423,776.425,685338,925.4933524131775,0.0,0.04532045,0.010241173,646.4492
0.05528547,1.409499,1,458,2798.7801144883297,0.9920749152079225,784.275,687519,929.7712335586548,0.0,0.05528547,0.010008432,652.9867
0.04873784,1.4003601,2,460,2801.1617692906234,0.990604130551219,784.075,691185,934.0528678894043,0.0,0.04873784,0.010140359,653.28186
0.035747875,1.3772264,1,461,2802.021270375319,0.03500109910964966,784.075,694185,938.3720421791077,0.0,0.035747875,0.009749629,652.31384
0.049702473,1.3804172,1,462,2846.048348483922,0.9888498047366738,795.25,696597,942.6470863819122,0.0,0.049702473,0.010965178,662.17444
0.038614612,1.3987936,1,463,2848.3067594834474,0.46601158380508423,795.25,699597,946.9388194084167,0.0,0.038614612,0.009438323,662.8574
0.03171598,1.3638055,1,464,2850.530734352705,0.051496803760528564,795.25,702597,951.2961988449097,0.0,0.03171598,0.009862641,662.8341
0.1346499,1.3463191,1,465,2866.910654963613,0.9770925156772137,799.25,704832,955.5600991249084,0.0,0.1346499,0.010481126,666.83704
0.051399954,1.3598373,2,467,2874.2943881906403,0.869309738278389,800.0,710076,959.8147943019867,0.0,0.051399954,0.010462863,667.85114
0.046816234,1.3667462,2,469,2867.945122621562,0.668948769569397,797.975,713979,964.1025485992432,0.0,0.046816234,0.010217861,665.8169
0.038671724,1.363832,1,470,2912.9888010978293,0.1864115595817566,811.225,716979,968.4095685482025,0.0,0.038671724,0.011381882,675.16455
0.04936531,1.3366534,1,471,2870.1146601554965,0.9872132819145918,799.2,717732,972.6656153202057,0.0,0.04936531,0.010928785,665.7581
0.039947815,1.2864779,1,472,2871.427857057956,0.05205756425857544,799.2,720732,977.0236465930939,0.0,0.039947815,0.011386652,665.94495
0.050309625,1.2962192,1,473,2851.812011897328,0.9826977718621492,794.075,722430,981.2930309772491,0.0,0.050309625,0.010072805,661.8065
0.041075267,1.3015125,1,474,2852.4850427620104,0.0651702880859375,794.075,725430,985.539636850357,0.0,0.041075267,0.011867747,661.4132
0.047423124,1.3022475,1,475,2869.334045819465,0.24805283546447754,799.525,728430,989.8935823440552,0.0,0.047423124,0.0115252705,665.1444
0.03946473,1.3327788,2,477,2909.193043488309,0.7200771868228912,810.25,733599,994.2064740657806,0.0,0.03946473,0.010273131,674.1116
0.05328668,1.3246973,2,479,2821.118103433947,0.9679586812853813,784.425,736500,998.5127351284027,0.0,0.05328668,0.010649253,656.5183
0.037137907,1.340413,1,480,2821.62835103834,0.011807620525360107,784.425,739500,1002.7709410190582,0.0,0.037137907,0.010002622,656.54425
0.1222242,1.3255051,1,481,2781.7644367195853,0.9736628904938698,772.575,741078,1007.0620269775391,0.0,0.1222242,0.011467783,649.4326
0.03911246,1.3063827,2,483,2715.007195644697,0.7199491858482361,753.6,744801,1011.3764667510986,0.0,0.03911246,0.011599165,635.6996
0.03894385,1.3392085,2,485,2678.1308935455927,0.7101569473743439,742.45,749463,1015.6219389438629,0.0,0.03894385,0.010762454,630.3665
0.04416368,1.3501896,1,486,2737.3717031251763,0.08991885185241699,759.725,752463,1019.9372551441193,0.0,0.04416368,0.008896733,641.80225
0.049987406,1.3585718,1,487,2736.0297621801424,0.9815214928239584,758.475,755313,1024.2328004837036,0.0,0.049987406,0.009934813,642.85583
0.060492158,1.32231,2,489,2647.8758552441295,0.9848129125311971,732.7,758220,1028.4944400787354,0.0,0.060492158,0.0105968425,625.9255
0.053636633,1.3467973,1,490,2646.896440806041,0.5841055810451508,732.7,761220,1032.7559428215027,0.0,0.053636633,0.010235802,626.3706
0.05452639,1.3871654,3,493,2561.809765284119,0.9200842678546906,707.625,764955,1037.0314350128174,0.0,0.05452639,0.010769937,609.9322
0.06546524,1.3712159,2,495,2544.117493090844,0.9668842405080795,702.45,767280,1041.319347858429,0.0,0.06546524,0.011119887,603.4346
0.046649393,1.3565727,1,496,2583.308724173495,0.9798045810312033,712.825,770226,1045.6619293689728,0.0,0.046649393,0.01038835,611.1216
0.051066533,1.3027289,2,498,2622.079049452486,0.9213135913014412,722.875,774264,1049.9250123500824,0.0,0.051066533,0.012330309,617.7889
0.053106047,1.3034377,1,499,2618.4227427450314,0.9552974551916122,721.4,776232,1054.1634664535522,0.0,0.053106047,0.009732836,616.8949
