EpTrueRewMean,TimeElapsed,meankl,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,entropy,EpThisIter,optimgain,EpLenMean,EpRewMean,surrgain,entloss
504.32988334856583,1246.0512511730194,0.014175112,584274,2552,0.8509943783283234,23.658201,12,0.33765835,98.425,68.81328,0.33765835,0.0
461.93737019894905,1252.9040882587433,0.013267863,587247,2563,0.7889249324798584,23.654135,11,0.25163245,91.65,63.79368,0.25163245,0.0
478.78953689357667,1259.4949216842651,0.01401569,590271,2572,0.8853453919291496,23.661604,9,0.2683357,95.2,66.6035,0.2683357,0.0
465.1555543968363,1266.107619524002,0.014558516,593496,2584,0.8692804574966431,23.653545,12,0.37490648,92.475,64.83976,0.37490648,0.0
474.1225969775907,1272.71528840065,0.014464131,596577,2595,0.8674911707639694,23.658514,11,0.28065836,95.125,63.78788,0.28065836,0.0
478.1349666087922,1279.1892731189728,0.013992906,599715,2606,0.8226077258586884,23.658688,11,0.32312384,96.025,63.874317,0.32312384,0.0
483.00632378281773,1285.7760095596313,0.014142265,602844,2616,0.8433580249547958,23.660398,10,0.27557164,96.8,64.12154,0.27557164,0.0
489.74707260760823,1292.374344110489,0.014485583,606102,2627,0.8582103550434113,23.66113,11,0.31060904,97.8,65.20732,0.31060904,0.0
496.60947447674715,1298.918550491333,0.0139306,609276,2638,0.8495737314224243,23.652279,11,0.29790828,99.0,67.649155,0.29790828,0.0
503.4313874331162,1305.5033564567566,0.014639814,612480,2649,0.8683840036392212,23.654722,11,0.31959784,99.9,69.03745,0.31959784,0.0
477.85316623084566,1312.0255434513092,0.003917055,615276,2659,0.8685091733932495,23.648764,10,0.14049473,95.175,66.44438,0.14049473,0.0
486.73586184810375,1318.9959149360657,0.01463316,618597,2670,0.9040050655603409,23.654543,11,0.32220733,96.625,68.07652,0.32220733,0.0
511.7101880905278,1325.6741914749146,0.014363537,621888,2679,0.8727840483188629,23.653082,9,0.28721923,101.65,69.75969,0.28721923,0.0
513.8054296350658,1332.322826385498,0.014280295,625011,2690,0.8951721116900444,23.653076,11,0.29567075,102.1,69.8784,0.29567075,0.0
509.3731625375808,1339.0498526096344,0.014547054,627831,2700,0.8670526444911957,23.652853,10,0.26699698,101.775,67.50984,0.26699698,0.0
506.3723587895294,1345.6667623519897,0.0038553274,631092,2711,0.8867753595113754,23.652851,11,0.14918692,100.475,66.89914,0.14918692,0.0
485.0731118690783,1352.4233438968658,0.014558243,634365,2722,0.8806303963065147,23.650698,11,0.2905499,95.475,64.4969,0.2905499,0.0
509.9362271759128,1359.1843736171722,0.014825907,637596,2732,0.8880175873637199,23.653322,10,0.30022335,100.55,67.58097,0.30022335,0.0
520.1294285093084,1365.735441684723,0.01423027,640770,2742,0.8268047571182251,23.65357,10,0.3423782,101.875,70.36116,0.3423782,0.0
499.37143907821775,1372.3935623168945,0.0145803485,643671,2753,0.8741092830896378,23.653158,11,0.2916503,99.15,65.71663,0.2916503,0.0
502.25061072329515,1379.0994336605072,0.014602233,646890,2764,0.8499760776758194,23.656073,11,0.32180902,99.525,64.94209,0.32180902,0.0
484.56728484503253,1385.8776874542236,0.0038453122,649905,2774,0.8695239126682281,23.652666,10,0.14004755,96.375,63.405495,0.14004755,0.0
487.98777493319193,1392.5563411712646,0.014997037,652560,2783,0.8596794307231903,23.651373,9,0.33425966,96.425,62.412952,0.33425966,0.0
525.0641615464726,1399.2197558879852,0.0038974017,655668,2792,0.8533569276332855,23.65314,9,0.15821913,102.7,67.07286,0.15821913,0.0
532.2675829819715,1405.7460079193115,0.004479732,658596,2801,0.7986906617879868,23.652815,9,0.1581911,104.225,69.21979,0.1581911,0.0
532.776704300281,1412.4454958438873,0.014073309,661659,2812,0.8171732872724533,23.65106,11,0.29650474,103.875,67.426575,0.29650474,0.0
521.9494693499306,1419.2385411262512,0.013483172,664473,2822,0.8576670140028,23.648932,10,0.3224606,102.4,67.84519,0.3224606,0.0
517.4691489279064,1425.9789583683014,0.013896996,667686,2831,0.7948004603385925,23.652605,9,0.30506846,102.675,69.1706,0.30506846,0.0
529.1360007364488,1432.613929271698,0.01466772,670839,2840,0.8151039928197861,23.648432,9,0.33304024,103.725,70.30653,0.33304024,0.0
