ev_tdlam_before,entropy,meankl,EpTrueRewMean,TimestepsSoFar,EpLenMean,optimgain,EpThisIter,EpisodesSoFar,EpRewMean,entloss,surrgain,TimeElapsed
0.7429382801055908,23.667727,0.009242988,357.1544900502388,35884,75.95,0.25415686,13,748,54.802166,0.0,0.25415686,241.29470014572144
0.7160615921020508,23.665117,0.009908579,362.4486797562116,36860,76.0,0.1824055,14,762,54.841736,0.0,0.1824055,248.30457425117493
0.8018450736999512,23.672625,0.009167253,354.66384034425596,37865,73.75,0.18732467,14,776,54.532135,0.0,0.18732467,255.33256244659424
0.8066084682941437,23.634584,0.009998408,358.5257265020135,38904,75.5,0.18504065,12,788,54.686134,0.0,0.18504065,262.36950182914734
0.7561720609664917,23.620846,0.0092801545,380.21648221564635,39969,78.925,0.21374945,13,801,58.112144,0.0,0.21374945,269.44730830192566
0.7283704578876495,23.611982,0.009525425,375.82479996975866,41027,79.05,0.21894445,15,816,57.886395,0.0,0.21894445,276.4281265735626
0.7125988006591797,23.588865,0.009340106,379.18688855153067,42046,78.55,0.21034995,12,828,57.536797,0.0,0.21034995,283.4250957965851
0.8004993349313736,23.586979,0.009247603,354.57335224735033,43021,74.4,0.197166,14,842,52.523705,0.0,0.197166,290.45219111442566
0.782298281788826,23.566387,0.009483771,371.38687422892133,44087,76.5,0.21573448,14,856,55.0884,0.0,0.21573448,297.4541220664978
0.7897339314222336,23.566816,0.009989301,355.71020902408657,45110,73.275,0.20892307,14,870,50.65899,0.0,0.20892307,304.8419759273529
0.7955601811408997,23.573668,0.009620958,358.6983279466555,46125,74.25,0.208161,13,883,53.1057,0.0,0.208161,312.8726177215576
0.8151814788579941,23.58284,0.009413205,366.8057509842162,47141,76.35,0.20869644,13,896,54.499733,0.0,0.20869644,321.0488636493683
0.8151679635047913,23.573488,0.010766493,369.8082145118764,48159,76.225,0.30193365,14,910,59.498116,0.0,0.30193365,329.1584782600403
0.7960296720266342,23.567299,0.010876147,385.4597890377093,49189,79.05,0.20934695,12,922,68.70665,0.0,0.20934695,337.2088611125946
0.7373799085617065,23.57371,0.009943884,366.56130986219654,50171,75.75,0.20202932,14,936,70.817764,0.0,0.20202932,345.2869257926941
0.821716696023941,23.580305,0.009558087,375.59526188640194,51202,77.525,0.2045565,13,949,74.08673,0.0,0.2045565,353.31451392173767
0.756961464881897,23.575216,0.010126175,364.3285034999061,52263,75.05,0.22026633,14,963,69.78636,0.0,0.22026633,360.8369302749634
0.8121925592422485,23.571537,0.010675929,373.38606467844454,53287,76.625,0.25140014,14,977,69.9243,0.0,0.25140014,368.3300709724426
0.8327605128288269,23.583254,0.010004076,357.160007870918,54387,73.5,0.21026534,15,992,65.44935,0.0,0.21026534,375.87556767463684
0.8716864138841629,23.570074,0.009516407,372.45257028620455,55425,75.65,0.20916553,13,1005,72.61409,0.0,0.20916553,383.40051770210266
0.756104052066803,23.558771,0.009712404,380.0735523515426,56391,77.6,0.2266262,12,1017,77.041214,0.0,0.2266262,390.94805693626404
