entloss,entropy,EpTrueRewMean,surrgain,TimestepsSoFar,meankl,EpisodesSoFar,EpLenMean,ev_tdlam_before,EpRewMean,TimeElapsed,EpThisIter,optimgain
0.0,1.3790702,2447.796772421329,0.04710322,607768,0.010415381,1212,709.8,0.9632954187691212,371.908,11349.659463644028,1,0.04710322
0.0,1.3839307,2508.2060093283203,0.046108067,608768,0.009790111,1213,727.125,0.13908612728118896,380.78418,11359.409231901169,1,0.046108067
0.0,1.4047469,2562.2689587199725,0.043041095,609768,0.010448078,1214,742.85,0.06245154142379761,388.48676,11368.973456144333,1,0.043041095
0.0,1.4321078,2562.596925165846,0.054994076,610768,0.010130588,1215,742.85,0.157528817653656,388.19952,11378.445582151413,1,0.054994076
0.0,1.422914,2563.82435220591,0.0446243,611768,0.010562575,1216,742.85,0.7470509111881256,387.66763,11388.09517788887,1,0.0446243
0.0,1.4387376,2623.562785975392,0.051843062,613768,0.011078276,1218,760.4,0.05949413776397705,394.9456,11397.662932395935,2,0.051843062
0.0,1.448425,2692.1912280640163,0.036978807,614768,0.011861858,1219,780.125,0.15713179111480713,405.26675,11407.283576488495,1,0.036978807
0.0,1.4597169,2691.3665564444937,0.042410426,615768,0.010962665,1220,780.125,0.12497782707214355,404.52094,11416.748777627945,1,0.042410426
0.0,1.4716012,2692.3964345956365,0.062049888,616768,0.011232052,1221,780.125,0.8644789159297943,404.5951,11426.270443677902,1,0.062049888
0.0,1.446643,2764.2111004460876,0.04621683,618138,0.01082314,1223,800.975,0.875322662293911,414.9292,11435.749155759811,2,0.04621683
0.0,1.4804316,2724.7195683855234,0.055860423,618670,0.011205619,1224,789.275,0.9581562541425228,408.6437,11445.429611206055,1,0.055860423
0.0,1.4731396,2775.24024116122,0.03919661,619670,0.01161685,1225,804.1,0.0528179407119751,415.86475,11454.926657676697,1,0.03919661
0.0,1.5050712,2834.7630882644453,0.04295855,620670,0.010639109,1226,821.45,0.08098655939102173,424.33447,11464.462891817093,1,0.04295855
0.0,1.4892898,2848.8216525916932,0.029883474,622055,0.003934723,1228,825.075,0.610138326883316,426.18744,11476.562743902206,2,0.029883474
0.0,1.5005498,2843.989182289526,0.038935814,623308,0.011087488,1230,823.75,0.7076846063137054,424.087,11487.212102413177,2,0.038935814
0.0,1.4964112,2843.375203125663,0.022616835,624308,0.0039081667,1231,823.75,0.11848980188369751,423.09424,11496.81501698494,1,0.022616835
0.0,1.4608945,2843.3639320773414,0.041197333,625308,0.011257855,1232,823.75,0.11392897367477417,421.89484,11506.530943393707,1,0.041197333
