meankl,ev_tdlam_before,entloss,EpisodesSoFar,optimgain,EpLenMean,EpTrueRewMean,EpThisIter,entropy,TimestepsSoFar,surrgain,TimeElapsed,EpRewMean
0.0080793835,0.7465638220310211,0.0,294,0.06280327,852.175,901.2539949674767,1,4.3095074,517896,0.06280327,605.0058889389038,824.66327
0.0076045822,0.49849915504455566,0.0,296,0.05905907,852.7,901.9745405611,2,4.342862,521781,0.05905907,608.6590433120728,825.2975
0.0066899043,-0.2109915018081665,0.0,297,0.045704342,852.7,901.7580460786527,1,4.3833547,524781,0.045704342,612.1217958927155,824.8291
0.008881852,0.022230029106140137,0.0,298,0.05073397,865.8,913.4914975164577,1,4.377068,527781,0.05073397,615.5133666992188,835.68835
0.00741686,0.005455434322357178,0.0,299,0.043740902,865.8,913.0763901891139,1,4.3865423,530781,0.043740902,619.0982236862183,835.73114
0.00739687,-0.012822151184082031,0.0,300,0.039351348,882.175,929.6691707569323,1,4.396791,533781,0.039351348,622.768355846405,851.24835
0.007851429,-0.003735184669494629,0.0,301,0.042050954,905.1,952.6854083471326,1,4.3951764,536781,0.042050954,626.3908581733704,873.04724
0.008789603,-0.0047234296798706055,0.0,302,0.04326398,911.95,960.0314195297024,1,4.37903,539781,0.04326398,629.9482414722443,879.4501
0.0071291137,0.04042363166809082,0.0,303,0.046156634,911.95,960.0018375598942,1,4.3866367,542781,0.046156634,633.5805215835571,879.2334
0.0068421564,0.3549955487251282,0.0,305,0.04969634,912.425,958.7535688820237,2,4.3748174,547116,0.04969634,637.2172186374664,878.47656
0.006828392,0.6141543686389923,0.0,306,0.051252082,912.425,958.673676420682,1,4.379178,550116,0.051252082,640.8096039295197,878.2614
0.006672659,-0.034587979316711426,0.0,307,0.045052834,912.425,959.465117118413,1,4.3753037,553116,0.045052834,644.5048060417175,878.159
0.0073204963,0.5288474261760712,0.0,308,0.04626298,900.375,946.4278292805914,1,4.3785405,554670,0.04626298,648.0067911148071,867.08905
0.007400837,-0.017039179801940918,0.0,309,0.046612006,900.375,945.4242129629899,1,4.373563,557670,0.046612006,651.5495069026947,868.0469
0.007597949,-0.003502488136291504,0.0,310,0.046242133,915.95,962.798034028757,1,4.3584824,560670,0.046242133,655.139683008194,882.8135
0.0074222293,-0.000339508056640625,0.0,311,0.038909625,915.95,962.7366004288135,1,4.383234,563670,0.038909625,658.9449009895325,883.2209
0.0062978845,-0.12861502170562744,0.0,312,0.056040213,915.95,963.5438854326009,1,4.3904767,566670,0.056040213,662.6429240703583,882.3792
0.007605829,-0.006999969482421875,0.0,313,0.045669362,915.95,963.1451159708834,1,4.420139,569670,0.045669362,666.3654627799988,882.7163
0.009091436,0.0005592703819274902,0.0,314,0.046248727,915.95,963.069823497897,1,4.4484844,572670,0.046248727,670.0214295387268,882.0991
0.006844421,-0.006032228469848633,0.0,315,0.038517825,927.975,975.1577632554975,1,4.4391465,575670,0.038517825,673.6918811798096,893.8607
0.008950257,-0.001212000846862793,0.0,316,0.04566271,932.775,980.2280482914066,1,4.4532065,578670,0.04566271,677.2927441596985,898.0656
0.008787456,0.03732120990753174,0.0,317,0.051750273,932.775,980.6062613858505,1,4.440496,581670,0.051750273,681.0317976474762,897.78925
0.006877466,2.47955322265625e-05,0.0,318,0.039769236,932.775,980.6400177844432,1,4.4486966,584670,0.039769236,684.7972073554993,898.62537
0.006900661,-0.0076912641525268555,0.0,319,0.04593137,932.775,980.7608383791743,1,4.442322,587670,0.04593137,688.4473221302032,899.31757
0.009935767,0.12036103010177612,0.0,320,0.04150436,932.775,981.2037361401929,1,4.4067035,590670,0.04150436,692.1049268245697,899.50995
0.009358933,0.0013101696968078613,0.0,321,0.04656712,932.775,980.2008766826199,1,4.42279,593670,0.04656712,695.7396309375763,899.3817
0.0058939066,-0.0010329484939575195,0.0,322,0.04047224,932.775,979.6468556552242,1,4.4133916,596670,0.04047224,699.3338656425476,898.55206
0.007970145,0.13733744621276855,0.0,324,0.0612776,914.25,961.2093774273599,2,4.393394,600447,0.0612776,702.9336631298065,886.8172
0.008375978,0.22760272026062012,0.0,325,0.034911793,914.25,960.6770543068167,1,4.4134126,603447,0.034911793,706.5899612903595,886.6891
0.0087761,0.12605679035186768,0.0,326,0.06717761,914.25,958.8965597650392,1,4.416192,606447,0.06717761,710.2688145637512,886.1168
0.007467136,-0.014958977699279785,0.0,327,0.051921174,914.25,958.614175454896,1,4.416605,609447,0.051921174,713.7967455387115,887.01855
0.00917805,-0.013083696365356445,0.0,328,0.044787705,914.25,959.0538619640159,1,4.4140573,612447,0.044787705,717.5044331550598,887.1367
0.0070452727,-0.021971702575683594,0.0,329,0.05182463,921.125,966.1968415717286,1,4.418308,615447,0.05182463,721.1562237739563,893.221
0.008035289,0.0007727146148681641,0.0,330,0.03921996,928.975,975.9775707974288,1,4.4446764,618447,0.03921996,724.8808455467224,900.2329
0.007135185,-0.002183675765991211,0.0,331,0.053473264,933.55,978.4832562433178,1,4.4571548,621447,0.053473264,728.59748005867,899.4842
0.010617963,0.1369084119796753,0.0,332,0.060006473,933.55,978.0630628376344,1,4.444485,624447,0.060006473,732.4772155284882,898.182
0.008430868,0.31751489639282227,0.0,334,0.058009163,921.0,967.8884957731236,2,4.44171,628416,0.058009163,736.1132066249847,888.4904
0.0071341665,0.3912830948829651,0.0,336,0.07340157,928.025,977.9756628365178,2,4.435854,633144,0.07340157,739.738086938858,898.6654
0.0073958635,-0.004641175270080566,0.0,337,0.061564445,928.025,979.0549623798863,1,4.431696,636144,0.061564445,743.3427295684814,898.74884
0.007152381,-0.03336155414581299,0.0,338,0.041196294,928.025,979.2639779435042,1,4.4474697,639144,0.041196294,747.0850164890289,899.05066
0.00838386,-0.013730764389038086,0.0,339,0.0463657,928.025,979.4937607063421,1,4.4506173,642144,0.0463657,750.7926754951477,898.3309
0.0067028333,-0.042910218238830566,0.0,340,0.067677334,928.025,980.3025745114553,1,4.4371963,645144,0.067677334,754.5102169513702,898.8595
0.00766782,0.16626691818237305,0.0,341,0.06431408,926.0,979.1925440417733,1,4.433477,647901,0.06431408,758.1530928611755,897.819
0.011049347,-0.15313756465911865,0.0,342,0.06525008,926.0,980.1042765561158,1,4.417874,650901,0.06525008,761.8313069343567,897.7072
0.0084425025,0.013849198818206787,0.0,343,0.05829194,926.0,979.7862679895352,1,4.402805,653901,0.05829194,765.5707693099976,897.1947
0.007743556,-0.02480912208557129,0.0,344,0.04926305,926.0,979.5445625083709,1,4.397122,656901,0.04926305,769.2524199485779,897.5631
0.008741468,-0.008704781532287598,0.0,345,0.051607557,939.875,993.7594922791423,1,4.3951974,659901,0.051607557,772.9199969768524,910.4292
0.0088795405,-0.07087564468383789,0.0,346,0.05168706,939.875,993.1744043117742,1,4.3879323,662901,0.05168706,776.6959090232849,910.41943
0.007974533,-0.043625473976135254,0.0,347,0.03998896,939.875,990.9440296511473,1,4.4107275,665901,0.03998896,780.3437402248383,910.9123
0.0091052875,-0.003892183303833008,0.0,348,0.064327344,951.925,1002.0210616568241,1,4.416445,668901,0.064327344,784.005841255188,922.3127
0.00680213,0.05264371633529663,0.0,349,0.05990535,951.925,1003.0834303582003,1,4.4188585,671901,0.05990535,787.7331640720367,922.43475
0.0066931136,-0.025110602378845215,0.0,350,0.042348094,951.925,1001.6397886840316,1,4.4215155,674901,0.042348094,791.3877379894257,922.1828
0.008521023,-0.008871316909790039,0.0,351,0.04588929,951.925,1002.5744232813877,1,4.4277396,677901,0.04588929,795.0184218883514,921.7383
0.009268828,-0.03672146797180176,0.0,352,0.059287857,951.925,1002.5379206925141,1,4.403503,680901,0.059287857,798.7497096061707,921.29083
0.006589053,-0.024052858352661133,0.0,353,0.053425092,951.925,1002.7336697982184,1,4.410373,683901,0.053425092,802.5201907157898,921.5402
0.008534525,-0.017535090446472168,0.0,354,0.056663897,951.925,1004.1209424171615,1,4.406642,686901,0.056663897,806.1747612953186,922.161
0.0069559957,-0.013235211372375488,0.0,355,0.04453809,951.925,1004.6565972573305,1,4.409302,689901,0.04453809,809.8816857337952,922.3332
0.007728932,-6.723403930664062e-05,0.0,356,0.04805962,951.925,1003.462262311266,1,4.4181294,692901,0.04805962,813.6750705242157,922.26624
0.006373772,-0.001090407371520996,0.0,357,0.05444235,951.925,1004.1059629027795,1,4.4300876,695901,0.05444235,817.5297026634216,922.7748
0.007830534,-1.609325408935547e-05,0.0,358,0.06064301,951.925,1004.2277812556771,1,4.4312153,698901,0.06064301,821.4683246612549,921.2679
0.008707015,-0.015026092529296875,0.0,359,0.04605826,951.925,1004.7385283505064,1,4.427028,701901,0.04605826,825.4862234592438,920.92615
0.00813445,-4.565715789794922e-05,0.0,360,0.054018892,951.925,1004.661690157442,1,4.4349957,704901,0.054018892,829.4596450328827,920.1279
0.008247625,-0.02302241325378418,0.0,361,0.054905765,951.925,1004.2183202008524,1,4.4445853,707901,0.054905765,833.4616258144379,918.912
