EpLenMean,meankl,EpThisIter,optimgain,EpTrueRewMean,entropy,TimeElapsed,TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,surrgain,entloss,EpRewMean
250.85,0.006086504,3,0.054194022,333.77459119117253,7.891858,122.65897917747498,84300,0.9417972415685654,215,0.054194022,0.0,156.98494
269.1,0.0068469336,3,0.06331404,354.2954963076395,7.8798246,127.06568837165833,89079,0.5940523445606232,218,0.06331404,0.0,164.15372
286.675,0.006349477,2,0.07038325,354.079297372518,7.8525543,131.4561619758606,92340,0.9513908065855503,220,0.07038325,0.0,167.39001
301.15,0.0071231476,3,0.071146056,363.26815889266055,7.8444977,135.82015299797058,95619,0.791673943400383,223,0.071146056,0.0,172.67673
300.875,0.0064012394,4,0.06319399,351.7083036876758,7.837158,140.21041250228882,98733,0.9129016548395157,227,0.06319399,0.0,168.68396
301.075,0.0065023503,4,0.07462576,361.38766338785337,7.8148203,144.74153447151184,101847,0.9097127839922905,231,0.07462576,0.0,169.91464
314.25,0.0070503415,2,0.096363276,380.2952616770959,7.796325,149.46027970314026,104577,0.8547161966562271,233,0.096363276,0.0,177.93808
318.9,0.0073908935,4,0.109962516,404.30759502742217,7.779538,153.97251725196838,107676,0.8864242658019066,237,0.109962516,0.0,184.3411
313.825,0.0063196775,3,0.07533175,396.92148226880215,7.772648,158.40210151672363,110100,0.9020889103412628,240,0.07533175,0.0,180.93175
320.25,0.0069699227,2,0.076077856,404.8050294191756,7.7511587,162.79934883117676,112341,0.9268484339118004,242,0.076077856,0.0,183.47388
327.75,0.006778309,3,0.095254876,417.25899164776627,7.7311244,167.22470951080322,115314,0.9671367220580578,245,0.095254876,0.0,187.80289
335.025,0.0070832623,2,0.10166611,434.6699189781772,7.724667,171.68301725387573,117459,0.9213516339659691,247,0.10166611,0.0,192.71472
344.675,0.006177414,3,0.08396159,455.935131164688,7.7267604,176.13766360282898,121110,0.9108297154307365,250,0.08396159,0.0,198.02646
351.375,0.006429583,3,0.10902343,470.5079668567487,7.711411,180.64629483222961,124002,0.611054003238678,253,0.10902343,0.0,205.38216
330.6,0.0067881737,3,0.08976874,470.59089976973866,7.709228,185.07370376586914,126972,0.8670520484447479,256,0.08976874,0.0,201.74211
340.975,0.0070685893,1,0.07955015,484.6916093895558,7.7145267,189.47193264961243,129003,0.542487382888794,257,0.07955015,0.0,206.73398
318.875,0.0063014827,4,0.06806682,474.7946572096861,7.738339,193.9712529182434,132144,0.8769598379731178,261,0.06806682,0.0,197.35747
322.625,0.0069000795,3,0.07633328,485.67154329383555,7.7290683,198.36381840705872,135168,0.907010480761528,264,0.07633328,0.0,198.61145
331.8,0.0067344913,1,0.07492044,491.78326002791584,7.727662,202.80786395072937,137364,0.7473762035369873,265,0.07492044,0.0,200.55812
346.325,0.0067067333,2,0.07029635,512.9583673678766,7.715698,207.21921062469482,140292,0.7834343761205673,267,0.07029635,0.0,207.83614
