entloss,EpRewMean,EpisodesSoFar,optimgain,entropy,EpTrueRewMean,EpLenMean,ev_tdlam_before,meankl,TimestepsSoFar,EpThisIter,surrgain,TimeElapsed
0.0,432.4663,313,0.06372494,3.559852,1683.277751171397,517.0,0.7921649366617203,0.00931886,352281,2,0.06372494,481.3301134109497
0.0,431.64032,316,0.0603807,3.5451274,1694.8772410449612,520.275,0.9570880495011806,0.00881123,355830,3,0.0603807,485.542635679245
0.0,433.4301,318,0.05404746,3.4695673,1711.9732200962294,525.35,0.9602818861603737,0.009067891,358767,2,0.05404746,489.80970072746277
0.0,450.40088,320,0.041796632,3.4771402,1799.2100711444268,551.875,0.7381995320320129,0.008677874,364383,2,0.041796632,494.04383158683777
0.0,450.5257,322,0.050897032,3.4728155,1805.1253031305089,553.55,0.9881773153319955,0.0093331225,366546,2,0.050897032,498.29040241241455
0.0,448.92154,323,0.061541285,3.418998,1801.5568800226222,551.55,0.9847784927114844,0.009092892,367863,1,0.061541285,502.5463547706604
0.0,458.8963,324,0.05408658,3.4037778,1843.4677066232666,565.45,0.021973490715026855,0.00869236,370863,1,0.05408658,506.7757704257965
0.0,476.32,326,0.046644647,3.3609223,1921.5424669513595,589.85,0.14034849405288696,0.009471679,376863,2,0.046644647,511.05301666259766
0.0,481.16122,327,0.06369388,3.337027,1947.8212137411024,598.025,0.9417453706264496,0.0096367905,379863,1,0.06369388,515.2715909481049
0.0,483.59854,329,0.054856226,3.3765867,1966.413722829784,601.15,0.9501414485275745,0.00908506,384540,2,0.054856226,519.5116920471191
0.0,480.9876,330,0.040826943,3.3920357,1969.6018339844734,601.15,0.07282763719558716,0.009239644,387540,1,0.040826943,523.6561925411224
0.0,487.41327,332,0.06342245,3.446319,2002.85018058085,608.325,0.9086358994245529,0.009153358,392547,2,0.06342245,527.874552488327
0.0,490.9732,334,0.061653312,3.4402487,2010.1074311002117,607.55,0.9522547535598278,0.008832379,395526,2,0.061653312,532.062747001648
0.0,481.49323,336,0.039070547,3.453071,1981.1924640455168,599.575,0.6771716773509979,0.008518016,398358,2,0.039070547,536.2708189487457
0.0,474.8383,337,0.073114604,3.4853585,1948.4031430788411,587.15,0.9320761039853096,0.0091491975,399867,1,0.073114604,540.5314481258392
0.0,481.4234,338,0.05958387,3.5519125,1981.4188920006854,595.725,0.9661946669220924,0.009062701,402297,1,0.05958387,544.7472538948059
0.0,480.16406,339,0.053888515,3.57712,1988.0840342069575,598.55,-0.014093399047851562,0.009666005,403860,1,0.053888515,548.9364833831787
0.0,476.85703,341,0.056651793,3.5861733,1976.2101349747038,594.275,0.9746953193098307,0.009179261,406065,2,0.056651793,553.1611788272858
0.0,467.84418,344,0.06823756,3.58194,1941.6511222325632,582.8,0.9733173530548811,0.0093097985,409587,3,0.06823756,557.3986721038818
0.0,468.50162,346,0.051542744,3.5382166,1952.5932371677743,585.375,0.9628645367920399,0.009434827,412386,2,0.051542744,561.7106530666351
