EpThisIter,optimgain,EpRewMean,meankl,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entropy,entloss,surrgain,TimeElapsed,EpLenMean,TimestepsSoFar
1,0.053209767,539.3643,0.011050367,416,2436.5751509766787,0.9669709987938404,2.7829006,0.0,0.053209767,759.2255523204803,743.5,544851
1,0.046011847,547.2804,0.010524063,417,2467.7187914751876,0.9754236713051796,2.8051474,0.0,0.046011847,763.4701769351959,752.525,547236
1,0.046185404,556.9596,0.010090353,418,2506.5770067422054,0.9557189084589481,2.8089993,0.0,0.046185404,767.7436428070068,763.7,550236
2,0.05334192,546.11255,0.010631014,420,2456.945716702684,0.9801649767905474,2.7458189,0.0,0.05334192,772.0412850379944,747.725,552993
1,0.048630405,540.8705,0.008811371,421,2435.7747302486487,0.9527250044047832,2.6967156,0.0,0.048630405,776.3102946281433,741.15,555204
1,0.03765665,547.2787,0.009691633,422,2465.274638605548,-0.13672101497650146,2.6842043,0.0,0.03765665,780.5433881282806,750.4,558204
1,0.047614805,546.22034,0.009193092,423,2467.5577478287755,0.8922170549631119,2.6887906,0.0,0.047614805,784.823258638382,750.4,561204
1,0.062610924,550.2333,0.010382673,424,2485.945527886188,0.9733446557074785,2.6527991,0.0,0.062610924,789.1093950271606,755.875,562800
1,0.052017856,556.1927,0.0101963235,425,2510.8400469459425,0.967055793851614,2.659118,0.0,0.052017856,793.3959245681763,762.575,564942
1,0.032955214,563.1239,0.009703338,426,2546.2792291705455,0.0631570816040039,2.6634326,0.0,0.032955214,797.6888236999512,774.325,567942
1,0.04413963,572.26624,0.0110402,427,2593.8419033217565,0.06964874267578125,2.5918274,0.0,0.04413963,801.978666305542,789.7,570942
1,0.03984355,572.1263,0.010631831,428,2602.0118493104915,0.07215613126754761,2.5887055,0.0,0.03984355,806.3112678527832,792.775,573942
1,0.043029428,570.57874,0.010661092,429,2598.4271491828213,0.03736811876296997,2.5473325,0.0,0.043029428,810.6018807888031,792.95,576942
1,0.034858316,570.27576,0.011069812,430,2597.151762279597,-0.006516814231872559,2.6008213,0.0,0.034858316,814.9216766357422,793.325,579942
1,0.03943141,574.29083,0.010295013,431,2618.163365896384,0.08950930833816528,2.5720005,0.0,0.03943141,819.1978905200958,799.55,582942
1,0.029439569,574.60065,0.009111159,432,2621.9390944379625,0.07653599977493286,2.5902905,0.0,0.029439569,823.48455119133,799.55,585942
2,0.037384264,573.12286,0.010300523,434,2613.290872303086,0.729881078004837,2.604298,0.0,0.037384264,827.8451991081238,795.45,589548
2,0.051233433,557.42444,0.010985729,436,2536.6935184906924,0.9715131781995296,2.6096199,0.0,0.051233433,832.1709659099579,771.125,591948
3,0.05330032,535.7809,0.010078497,439,2432.232234072938,0.9879231555387378,2.5527763,0.0,0.05330032,836.4753744602203,735.825,596163
1,0.049202636,527.9271,0.010969983,440,2393.483537290174,0.9816816579550505,2.5173154,0.0,0.049202636,840.7580533027649,722.725,597591
1,0.043053374,529.547,0.010776155,441,2410.523140572971,0.3302992582321167,2.4787595,0.0,0.043053374,845.0096309185028,727.225,600591
1,0.043047834,529.735,0.010788228,442,2414.920618968767,0.8945891857147217,2.4076202,0.0,0.043047834,849.268842458725,727.225,603591
3,0.055810798,502.88086,0.010914471,445,2301.9616460900875,0.951872818171978,2.3256102,0.0,0.055810798,853.5991749763489,690.175,606180
1,0.032334436,503.79126,0.010537604,446,2306.3165797334577,0.08020132780075073,2.3045528,0.0,0.032334436,857.9138972759247,690.175,609180
1,0.038071774,511.47598,0.0094936825,447,2344.1289328428184,0.4559268355369568,2.340213,0.0,0.038071774,862.4391341209412,701.45,612180
1,0.038710833,516.6657,0.010146465,448,2380.867884936792,0.09166121482849121,2.3654819,0.0,0.038710833,866.769802570343,712.15,615180
1,0.04306684,517.6551,0.010782866,449,2382.6992141753944,0.6319551467895508,2.3334455,0.0,0.04306684,871.1029329299927,712.15,618180
1,0.05144221,506.6866,0.009898254,450,2335.8982252685782,0.9445615150034428,2.302005,0.0,0.05144221,875.4294335842133,697.375,619407
1,0.040308885,514.82434,0.010421229,451,2378.9800068684135,0.0623469352722168,2.3588254,0.0,0.040308885,879.7816832065582,710.2,622407
