entropy,EpTrueRewMean,optimgain,EpThisIter,EpRewMean,TimestepsSoFar,surrgain,meankl,entloss,TimeElapsed,ev_tdlam_before,EpisodesSoFar,EpLenMean
4.4607487,898.8716187683967,0.047349468,1,629.1967,665484,0.047349468,0.010296205,0.0,929.4335136413574,-0.0014241933822631836,352,916.15
4.45687,899.3828292817865,0.038629647,1,629.09247,668484,0.038629647,0.009440454,0.0,933.8627095222473,-0.007669687271118164,353,916.15
4.4562635,899.3827319137603,0.054236107,1,628.785,671484,0.054236107,0.0075092185,0.0,938.2710971832275,0.00442737340927124,354,916.15
4.4646215,875.5381754786525,0.049535934,2,612.6537,674673,0.049535934,0.0072427504,0.0,942.6935360431671,0.2323247790336609,356,892.725
4.477273,875.3172868956369,0.030199695,1,612.59094,677673,0.030199695,0.008602487,0.0,947.091726064682,-0.020321130752563477,357,892.725
4.4601707,875.3543264593429,0.034156248,1,612.52234,680673,0.034156248,0.008061606,0.0,951.4731092453003,-0.025754809379577637,358,892.725
4.4239497,875.3976607428024,0.03741602,1,612.5714,683673,0.03741602,0.0071582077,0.0,955.9163625240326,-0.00029087066650390625,359,892.725
4.413548,875.3411673715985,0.030316208,1,612.4373,686673,0.030316208,0.009199033,0.0,960.2892882823944,-0.04442799091339111,360,892.725
4.4241996,874.8948271560469,0.03129555,1,612.33417,689673,0.03129555,0.008306707,0.0,964.7167925834656,-0.0007380247116088867,361,892.725
4.411065,874.996350364554,0.042313263,1,612.1257,692673,0.042313263,0.009099703,0.0,969.1564831733704,-8.666515350341797e-05,362,892.725
4.407755,874.947354458221,0.04802359,1,612.0028,695673,0.04802359,0.007432107,0.0,973.4919247627258,-0.0009696483612060547,363,892.725
4.4022565,874.6765532527576,0.030966975,1,612.0409,698673,0.030966975,0.008172266,0.0,977.8490571975708,-0.045201778411865234,364,892.725
4.3849483,874.348279880257,0.0344859,1,611.821,701673,0.0344859,0.00860424,0.0,982.2515637874603,-0.001107335090637207,365,892.725
4.3774967,874.2996312426103,0.037256576,1,611.62256,704673,0.037256576,0.009102637,0.0,986.546953201294,-0.000683903694152832,366,892.725
4.3601336,898.1083180960495,0.03808742,1,627.64087,707673,0.03808742,0.009834187,0.0,990.9085493087769,-3.790855407714844e-05,367,916.2
4.3577604,897.9299182440803,0.036619857,1,627.5265,710673,0.036619857,0.010448795,0.0,995.2645518779755,-1.8596649169921875e-05,368,916.2
4.349602,897.811921177388,0.034827612,1,627.5887,713673,0.034827612,0.00918152,0.0,999.6431441307068,-3.7670135498046875e-05,369,916.2
4.3508906,897.6037066019453,0.034316197,1,627.2919,716673,0.034316197,0.007897209,0.0,1004.05544090271,-0.0008540153503417969,370,916.2
4.350009,897.6796646756753,0.044182364,1,627.3037,719673,0.044182364,0.009227196,0.0,1008.4280784130096,-0.0023382902145385742,371,916.2
4.3500156,897.862199545413,0.050027214,1,627.26013,722673,0.050027214,0.010721701,0.0,1012.7982187271118,-0.14772212505340576,372,916.2
4.351772,897.4704815860125,0.029841777,1,627.1473,725673,0.029841777,0.00911315,0.0,1017.230174779892,-0.0005041360855102539,373,916.2
4.390964,897.3848920027897,0.02811974,1,627.13,728673,0.02811974,0.008787544,0.0,1021.6101658344269,-1.1920928955078125e-07,374,916.2
4.398797,903.1906456432425,0.055602916,2,631.2248,732564,0.055602916,0.009639233,0.0,1025.9343347549438,0.1872020959854126,376,922.275
4.4004297,903.1099823622984,0.028861588,1,631.13086,735564,0.028861588,0.009316648,0.0,1030.332062959671,-0.0009337663650512695,377,922.275
4.4177647,885.0069927319207,0.044644546,2,619.1169,739479,0.044644546,0.008498089,0.0,1034.6134541034698,0.509424090385437,379,904.9
4.429787,884.9395539903004,0.029144265,1,619.0331,742479,0.029144265,0.0080752,0.0,1038.9663116931915,-0.0010273456573486328,380,904.9
4.4264736,884.6913266883264,0.048890606,1,618.94324,745479,0.048890606,0.010222383,0.0,1043.287998199463,0.04577285051345825,381,904.9
4.4583483,884.6682650871626,0.034115322,1,618.81067,748479,0.034115322,0.008532036,0.0,1047.5631682872772,0.0018087029457092285,382,904.9
4.4503107,884.6525945784481,0.053685486,1,618.7791,751479,0.053685486,0.009329496,0.0,1051.868197441101,-0.03807711601257324,383,904.9
4.4507833,884.8147909876301,0.04049278,1,618.86395,754479,0.04049278,0.009824801,0.0,1056.1853229999542,-0.03709447383880615,384,904.9
4.4416165,884.9105752937579,0.0412549,1,619.1097,757479,0.0412549,0.009292935,0.0,1060.5094673633575,-0.01912367343902588,385,904.9
4.4453664,908.214686813148,0.033898037,1,634.87445,760479,0.033898037,0.009539315,0.0,1064.8698434829712,-0.025593996047973633,386,927.925
4.4383335,908.7136728734482,0.043280914,1,634.90686,763479,0.043280914,0.011272643,0.0,1069.1637017726898,-0.059642910957336426,387,927.925
4.42591,896.5654619777612,0.044773966,1,626.9584,765063,0.044773966,0.009469187,0.0,1073.504112958908,0.7939817607402802,388,916.125
4.4218764,910.9887018576562,0.03677454,1,636.3195,768063,0.03677454,0.009774603,0.0,1077.8663148880005,-0.0049779415130615234,389,929.825
4.422153,910.6477213338634,0.035813607,1,636.2025,771063,0.035813607,0.009813314,0.0,1082.2871656417847,-0.0004286766052246094,390,929.825
4.4119277,910.7882359514017,0.05451097,1,636.0587,774063,0.05451097,0.010748779,0.0,1086.6518285274506,-0.00010097026824951172,391,929.825
