entloss,optimgain,EpTrueRewMean,meankl,TimestepsSoFar,EpRewMean,ev_tdlam_before,surrgain,EpThisIter,EpisodesSoFar,TimeElapsed,EpLenMean,entropy
0.0,0.020965602,194.825,0.006267267,796579,177.28166,0.6955701112747192,0.020965602,5,4181,3887.696434736252,194.825,0.50426674
0.0,0.015163626,194.675,0.0060794083,797573,174.73886,0.7208752930164337,0.015163626,5,4186,3893.2633018493652,194.675,0.5015962
0.0,0.0047076335,194.675,0.0030862687,798573,169.21301,0.7552879750728607,0.0047076335,5,4191,3898.342442035675,194.675,0.5019957
0.0,0.008948712,193.0,0.005121068,799661,164.58838,0.7452463805675507,0.008948712,6,4197,3903.3763570785522,193.0,0.4856524
0.0,0.011405537,193.525,0.008621891,800661,158.00961,0.7739781737327576,0.011405537,5,4202,3908.3149564266205,193.525,0.48226276
0.0,0.012751351,194.9,0.010438426,801661,150.44003,0.8701375126838684,0.012751351,5,4207,3913.674491882324,194.9,0.49244446
0.0,0.0060814326,195.6,0.007418119,802661,145.99683,0.8710616379976273,0.0060814326,5,4212,3918.601051092148,195.6,0.5010038
0.0,0.015957398,192.8,0.0076748882,803749,140.18185,0.8246092647314072,0.015957398,6,4218,3923.985468864441,192.8,0.46112722
0.0,0.011152328,194.25,0.006319671,804749,139.5291,0.883878767490387,0.011152328,5,4223,3929.08345746994,194.25,0.49706215
0.0,0.021007946,189.9,0.0041912473,805769,134.16125,0.7715092152357101,0.021007946,6,4229,3934.004753112793,189.9,0.4670452
0.0,0.010369131,192.7,0.009222474,806769,133.11526,0.891901396214962,0.010369131,5,4234,3938.9098200798035,192.7,0.49564278
0.0,0.009205212,192.7,0.007211156,807769,131.82703,0.9290115684270859,0.009205212,5,4239,3944.087053537369,192.7,0.46577147
0.0,0.014795809,192.7,0.008559364,808769,135.7026,0.7674782574176788,0.014795809,5,4244,3949.30100440979,192.7,0.47565848
0.0,0.009832816,192.7,0.004521203,809969,138.2396,0.7842150777578354,0.009832816,6,4250,3954.3672852516174,192.7,0.43065017
0.0,0.011393545,192.7,0.008937078,810969,137.93909,0.8255804777145386,0.011393545,5,4255,3958.7993614673615,192.7,0.46432564
0.0,0.0045864433,195.5,0.0078150015,811969,136.30376,0.812791034579277,0.0045864433,5,4260,3964.2481887340546,195.5,0.48489058
0.0,0.012427855,200.0,0.009032112,812969,136.00333,0.6114762723445892,0.012427855,5,4265,3969.0191400051117,200.0,0.4875691
