surrgain,entropy,EpisodesSoFar,entloss,ev_tdlam_before,EpThisIter,TimeElapsed,EpTrueRewMean,TimestepsSoFar,optimgain,EpRewMean,meankl,EpLenMean
0.06480979,4.0253563,266,0.0,0.793745145201683,6,1530.5816278457642,285.2633915505623,182412,0.06480979,19.63911,0.00760132,151.9
0.065067105,3.99815,274,0.0,0.6587388217449188,8,1554.5621464252472,297.6673808592264,185799,0.065067105,19.362255,0.007240008,156.725
0.07257643,3.968813,281,0.0,0.3146314024925232,7,1580.1990101337433,297.2520793625687,188994,0.07257643,20.236147,0.007918825,153.75
0.06163408,3.9707148,288,0.0,0.7181838750839233,7,1604.3858213424683,313.59054081882834,192345,0.06163408,22.848745,0.0077449367,159.075
0.068716064,3.965494,294,0.0,0.5676533281803131,6,1629.9090886116028,318.30100306765087,195309,0.068716064,21.66174,0.007733855,162.65
0.06259267,3.9641454,300,0.0,0.4238097667694092,6,1654.0719947814941,322.92822529377673,198666,0.06259267,22.205568,0.007739483,161.725
0.063120954,3.9670088,306,0.0,0.7860534340143204,6,1680.0192155838013,322.10859153368745,201714,0.063120954,22.413013,0.007838454,160.85
0.062066466,3.9730306,310,0.0,0.7417550384998322,4,1704.0825402736664,339.97048508735827,204534,0.062066466,24.089874,0.0076639,172.825
0.063844234,3.964432,317,0.0,0.5100012719631195,7,1729.5548667907715,346.03538550892154,207726,0.063844234,26.868362,0.0075394297,171.35
0.05473394,3.9474468,323,0.0,0.8322217613458633,6,1753.344220161438,353.06369763573736,210510,0.05473394,28.024609,0.0070789754,170.55
0.06271313,3.954676,330,0.0,0.7454167902469635,7,1779.0872731208801,347.81839285525035,213660,0.06271313,27.103876,0.0076880287,169.525
0.059960917,3.950058,335,0.0,0.7699260711669922,5,1802.8549764156342,364.34463478273267,216693,0.059960917,28.999432,0.00772288,173.225
0.06177192,3.948284,341,0.0,0.7996833175420761,6,1828.7582125663757,374.98376031762547,220002,0.06177192,29.66484,0.007825312,173.925
0.064043865,3.9067876,347,0.0,0.7560133934020996,6,1853.1601479053497,379.0140462656128,223197,0.064043865,30.721039,0.0076977657,171.95
0.05243504,3.8790894,352,0.0,0.8177264928817749,5,1878.0461530685425,401.479512354946,226575,0.05243504,31.580719,0.007799182,176.9
0.06341196,3.8768976,359,0.0,0.7134664356708527,7,1903.4169483184814,402.96769023118264,229905,0.06341196,29.795391,0.0071454467,176.125
0.06085114,3.8748705,363,0.0,0.8230493366718292,4,1928.3014659881592,432.1736557360775,232758,0.06085114,31.316051,0.007796844,185.4
0.06564006,3.855972,368,0.0,0.6679733991622925,5,1953.4475169181824,448.8038779374912,235605,0.06564006,32.71395,0.007930988,189.1
0.055684358,3.856037,372,0.0,0.6382658183574677,4,1977.9013006687164,466.5564592016407,238494,0.055684358,35.295807,0.0068925107,195.5
0.07017655,3.8538165,377,0.0,0.7277617156505585,5,2003.47154712677,474.8699984040246,241611,0.07017655,35.106697,0.0078666005,197.575
0.06379617,3.840239,382,0.0,0.6588251292705536,5,2027.883032798767,489.9723341338346,244761,0.06379617,36.778038,0.007911592,202.15
0.05907981,3.8225265,386,0.0,0.8938660845160484,4,2053.608889579773,530.6143442357296,248160,0.05907981,41.479004,0.008761396,213.075
0.06938127,3.8222468,389,0.0,0.8365514278411865,3,2077.9961416721344,540.0765535656841,250713,0.06938127,41.656013,0.008177727,216.8
0.055978775,3.8088586,393,0.0,0.6575352549552917,4,2104.067193508148,556.006764574576,253491,0.055978775,44.741283,0.008168639,219.825
0.05969028,3.776523,396,0.0,0.7922971844673157,3,2128.6144292354584,595.5677406206472,256236,0.05969028,49.260902,0.008301312,230.525
0.07004435,3.7687898,399,0.0,0.8058355152606964,3,2154.5792882442474,623.1232805267261,258699,0.07004435,51.9946,0.008619016,239.95
0.06346148,3.7697809,403,0.0,0.843671053647995,4,2178.380222082138,627.4877576373208,261417,0.06346148,53.10912,0.0077578556,238.825
0.060883064,3.759937,407,0.0,0.5930825471878052,4,2204.386291742325,646.6021535477004,264348,0.060883064,54.055676,0.007932581,245.425
0.062063724,3.735424,411,0.0,0.6178230345249176,4,2228.8202154636383,666.3304061308042,267285,0.062063724,56.265053,0.008327223,247.05
0.06410006,3.710279,415,0.0,0.8651244789361954,4,2254.1224930286407,704.695264414765,271158,0.06410006,58.92106,0.0077126627,257.375
0.06702594,3.6956096,417,0.0,0.8734180331230164,2,2278.1839606761932,800.1161654358187,275784,0.06702594,70.32733,0.008865546,284.775
0.06256779,3.6856494,420,0.0,0.8436409384012222,3,2304.2078125476837,860.0551370358808,279363,0.06256779,76.84102,0.008223498,301.875
0.063166395,3.6732907,424,0.0,0.8620868623256683,4,2328.752953529358,857.8061240752943,282198,0.063166395,75.87275,0.007592614,296.8
0.061072946,3.6328626,427,0.0,0.6905120611190796,3,2354.174936771393,871.2569192074677,285441,0.061072946,75.72717,0.008702066,300.4
0.066416144,3.64303,430,0.0,0.8563524037599564,3,2378.5995807647705,892.7969520713086,288513,0.066416144,77.218735,0.008270807,305.775
0.06451122,3.6227336,434,0.0,0.828441709280014,4,2403.9977271556854,898.1894329058784,291327,0.06451122,77.28594,0.007924922,306.5
0.059194997,3.6119845,438,0.0,0.8968746513128281,4,2428.7378833293915,894.8185088173111,293832,0.059194997,77.80745,0.008604886,303.725
0.056074753,3.5845928,441,0.0,0.9190049096941948,3,2454.1492857933044,888.1052055064104,296361,0.056074753,77.24922,0.008313526,299.95
0.059266433,3.600967,444,0.0,0.8802062347531319,3,2478.44051194191,887.2435238963751,298644,0.059266433,76.239334,0.0083226655,298.7
0.058530755,3.5990832,449,0.0,0.8527234643697739,5,2504.0636110305786,919.8491449423012,302001,0.058530755,81.21028,0.008556202,305.125
0.06622708,3.597538,454,0.0,0.9414500221610069,5,2529.336273431778,884.2965631154821,305208,0.06622708,77.577896,0.008656425,293.325
