EpTrueRewMean,TimeElapsed,entloss,meankl,entropy,surrgain,EpRewMean,EpLenMean,EpThisIter,EpisodesSoFar,optimgain,ev_tdlam_before,TimestepsSoFar
528.7612053392595,94.24914193153381,0.0,0.0078630615,3.7964845,0.02732667,377.8335,397.225,1,125,0.02732667,-0.06599569320678711,68004
547.2770035072252,98.50270795822144,0.0,0.0063111815,3.7418294,0.048606712,392.263,418.3,1,126,0.048606712,-0.029778242111206055,71004
563.3232397181043,102.71924018859863,0.0,0.008016821,3.7207108,0.0359063,404.41617,437.7,1,127,0.0359063,-0.004782319068908691,74004
583.9173542983375,106.94305419921875,0.0,0.008222189,3.737526,0.036094144,419.7501,459.65,1,128,0.036094144,-0.0256497859954834,77004
601.7558875476492,111.21475672721863,0.0,0.007219226,3.7149675,0.037990734,432.80396,479.525,1,129,0.037990734,-0.04276549816131592,80004
619.6508434871749,115.5054624080658,0.0,0.0071677943,3.707696,0.027001794,445.97168,499.475,1,130,0.027001794,-0.01488196849822998,83004
636.4390863454312,119.754061460495,0.0,0.007692135,3.7547016,0.027834743,459.3687,520.325,1,131,0.027834743,-0.013076424598693848,86004
654.2892441247999,123.99896192550659,0.0,0.0072563803,3.760765,0.025177572,472.64276,541.25,1,132,0.025177572,-0.042496442794799805,89004
672.4403903873067,128.3074746131897,0.0,0.007857781,3.7356548,0.02800301,486.04916,561.55,1,133,0.02800301,0.011922180652618408,92004
688.6825243958198,132.6255087852478,0.0,0.008321539,3.7676024,0.03032285,498.6167,581.65,1,134,0.03032285,-0.00016295909881591797,95004
704.484008288111,136.87486457824707,0.0,0.009590422,3.7476218,0.04116702,510.93243,601.65,1,135,0.04116702,-0.006450772285461426,98004
718.085143295813,141.1483509540558,0.0,0.008198276,3.7316,0.035400596,520.9525,618.2,1,136,0.035400596,-0.03667306900024414,100545
733.527807710041,145.4774820804596,0.0,0.007852667,3.727476,0.03825919,532.30695,637.2,3,139,0.03825919,0.6939643025398254,104859
754.0459385083149,149.70463585853577,0.0,0.0072871163,3.7148662,0.057320226,547.39545,657.725,1,140,0.057320226,0.9096746146678925,107859
766.5488333225087,153.9527428150177,0.0,0.008711349,3.7281191,0.045021214,556.83307,676.275,2,142,0.045021214,0.4671916365623474,111300
774.5357394994496,158.15875482559204,0.0,0.0076864325,3.7351923,0.068495855,561.57275,680.975,2,144,0.068495855,0.9348142221570015,112851
779.0597199417754,162.39805054664612,0.0,0.008296666,3.717277,0.04906024,564.10077,693.45,2,146,0.04906024,0.03300446271896362,116727
802.3752558527533,166.5758020877838,0.0,0.006973155,3.7123332,0.033443995,580.11615,717.625,2,148,0.033443995,0.673901379108429,120627
813.1370823137822,170.84419512748718,0.0,0.0072318246,3.6933897,0.027792662,587.7148,732.7,1,149,0.027792662,0.008144557476043701,123627
828.1599466236894,175.1091914176941,0.0,0.0082443105,3.7375772,0.024494555,599.008,751.8,1,150,0.024494555,0.005545079708099365,126627
838.2803692473786,179.34013628959656,0.0,0.008653982,3.7131267,0.040431343,606.5519,769.9,2,152,0.040431343,0.011793255805969238,130671
843.7051970770542,183.5830042362213,0.0,0.008592775,3.66205,0.031234263,606.5122,776.025,1,153,0.031234263,0.014706969261169434,133671
866.0538194903509,187.86730432510376,0.0,0.007313245,3.6492376,0.034500632,622.11884,798.55,1,154,0.034500632,0.01647263765335083,136671
866.6599119557807,192.1390540599823,0.0,0.006153292,3.6541831,0.049047776,617.46045,798.55,1,155,0.049047776,-0.032852888107299805,139671
865.1186467130652,196.46393823623657,0.0,0.0077517554,3.6734293,0.03213273,614.1317,800.6,1,156,0.03213273,-0.002203822135925293,142671
866.1399327835791,200.75614833831787,0.0,0.008390946,3.6243658,0.039829478,612.07275,802.625,2,158,0.039829478,0.018469393253326416,145866
865.4606420073824,204.9863486289978,0.0,0.008075321,3.6648333,0.025281465,608.94696,802.625,1,159,0.025281465,-0.0010243654251098633,148866
845.6134250242467,209.2945053577423,0.0,0.0058959816,3.696541,0.034915276,590.4498,783.3,2,161,0.034915276,-0.0001379251480102539,152547
848.0993159452333,213.62454199790955,0.0,0.008106111,3.7224507,0.025993675,591.5595,790.125,1,162,0.025993675,-0.006119489669799805,155547
847.8072917203186,217.9462490081787,0.0,0.0064401967,3.7024152,0.029274058,589.6069,790.125,1,163,0.029274058,-0.10319674015045166,158547
822.4309584108571,222.23081612586975,0.0,0.007902447,3.657562,0.04213242,568.75305,762.675,3,166,0.04213242,0.20407229661941528,162525
