entropy,entloss,surrgain,optimgain,EpThisIter,EpisodesSoFar,TimestepsSoFar,EpRewMean,meankl,ev_tdlam_before,TimeElapsed,EpTrueRewMean,EpLenMean
23.373297,0.0,0.2530483,0.2530483,12,1901,387237,430.65861499019076,0.012254861,0.8895984515547752,1139.7665083408356,430.65861499019076,87.6
23.385275,0.0,0.26249713,0.26249713,12,1913,390627,442.74099915381305,0.012151022,0.937179408967495,1148.9030106067657,442.74099915381305,90.275
23.399965,0.0,0.2671262,0.2671262,11,1924,393594,446.01866280607544,0.012407202,0.8882279247045517,1158.0658407211304,446.01866280607544,91.25
23.4013,0.0,0.23923546,0.23923546,12,1936,396813,452.3126137161709,0.012852512,0.9169321656227112,1167.1365242004395,452.3126137161709,92.025
23.414373,0.0,0.2872212,0.2872212,10,1946,399807,449.6950501424364,0.012424553,0.9208904579281807,1176.2861223220825,449.6950501424364,91.825
23.422625,0.0,0.2810136,0.2810136,11,1957,403074,461.6970096026036,0.013244538,0.9380970038473606,1185.4798574447632,461.6970096026036,94.7
23.410906,0.0,0.23160617,0.23160617,11,1968,406215,473.2507554724804,0.0124033615,0.9185488522052765,1194.6799485683441,473.2507554724804,96.775
23.413004,0.0,0.32510358,0.32510358,12,1980,409233,455.57585165859365,0.013286047,0.9271899536252022,1203.874746799469,455.57585165859365,92.75
23.423666,0.0,0.27498144,0.27498144,11,1991,412137,445.7444793837623,0.012526099,0.9157089591026306,1213.0743026733398,445.7444793837623,91.125
23.422056,0.0,0.2501421,0.2501421,12,2003,415131,418.2960594405562,0.013202881,0.9048457592725754,1222.2718403339386,418.2960594405562,86.175
23.41058,0.0,0.26113087,0.26113087,12,2015,418275,416.009440889966,0.013289592,0.922751672565937,1231.418974161148,416.009440889966,85.8
23.414385,0.0,0.3247878,0.3247878,11,2026,421344,427.564084632009,0.012974689,0.9025395810604095,1240.4627368450165,427.564084632009,88.35
23.414244,0.0,0.41108125,0.41108125,13,2039,424473,418.6743372260697,0.013989488,0.9115105867385864,1249.670688867569,418.6743372260697,85.7
23.415949,0.0,0.27577034,0.27577034,12,2051,427650,421.7605962762136,0.012726901,0.9183737933635712,1258.8632564544678,421.7605962762136,85.875
23.42578,0.0,0.28005087,0.28005087,12,2063,430581,417.5253568364357,0.013208186,0.9214385747909546,1267.9777648448944,417.5253568364357,84.075
23.434813,0.0,0.28825104,0.28825104,11,2074,433611,428.82442504837434,0.013154442,0.915540911257267,1277.1112909317017,428.82442504837434,86.025
23.433432,0.0,0.29471225,0.29471225,13,2087,436758,427.9805351024368,0.013357567,0.8880899474024773,1286.2537832260132,427.9805351024368,85.475
23.440008,0.0,0.30274245,0.30274245,13,2100,440040,423.554864558094,0.014293499,0.8816366866230965,1295.6321895122528,423.554864558094,85.1
23.432371,0.0,0.28195506,0.28195506,11,2111,443097,427.1873390704165,0.013370622,0.9090130403637886,1304.8310413360596,427.1873390704165,86.0
23.433287,0.0,0.2574769,0.2574769,13,2124,446298,411.8963338637465,0.014273329,0.9251488447189331,1313.8299090862274,411.8963338637465,84.45
23.431719,0.0,0.38711995,0.38711995,11,2135,449289,420.62843713762425,0.013714149,0.8957822769880295,1322.88521027565,420.62843713762425,86.825
23.430685,0.0,0.31652692,0.31652692,10,2145,452448,453.74946496690666,0.013086855,0.8179743885993958,1331.982194185257,453.74946496690666,93.15
23.428633,0.0,0.3059755,0.3059755,12,2157,455355,435.3962951226714,0.013555936,0.920344740152359,1341.052417755127,435.3962951226714,89.325
23.415854,0.0,0.3685316,0.3685316,12,2169,458496,441.5178245131143,0.014374055,0.9146080687642097,1350.153976202011,441.5178245131143,89.575
23.40973,0.0,0.33036005,0.33036005,12,2181,461478,437.06101292448864,0.013608308,0.8669559061527252,1359.226773738861,437.06101292448864,88.9
23.406717,0.0,0.13428769,0.13428769,11,2192,464655,428.2256453068867,0.0038185164,0.9109898135066032,1368.2773423194885,428.2256453068867,87.15
23.408285,0.0,0.13634053,0.13634053,12,2204,467697,430.4016533320617,0.0037970634,0.9140366911888123,1377.3798649311066,430.4016533320617,88.05
23.416037,0.0,0.31265402,0.31265402,13,2217,470742,424.4749019513171,0.014775569,0.9365997910499573,1386.528843164444,424.4749019513171,86.125
