TimeElapsed,ev_tdlam_before,EpLenMean,TimestepsSoFar,EpRewMean,EpTrueRewMean,meankl,surrgain,EpThisIter,entloss,optimgain,EpisodesSoFar,entropy
2696.556408405304,0.7725198566913605,216.1,335724,53.516743,528.5298742359046,0.0085092075,0.059021518,6,0.0,0.059021518,502,4.147614
2721.9449274539948,0.880015566945076,214.65,338718,55.908215,542.9348166697959,0.008361808,0.0672659,5,0.0,0.0672659,507,4.176111
2746.8368651866913,0.8067794591188431,214.1,341715,56.344078,552.1790576145934,0.00823462,0.08872871,5,0.0,0.08872871,512,4.162134
2772.2746205329895,0.8663414567708969,217.925,344232,59.51306,565.5807528518606,0.008107705,0.07601011,4,0.0,0.07601011,516,4.153401
2796.7352035045624,0.7959302663803101,221.275,347373,61.613415,581.1750044922017,0.0077628456,0.06786217,5,0.0,0.06786217,521,4.1776195
2822.4407176971436,0.9151212349534035,221.3,350838,58.014343,590.8307890462484,0.008567702,0.071001336,5,0.0,0.071001336,526,4.183354
2847.5644307136536,0.8417935371398926,219.6,354114,55.98568,597.413764912498,0.008654649,0.05549323,6,0.0,0.05549323,532,4.1739426
2873.043097257614,0.7695237696170807,202.6,356760,52.943443,570.7434998112319,0.008375124,0.058981042,4,0.0,0.058981042,536,4.1627955
2897.7316222190857,0.8895999118685722,210.1,359562,53.551765,597.5111768917517,0.008512003,0.07152442,4,0.0,0.07152442,540,4.1738544
2923.5320250988007,0.7832620143890381,213.425,363123,51.87328,596.6035869823147,0.008746868,0.063062996,5,0.0,0.063062996,545,4.164471
2948.4106550216675,0.9182207956910133,211.65,366552,49.11337,597.4929303242227,0.00907278,0.062565885,6,0.0,0.062565885,551,4.162167
2973.2915892601013,0.8987455666065216,216.675,369549,51.57041,614.2015657033569,0.008178691,0.06715626,4,0.0,0.06715626,555,4.1445026
2998.287880420685,0.9003942757844925,214.7,372513,49.844353,622.6755960260281,0.009186321,0.070363104,5,0.0,0.070363104,560,4.141247
3023.4677851200104,0.9478160291910172,216.7,375948,50.667763,627.3665941617666,0.008748887,0.06631206,5,0.0,0.06631206,565,4.1578383
3048.2679624557495,0.8582693785429001,215.3,379311,50.30477,618.441206839017,0.00887564,0.07055673,5,0.0,0.07055673,570,4.1399436
3073.4664857387543,0.819258064031601,223.775,382308,52.157066,649.4172189315469,0.008460297,0.119760625,4,0.0,0.119760625,574,4.1523743
3098.681180000305,0.9257609397172928,222.45,385707,51.38961,644.5035347030849,0.007817025,0.06860076,5,0.0,0.06860076,579,4.1446033
3123.777760744095,0.9349299222230911,223.225,388644,52.02337,657.7172255208749,0.008853199,0.07258236,4,0.0,0.07258236,583,4.1345043
3148.896436214447,0.7798082381486893,227.2,391593,54.1869,663.5319307117621,0.009597835,0.060524452,4,0.0,0.060524452,587,4.123875
3173.919908285141,0.9509736113250256,233.45,394566,55.499756,683.139850147759,0.0076015126,0.070057824,4,0.0,0.070057824,591,4.11815
3198.9581456184387,0.9257025867700577,241.6,396951,57.175926,700.6484751281663,0.008441109,0.06835619,2,0.0,0.06835619,593,4.105244
3224.34295296669,0.9353053569793701,241.725,399585,56.167732,703.9056093337567,0.009411601,0.06524742,4,0.0,0.06524742,597,4.099565
3249.863725423813,0.96226716786623,249.05,403140,59.374073,721.671345504722,0.009025462,0.06715796,4,0.0,0.06715796,601,4.0783157
3274.8578617572784,0.8880603238940239,247.0,405009,58.28286,714.0237261201437,0.00833374,0.06325495,3,0.0,0.06325495,604,4.0601573
3299.9820630550385,0.9526395387947559,256.25,408867,61.25234,740.2893889581754,0.008399192,0.06637476,4,0.0,0.06637476,608,4.0607867
3325.6225945949554,0.9123203158378601,255.0,409911,60.418785,739.0414715574332,0.008954331,0.06928397,2,0.0,0.06928397,610,4.063458
3350.431128501892,0.904496505856514,264.275,413325,63.858177,767.1202505002133,0.008396813,0.06544137,3,0.0,0.06544137,613,4.0681005
3375.8186197280884,0.9032391384243965,270.125,416829,66.932434,784.4581565077895,0.007896656,0.065835096,4,0.0,0.065835096,617,4.0493164
3400.6356933116913,0.9225029796361923,275.9,418815,68.01195,800.9916344114347,0.008202124,0.066133976,2,0.0,0.066133976,619,4.082708
3426.275405883789,0.9595972709357738,282.55,421839,70.284805,818.2134892057022,0.008509493,0.0699492,3,0.0,0.0699492,622,4.0716405
3450.8916232585907,0.9619805589318275,289.525,424950,71.86574,840.985085513963,0.008951019,0.10512208,3,0.0,0.10512208,625,4.08667
3476.4563794136047,0.7742257714271545,287.6,428355,73.2723,843.5022636240723,0.0085364375,0.054808646,5,0.0,0.054808646,630,4.098612
3501.0335071086884,0.8767317906022072,281.05,431307,71.70613,824.9746364857277,0.008627829,0.056586314,4,0.0,0.056586314,634,4.080401
3526.461906671524,0.8840960338711739,284.2,434991,72.20976,830.6893423781781,0.008593142,0.06252681,5,0.0,0.06252681,639,4.07505
3551.660910844803,0.9031546339392662,275.45,438063,69.02376,811.6901254155863,0.007789366,0.059109353,5,0.0,0.059109353,644,4.0603385
3575.541424512863,0.8440406024456024,270.925,440388,66.88273,794.8554811134667,0.009092101,0.059815336,3,0.0,0.059815336,647,4.027325
3601.422387599945,0.8435239642858505,278.025,442890,68.80019,813.7213676594818,0.008149847,0.0688134,2,0.0,0.0688134,649,4.059914
3626.232930421829,0.9014272317290306,276.0,444450,69.00398,815.2807604067177,0.009496897,0.0694059,2,0.0,0.0694059,651,4.0621147
3651.583011865616,0.961315531283617,275.525,447414,68.9666,818.1957655446812,0.009160331,0.062375,3,0.0,0.062375,654,4.0404058
3676.021375656128,0.862511157989502,271.15,450525,67.113014,805.3844977261631,0.0090253875,0.062869206,4,0.0,0.062869206,658,4.0017734
3701.7732224464417,0.9429860860109329,266.5,453819,65.06126,790.2443669279853,0.008553193,0.06431657,4,0.0,0.06431657,662,4.0009923
3726.600813627243,0.9671722911298275,262.6,456462,64.39606,781.7889427259005,0.009270895,0.06487906,3,0.0,0.06487906,665,3.988319
3751.936407327652,0.9669999107718468,269.525,459219,66.72227,807.8155616730825,0.008096633,0.064177394,3,0.0,0.064177394,668,3.9539168
