meankl,optimgain,TimeElapsed,EpLenMean,entloss,EpTrueRewMean,EpRewMean,EpisodesSoFar,entropy,ev_tdlam_before,EpThisIter,surrgain,TimestepsSoFar
0.008592409,0.17392632,109.89186239242554,63.8,0.0,306.20114502494425,66.328186,433,23.978437,0.8166191130876541,15,0.17392632,16220
0.008259475,0.17939463,116.85269784927368,62.75,0.0,305.4783782849344,65.629074,450,23.944504,0.7211716771125793,17,0.17939463,17226
0.008217308,0.1850078,123.79466009140015,61.8,0.0,298.04820000278585,62.00183,466,23.92507,0.7226392924785614,16,0.1850078,18271
0.009009924,0.15824047,130.78271460533142,62.925,0.0,302.55426983316994,60.180847,482,23.866877,0.7902457118034363,16,0.15824047,19265
0.008634333,0.18651158,137.78957438468933,65.5,0.0,316.1214667247592,58.81792,498,23.826178,0.7890711724758148,16,0.18651158,20333
0.00843172,0.17788655,144.74755573272705,66.425,0.0,323.06573733532025,60.77231,513,23.789713,0.82834692299366,15,0.17788655,21335
0.009326546,0.19527742,151.71702337265015,69.675,0.0,339.34797914905175,65.6733,526,23.806902,0.6689133048057556,13,0.19527742,22335
0.008667609,0.18033665,158.65413427352905,71.65,0.0,346.57419877073187,70.43583,540,23.802006,0.7800856083631516,14,0.18033665,23327
0.008796198,0.19899586,165.67905402183533,70.4,0.0,336.01111010621696,69.40275,556,23.783693,0.8434806317090988,16,0.19899586,24399
0.008633599,0.15981388,172.6456422805786,65.85,0.0,315.5040885454481,62.323742,572,23.780678,0.8577557802200317,16,0.15981388,25394
0.008562712,0.18573812,179.63135409355164,65.9,0.0,315.80958819572186,60.994926,587,23.81755,0.8164688348770142,15,0.18573812,26439
0.008570861,0.18838182,186.6021740436554,68.95,0.0,331.1025980970848,62.356495,601,23.792215,0.7602440863847733,14,0.18838182,27456
0.009769022,0.17635149,193.60880303382874,67.975,0.0,324.29552516365965,59.125927,617,23.783691,0.836392417550087,16,0.17635149,28464
0.009572461,0.24046105,200.67081356048584,67.9,0.0,319.5608823930268,58.492363,631,23.7652,0.8420777916908264,14,0.24046105,29428
0.008896144,0.18522096,207.68326258659363,67.45,0.0,320.3733499753718,57.1161,646,23.768862,0.828583374619484,15,0.18522096,30485
0.009116549,0.17804207,214.70287609100342,68.9,0.0,330.3241526887486,57.344494,661,23.746016,0.8502159863710403,15,0.17804207,31501
0.009417153,0.19130605,221.75507831573486,70.7,0.0,344.24849886685,55.832787,675,23.76613,0.8800489008426666,14,0.19130605,32498
0.009646704,0.19896573,228.81821703910828,73.475,0.0,358.6504599816336,56.014294,688,23.743473,0.8114205002784729,13,0.19896573,33544
0.0089405505,0.18758217,235.81421780586243,74.45,0.0,367.3585268945705,57.13562,702,23.727072,0.8556888401508331,14,0.18758217,34531
0.008643067,0.17858437,242.80580163002014,73.8,0.0,365.31937241953744,57.756966,717,23.745832,0.8571939915418625,15,0.17858437,35596
0.009724824,0.20237114,249.83569312095642,71.775,0.0,357.6914196323702,58.025158,731,23.746517,0.8545102328062057,14,0.20237114,36648
0.00965721,0.28527775,256.8793661594391,71.325,0.0,354.6942543324113,58.16933,746,23.754152,0.8840008974075317,15,0.28527775,37702
0.009137106,0.19275299,263.94507360458374,69.475,0.0,343.9194048764348,57.11773,761,23.734926,0.7951429039239883,15,0.19275299,38699
0.00945219,0.21721081,270.99986481666565,70.925,0.0,351.21496524429705,58.68003,773,23.73187,0.7901618778705597,12,0.21721081,39621
0.0109240515,0.18785933,278.06905913352966,74.525,0.0,369.7619922768382,62.889503,787,23.733475,0.8310967534780502,14,0.18785933,40746
0.011369308,0.25634477,285.1329462528229,77.2,0.0,382.5946580941347,65.30963,801,23.741213,0.7954131215810776,14,0.25634477,41787
0.00934135,0.20104451,292.17555022239685,73.4,0.0,365.2104932858149,61.38198,816,23.739077,0.7650727182626724,15,0.20104451,42850
0.009623347,0.19044942,299.28111743927,70.075,0.0,347.7086757738992,57.45066,831,23.7456,0.7024376094341278,15,0.19044942,43849
0.009746715,0.25762445,306.9475734233856,69.1,0.0,345.30275470149934,55.45022,846,23.76009,0.7870396375656128,15,0.25762445,44894
