meankl,EpRewMean,EpisodesSoFar,entloss,optimgain,TimeElapsed,EpThisIter,TimestepsSoFar,EpLenMean,surrgain,EpTrueRewMean,entropy,ev_tdlam_before
0.0043344684,73.84091,3448,0.0,0.15287414,1864.7454221248627,10,870294,111.2,0.15287414,556.8897149200556,23.310774,0.8932876288890839
0.014236703,75.378685,3456,0.0,0.40101504,1871.3967311382294,8,873201,113.575,0.40101504,565.7708454327618,23.311945,0.8762443140149117
0.003951945,69.70589,3466,0.0,0.16073218,1878.2255454063416,10,876150,107.625,0.16073218,537.9687698220114,23.313314,0.8808878362178802
0.0042025056,70.45316,3475,0.0,0.14978917,1884.8409962654114,9,879126,108.85,0.14978917,545.3692216613226,23.312422,0.7931023687124252
0.003816974,69.97578,3483,0.0,0.14825968,1891.5032827854156,8,881937,111.075,0.14825968,554.7365893976167,23.308775,0.8760094493627548
0.004104751,69.339195,3491,0.0,0.16875699,1898.190307378769,8,884823,110.2,0.16875699,550.5261255688698,23.30788,0.8038929253816605
0.0041658655,68.44397,3500,0.0,0.14053646,1904.9249420166016,9,887724,111.4,0.14053646,555.0400737468401,23.308168,0.8944667801260948
0.004500935,69.78143,3509,0.0,0.15256412,1911.5919361114502,9,890610,113.7,0.15256412,566.4804904687168,23.308676,0.8901846557855606
0.003887977,67.487465,3519,0.0,0.15044077,1918.1358692646027,10,893565,108.95,0.15044077,548.6981498008985,23.310566,0.8830959424376488
0.004209481,70.686874,3528,0.0,0.14719468,1924.7284033298492,9,896985,109.35,0.14719468,551.2050216136805,23.310299,0.8643688261508942
0.004171115,70.96542,3537,0.0,0.15854974,1931.3503725528717,9,899892,108.5,0.15854974,547.3977634105482,23.30982,0.8645619302988052
0.0039488347,71.987755,3547,0.0,0.14708373,1937.9641864299774,10,903039,108.85,0.14708373,544.4671319880847,23.310968,0.8638017475605011
0.0043369457,72.26952,3556,0.0,0.1633499,1944.4763054847717,9,906057,111.425,0.1633499,558.4740068496103,23.31032,0.8979787901043892
0.003936923,67.73556,3566,0.0,0.15340701,1951.0441846847534,10,909174,106.575,0.15340701,529.9847775968949,23.311275,0.8701624125242233
0.0040819654,66.86683,3576,0.0,0.16103473,1957.6619284152985,10,912078,103.125,0.16103473,512.1209883288926,23.311766,0.8624560236930847
0.004049231,67.096695,3585,0.0,0.17185348,1964.4122898578644,9,914859,102.775,0.17185348,517.6967776748257,23.312191,0.856010839343071
