TimeElapsed,surrgain,EpTrueRewMean,EpLenMean,EpisodesSoFar,entloss,optimgain,EpThisIter,ev_tdlam_before,TimestepsSoFar,EpRewMean,entropy,meankl
2287.746353626251,0.25524676,384.82142759374244,75.625,1284,0.0,0.25524676,13,0.5541122555732727,237660,14.605072,23.596886,0.010897694
2315.811135292053,0.2083337,381.3693269599088,74.375,1298,0.0,0.2083337,14,0.6621941924095154,240759,14.26208,23.591259,0.010167031
2344.8920664787292,0.23531796,405.8804514697931,78.875,1310,0.0,0.23531796,12,0.7171878218650818,244005,15.08273,23.606731,0.010598065
2373.280843257904,0.22058672,423.80883263673405,82.375,1321,0.0,0.22058672,11,0.7619332522153854,246840,15.811951,23.606033,0.010149097
2400.979561328888,0.22191009,440.81241505808464,85.35,1335,0.0,0.22191009,14,0.7543903738260269,250245,17.790495,23.608849,0.010641835
2429.884291410446,0.24204378,424.26012182482117,83.1,1347,0.0,0.24204378,12,0.7290019392967224,253353,17.254349,23.597141,0.012044094
2458.0342223644257,0.23032343,425.82131321807157,82.925,1359,0.0,0.23032343,12,0.7554334402084351,256305,18.276289,23.591352,0.010202704
2486.9142549037933,0.28272942,407.3441731083972,79.85,1373,0.0,0.28272942,14,0.6579481661319733,259389,17.308292,23.583742,0.011011009
2514.451376438141,0.22195229,384.8635566660767,75.475,1387,0.0,0.22195229,14,0.6917925477027893,262410,16.52419,23.58405,0.010718668
2543.6946761608124,0.23187725,398.69562978357305,78.3,1398,0.0,0.23187725,11,0.7339170575141907,265440,16.61412,23.599363,0.010346629
2571.9190838336945,0.27551442,401.4381501707864,77.3,1412,0.0,0.27551442,14,0.6172730326652527,268467,16.386957,23.594496,0.010514265
2600.2820739746094,0.22569385,399.1917468823176,76.9,1426,0.0,0.22569385,14,0.7566561251878738,271461,15.7508955,23.592583,0.011056049
2628.3415179252625,0.24336788,382.50931946193776,73.75,1439,0.0,0.24336788,13,0.7753055989742279,274449,13.994165,23.580444,0.010607831
2657.4612743854523,0.22666764,401.60842678735514,79.275,1449,0.0,0.22666764,10,0.6732853651046753,277257,14.224571,23.57512,0.010448242
2686.2885732650757,0.28955677,420.89716048574957,83.325,1461,0.0,0.28955677,12,0.6862796247005463,280341,14.648776,23.56858,0.01164882
2713.572275161743,0.26655555,432.9205862849889,85.225,1473,0.0,0.26655555,12,0.6644210815429688,283287,15.91167,23.583717,0.010994412
2742.7850239276886,0.23083995,443.16347929195274,86.3,1485,0.0,0.23083995,12,0.7581477761268616,286284,17.124416,23.591566,0.011559669
2770.412366628647,0.23944874,422.79246495189983,80.9,1498,0.0,0.23944874,13,0.7484506368637085,289446,17.809414,23.577637,0.0106383525
2799.697496175766,0.24864906,415.00456183542553,79.8,1511,0.0,0.24864906,13,0.6903892457485199,292320,17.847126,23.584541,0.011295648
2827.109836578369,0.26438016,417.6628300652681,79.675,1524,0.0,0.26438016,13,0.7444156110286713,295572,17.890142,23.578896,0.011420132
2855.950246334076,0.26342753,408.5211771883587,78.675,1537,0.0,0.26342753,13,0.7753864079713821,298683,16.15182,23.584566,0.010232794
2884.3124091625214,0.22000563,437.98610810801864,83.7,1549,0.0,0.22000563,12,0.7313585579395294,301929,15.574575,23.57654,0.011338969
2912.7003815174103,0.2340684,435.54192689550416,82.775,1562,0.0,0.2340684,13,0.7074021399021149,305025,14.711243,23.579376,0.01075166
2941.34850358963,0.2500034,430.6785720450156,81.875,1574,0.0,0.2500034,12,0.6840838491916656,307782,14.698324,23.58391,0.01088877
2970.003874063492,0.24010572,423.00041389191244,81.3,1586,0.0,0.24010572,12,0.8507017344236374,310773,15.667442,23.58257,0.010721522
2999.1691570281982,0.23383656,411.3920704301272,79.55,1599,0.0,0.23383656,13,0.7844615131616592,313893,16.147276,23.58802,0.010574316
3026.7620372772217,0.24938133,415.74337769049043,81.225,1612,0.0,0.24938133,13,0.8498164713382721,316893,16.3202,23.586592,0.010813247
3055.8463382720947,0.2399466,383.1527230958151,75.5,1627,0.0,0.2399466,15,0.6659806370735168,320136,14.494308,23.587849,0.011138694
3083.797737598419,0.2993459,390.6549838530233,76.85,1640,0.0,0.2993459,13,0.5775621235370636,323259,15.555038,23.578346,0.01077398
3112.704214334488,0.23425823,417.26460042293166,80.675,1651,0.0,0.23425823,11,0.8380754292011261,326334,16.435654,23.579836,0.011527363
