EpLenMean,TimestepsSoFar,EpTrueRewMean,TimeElapsed,meankl,optimgain,EpThisIter,entropy,EpisodesSoFar,EpRewMean,entloss,ev_tdlam_before,surrgain
463.45,466569,1213.4500277284171,674.0701668262482,0.008517682,0.06888655,1,7.3997035,547,443.64664,0.0,0.24978268146514893,0.06888655
475.45,469149,1241.8431864869785,678.4764149188995,0.009858288,0.12139998,1,7.3997235,548,452.84155,0.0,0.9411794878542423,0.12139998
488.625,472149,1266.9538818353915,682.8062069416046,0.009338103,0.07544048,1,7.392164,549,459.41708,0.0,0.1790083646774292,0.07544048
491.55,475581,1277.0386806595218,687.1495182514191,0.009350945,0.10977776,2,7.4005613,551,464.4131,0.0,0.9407384321093559,0.10977776
518.85,480768,1348.3678169440877,691.5613496303558,0.007903861,0.097008474,3,7.387692,554,487.643,0.0,0.9425666518509388,0.097008474
527.8,483150,1375.642253388524,695.9348034858704,0.009719845,0.10037953,1,7.3623524,555,496.26117,0.0,0.9545012786984444,0.10037953
539.6,486150,1395.3716623159944,700.3891801834106,0.009689195,0.09355865,1,7.3776817,556,503.5329,0.0,-0.03267192840576172,0.09355865
559.175,489150,1447.4130747577885,704.751519203186,0.009785302,0.08462794,1,7.3745885,557,518.8954,0.0,0.39027637243270874,0.08462794
566.675,492621,1467.9915951637704,709.1278879642487,0.011911823,0.15616238,3,7.372379,560,526.2526,0.0,0.9103903099894524,0.15616238
581.375,495621,1495.3376534964718,713.6006231307983,0.008480219,0.08127526,1,7.352657,561,533.46643,0.0,0.4808657765388489,0.08127526
570.5,497985,1469.4423800442387,718.0275256633759,0.009986684,0.10590874,3,7.359806,564,525.7649,0.0,0.8760861754417419,0.10590874
561.9,500835,1447.563813331461,722.3843672275543,0.009208947,0.09957133,3,7.3419795,567,524.1041,0.0,0.9703013263642788,0.09957133
563.0,504486,1443.1408167321722,726.7359502315521,0.009978982,0.10955371,4,7.3417516,571,525.7042,0.0,0.9466042742133141,0.10955371
537.175,507489,1382.1299656196181,731.0815539360046,0.009947874,0.12707424,4,7.354125,575,504.9431,0.0,0.9189662411808968,0.12707424
545.325,510252,1398.5861495824952,735.4366266727448,0.009185339,0.09155871,2,7.344909,577,510.6501,0.0,0.8080032616853714,0.09155871
512.175,513063,1336.9261720326951,739.7455978393555,0.009034878,0.106766,3,7.3480997,580,487.14795,0.0,0.947401151061058,0.106766
457.3,516552,1220.952499614007,744.0624370574951,0.009170495,0.101214685,4,7.3670497,584,446.3707,0.0,0.9562920704483986,0.101214685
442.65,519687,1197.968931463362,748.4625461101532,0.009995859,0.11445722,3,7.3641806,587,437.14877,0.0,0.9354643449187279,0.11445722
396.375,523146,1084.196497088991,752.8318662643433,0.009484792,0.1064638,4,7.3408804,591,395.90988,0.0,0.9441885463893414,0.1064638
378.55,526194,1042.988715245891,757.1931989192963,0.009870274,0.10902641,3,7.328601,594,378.589,0.0,0.9415659941732883,0.10902641
322.175,529458,891.159998367689,761.6234595775604,0.0111858025,0.10295251,4,7.3304315,598,329.21915,0.0,0.8680962920188904,0.10295251
305.125,532938,860.7806003642894,766.0552139282227,0.010073344,0.095584065,4,7.320358,602,317.1676,0.0,0.9331548810005188,0.095584065
310.4,536340,870.6403973673172,770.4893319606781,0.009530004,0.1032138,3,7.324264,605,315.6652,0.0,0.9093534648418427,0.1032138
308.875,538755,872.4130045626786,774.8557045459747,0.011700266,0.11657558,3,7.323543,608,309.8835,0.0,0.8933022990822792,0.11657558
309.1,541578,865.758380214286,779.230770111084,0.00945709,0.0982444,3,7.3190756,611,307.4472,0.0,0.9302985593676567,0.0982444
321.875,544890,902.6687876753865,783.5545883178711,0.008968085,0.10783271,2,7.304869,613,318.1983,0.0,0.9619198255240917,0.10783271
328.55,548679,922.0483381120373,787.8971688747406,0.010648119,0.12381012,3,7.277479,616,323.63034,0.0,0.9507359825074673,0.12381012
330.5,549912,930.2178231617032,792.3243682384491,0.009728151,0.1045767,1,7.27142,617,326.86572,0.0,0.9147447049617767,0.1045767
343.85,553317,940.0483126139267,796.6553452014923,0.008680459,0.08616257,2,7.2516613,619,331.24872,0.0,0.7010291814804077,0.08616257
354.825,555642,956.4604477440134,801.0301802158356,0.009008706,0.08430946,1,7.245073,620,339.001,0.0,0.9023588597774506,0.08430946
380.425,560289,998.7831750148355,805.4397008419037,0.008734958,0.10062712,2,7.2092767,622,355.3095,0.0,0.596173107624054,0.10062712
399.65,563229,1038.806911586976,809.796266078949,0.009902509,0.27369508,1,7.22961,623,370.64288,0.0,0.9559874497354031,0.27369508
408.975,565629,1044.7800767065069,814.1291315555573,0.009977876,0.09660022,1,7.2287154,624,375.17383,0.0,0.9164853319525719,0.09660022
415.825,569586,1064.9995099915996,818.5297980308533,0.010116264,0.10434669,3,7.2074423,627,385.02744,0.0,0.8886656761169434,0.10434669
435.225,572586,1096.106999553157,822.9346258640289,0.009574755,0.10197821,1,7.206557,628,396.2104,0.0,0.3094988465309143,0.10197821
452.0,575316,1139.8280833812532,827.361730337143,0.010099007,0.11942176,1,7.224735,629,413.07983,0.0,0.8202639073133469,0.11942176
