entropy,EpThisIter,entloss,ev_tdlam_before,TimeElapsed,EpRewMean,surrgain,optimgain,EpisodesSoFar,meankl,EpTrueRewMean,TimestepsSoFar,EpLenMean
3.8349605,1,0.0,0.3569963574409485,473.6895925998688,2303.672387022646,0.045155156,0.045155156,398,0.0076473523,2303.672387022646,409935,875.65
3.816766,1,0.0,-0.0832909345626831,477.4548170566559,2315.6720031943996,0.056627993,0.056627993,399,0.007814622,2315.6720031943996,412935,875.65
3.8241518,1,0.0,0.014589428901672363,481.1012625694275,2321.727903034298,0.04185219,0.04185219,400,0.008204168,2321.727903034298,415935,875.65
3.8152404,1,0.0,0.021397709846496582,484.8241364955902,2320.9675909246175,0.06456084,0.06456084,401,0.009511851,2320.9675909246175,418935,875.65
3.8083498,1,0.0,-0.030599355697631836,488.50597739219666,2326.0307522178578,0.05025094,0.05025094,402,0.007820741,2326.0307522178578,421935,879.45
3.807654,1,0.0,-0.004175901412963867,492.2506592273712,2333.00444468489,0.041517172,0.041517172,403,0.0077637564,2333.00444468489,424935,879.45
3.8082197,1,0.0,0.9225588589906693,495.9056124687195,2358.266905153872,0.063523605,0.063523605,404,0.0072578546,2358.266905153872,427677,883.175
3.8213136,1,0.0,0.9636390060186386,499.63309931755066,2388.4795569962585,0.057589494,0.057589494,405,0.008177617,2388.4795569962585,429903,889.975
3.8001788,2,0.0,0.9517295956611633,503.30536222457886,2404.22730298838,0.05155181,0.05155181,407,0.008576674,2404.22730298838,433020,890.55
3.8022234,1,0.0,0.016693472862243652,506.99620628356934,2438.931529065457,0.046175953,0.046175953,408,0.009090932,2438.931529065457,436020,902.15
3.7876508,1,0.0,-0.01327216625213623,510.64161562919617,2483.291899313085,0.0377654,0.0377654,409,0.008231724,2483.291899313085,439020,913.175
3.7794797,1,0.0,-0.09154856204986572,514.3398332595825,2496.510536229457,0.046738293,0.046738293,410,0.008928917,2496.510536229457,442020,913.175
3.7602544,1,0.0,0.08713275194168091,518.0618278980255,2505.8430866711074,0.057025902,0.057025902,411,0.008587674,2505.8430866711074,445020,913.175
3.750647,1,0.0,0.04710489511489868,521.7512094974518,2515.8272310316197,0.045091204,0.045091204,412,0.007762527,2515.8272310316197,448020,914.1
3.765013,1,0.0,-0.025619864463806152,525.4516322612762,2571.109783536698,0.034706205,0.034706205,413,0.009382164,2571.109783536698,451020,931.225
3.746702,1,0.0,0.003400146961212158,529.1502058506012,2585.429261745094,0.040074356,0.040074356,414,0.008282596,2585.429261745094,454020,931.225
3.7408125,1,0.0,0.9487902820110321,532.9173538684845,2598.382260494048,0.060221188,0.060221188,415,0.007977724,2598.382260494048,456894,930.175
3.7442708,1,0.0,0.8940896391868591,536.608074426651,2634.2634852549536,0.066417664,0.066417664,416,0.0080464035,2634.2634852549536,459894,939.125
3.7808454,1,0.0,-0.01305699348449707,540.316388130188,2646.244828732805,0.04675201,0.04675201,417,0.008576,2646.244828732805,462894,939.125
3.767668,1,0.0,0.041415393352508545,544.0860679149628,2654.6258635440704,0.05080546,0.05080546,418,0.008873183,2654.6258635440704,465894,939.125
3.8101578,1,0.0,0.016523659229278564,547.8377091884613,2665.2664534472397,0.03976897,0.03976897,419,0.0087289335,2665.2664534472397,468894,939.125
3.7793293,1,0.0,-0.005797863006591797,551.4654297828674,2672.993995993445,0.04340816,0.04340816,420,0.009331087,2672.993995993445,471894,939.125
3.764093,1,0.0,-0.048192739486694336,555.1937720775604,2680.495215521503,0.054832168,0.054832168,421,0.008219381,2680.495215521503,474894,939.125
3.7703571,1,0.0,0.02842921018600464,558.8829007148743,2688.16542898104,0.037450086,0.037450086,422,0.00902063,2688.16542898104,477894,939.125
3.7700117,1,0.0,0.03821539878845215,562.6264703273773,2701.1607886977954,0.048398066,0.048398066,423,0.008479972,2701.1607886977954,480894,939.125
3.7983706,1,0.0,0.01317983865737915,566.2791543006897,2708.5247923813977,0.045655377,0.045655377,424,0.009102604,2708.5247923813977,483894,939.125
3.789191,1,0.0,0.015610337257385254,569.9129753112793,2713.290259540584,0.0395592,0.0395592,425,0.009040029,2713.290259540584,486894,939.125
3.78821,1,0.0,0.9209608510136604,573.5234107971191,2711.3204497531647,0.0548233,0.0548233,426,0.008736989,2711.3204497531647,489360,934.675
