surrgain,EpRewMean,EpLenMean,TimestepsSoFar,optimgain,EpThisIter,meankl,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entropy,TimeElapsed,entloss
0.2526992,417.78658993351,85.225,276099,0.2526992,13,0.012352387,1480,417.78658993351,0.9148711264133453,23.360598,805.8678002357483,0.0
0.23384745,414.22127215816136,85.025,279207,0.23384745,12,0.011610111,1492,414.22127215816136,0.9155130237340927,23.36076,814.9389536380768,0.0
0.251642,412.38104501056614,84.75,282288,0.251642,12,0.011148153,1504,412.38104501056614,0.9227467328310013,23.367655,824.005309343338,0.0
0.24276815,416.318045333728,84.925,285351,0.24276815,13,0.011441169,1517,416.318045333728,0.9346320256590843,23.369608,833.0566878318787,0.0
0.26812348,419.44431390788907,85.4,288426,0.26812348,11,0.011993113,1528,419.44431390788907,0.8998846635222435,23.377363,842.0438940525055,0.0
0.27853185,406.31204289321806,82.725,291252,0.27853185,12,0.010841317,1540,406.31204289321806,0.8550426363945007,23.3715,851.0622720718384,0.0
0.24117732,408.0719521957496,83.725,294261,0.24117732,12,0.012226133,1552,408.0719521957496,0.9219482392072678,23.36548,860.2724502086639,0.0
0.24517086,404.5119468283959,82.775,297213,0.24517086,12,0.0125015965,1564,404.5119468283959,0.9059387966990471,23.36263,869.3326501846313,0.0
0.23391658,403.1227054118796,83.125,300327,0.23391658,12,0.012790389,1576,403.1227054118796,0.9307936355471611,23.364506,878.4470789432526,0.0
0.28481975,433.07673950934606,88.8,303603,0.28481975,11,0.013576768,1587,433.07673950934606,0.9270037189126015,23.351984,887.4970757961273,0.0
0.23330483,439.75574646994585,90.0,306741,0.23330483,12,0.011824654,1599,439.75574646994585,0.9165635257959366,23.343487,896.5825605392456,0.0
0.25639403,441.18285336274914,89.95,309846,0.25639403,12,0.0124565745,1611,441.18285336274914,0.918341763317585,23.354315,906.1329379081726,0.0
0.26311404,430.2787249861879,87.075,313050,0.26311404,13,0.012187161,1624,430.2787249861879,0.9386676773428917,23.36115,915.3648624420166,0.0
0.26793697,425.6586290637527,86.875,315915,0.26793697,10,0.01345,1634,425.6586290637527,0.9116958007216454,23.35793,924.6275637149811,0.0
0.26755965,429.10777273701643,87.525,319161,0.26755965,12,0.012709031,1646,429.10777273701643,0.9471622072160244,23.351055,933.8761548995972,0.0
0.22971374,432.41288758028605,87.475,322374,0.22971374,13,0.012181935,1659,432.41288758028605,0.9219236001372337,23.36188,943.096757888794,0.0
0.23777615,413.079935929626,83.15,325470,0.23777615,13,0.0128791,1672,413.079935929626,0.9111842438578606,23.356756,952.256822347641,0.0
0.226088,411.9323344778797,82.275,328791,0.226088,13,0.012117191,1685,411.9323344778797,0.8715715706348419,23.34863,961.3763349056244,0.0
0.23624563,415.7776594430232,84.275,331851,0.23624563,11,0.012395614,1696,415.7776594430232,0.8945952504873276,23.34595,970.5928902626038,0.0
0.2807207,426.3745036024611,86.9,334737,0.2807207,11,0.012438537,1707,426.3745036024611,0.9169644862413406,23.338606,979.8868741989136,0.0
0.24493721,417.59556868474954,86.125,337614,0.24493721,12,0.013258054,1719,417.59556868474954,0.9206520020961761,23.34196,989.0663449764252,0.0
0.25349683,423.991541155077,87.1,340467,0.25349683,10,0.011326417,1729,423.991541155077,0.9355066195130348,23.338873,998.1825122833252,0.0
0.28927797,438.71175048009826,90.25,343623,0.28927797,11,0.014498288,1740,438.71175048009826,0.9142130836844444,23.34157,1007.3440277576447,0.0
0.25728607,435.57281709692523,89.225,346746,0.25728607,12,0.01367644,1752,435.57281709692523,0.8922994434833527,23.334047,1016.5049562454224,0.0
0.26731473,446.0215464331662,91.625,349659,0.26731473,11,0.013880586,1763,446.0215464331662,0.8943188190460205,23.353045,1025.6541531085968,0.0
0.25006306,435.7480819983883,89.0,352761,0.25006306,12,0.012962094,1775,435.7480819983883,0.9230566769838333,23.34912,1034.8146314620972,0.0
0.5037724,423.8283729247387,87.475,356013,0.5037724,12,0.01415573,1787,423.8283729247387,0.9472875334322453,23.353336,1044.0309014320374,0.0
0.33858594,420.0381012972381,87.025,358863,0.33858594,11,0.014287877,1798,420.0381012972381,0.8905546069145203,23.349287,1053.1380379199982,0.0
0.27082595,433.92997147731757,89.85,361971,0.27082595,11,0.0132465735,1809,433.92997147731757,0.9176087900996208,23.349361,1062.4309809207916,0.0
0.14144258,448.4837641965402,91.2,365181,0.14144258,11,0.0038371033,1820,448.4837641965402,0.9153174832463264,23.355244,1071.721117734909,0.0
0.29274395,464.31497963195045,94.875,368304,0.29274395,11,0.012883286,1831,464.31497963195045,0.8455396145582199,23.354023,1080.9398109912872,0.0
0.2580528,454.4247472566415,91.825,371361,0.2580528,12,0.012715358,1843,454.4247472566415,0.9287322089076042,23.352045,1090.0920774936676,0.0
0.24884531,451.2282149767325,90.1,374400,0.24884531,12,0.013271654,1855,451.2282149767325,0.9395740069448948,23.351337,1099.2200899124146,0.0
0.24199285,424.61329407472533,85.075,377514,0.24199285,13,0.012850914,1868,424.61329407472533,0.918421670794487,23.346256,1108.391856431961,0.0
0.24440864,413.08722620030693,82.9,380808,0.24440864,13,0.0133100385,1881,413.08722620030693,0.9386458769440651,23.343489,1117.5094974040985,0.0
0.23210724,413.49060791957993,84.4,383679,0.23210724,11,0.013620064,1892,413.49060791957993,0.9224904179573059,23.340067,1126.7108211517334,0.0
0.26750535,416.4555867529478,84.95,386754,0.26750535,12,0.012780737,1904,416.4555867529478,0.9302989020943642,23.335184,1135.8924174308777,0.0
0.2833003,429.80060459155084,87.275,389670,0.2833003,11,0.013672778,1915,429.80060459155084,0.924721471965313,23.335432,1145.0616788864136,0.0
0.33235598,431.06584955347427,87.4,392808,0.33235598,12,0.014242687,1927,431.06584955347427,0.9347437024116516,23.332783,1154.299460887909,0.0
0.24643213,432.62110211913534,87.025,395742,0.24643213,11,0.012455636,1938,432.62110211913534,0.9124942794442177,23.339664,1163.4942843914032,0.0
0.25745884,435.65473016726844,87.525,399009,0.25745884,12,0.013679331,1950,435.65473016726844,0.9088682755827904,23.344904,1172.7246282100677,0.0
0.25453335,442.80601912645506,89.875,402120,0.25453335,11,0.013474924,1961,442.80601912645506,0.9160798862576485,23.337421,1181.935203075409,0.0
0.27169934,467.5277202255227,95.5,405000,0.27169934,9,0.013577905,1970,467.5277202255227,0.9342807456851006,23.332785,1191.1042263507843,0.0
0.30254704,472.01951286352204,96.85,407994,0.30254704,10,0.013699504,1980,472.01951286352204,0.9143619388341904,23.316095,1200.3231043815613,0.0
0.32411003,480.2988750719592,98.325,411078,0.32411003,11,0.014776985,1991,480.2988750719592,0.9239207804203033,23.312262,1209.4051766395569,0.0
0.2718827,483.30703679934174,98.15,414309,0.2718827,11,0.014316234,2002,483.30703679934174,0.932762123644352,23.300783,1218.5225129127502,0.0
0.2665251,470.28838893373285,95.475,417357,0.2665251,11,0.013107933,2013,470.28838893373285,0.9386466331779957,23.2937,1227.7014842033386,0.0
0.29568395,457.50974843101596,91.4,420462,0.29568395,12,0.013615499,2025,457.50974843101596,0.9221470877528191,23.287336,1236.7434442043304,0.0
0.2680552,467.79067532955213,93.925,423741,0.2680552,10,0.013111564,2035,467.79067532955213,0.9442816860973835,23.28343,1245.8312668800354,0.0
0.28389382,468.7989699984164,95.375,427005,0.28389382,12,0.013981902,2047,468.7989699984164,0.9346516653895378,23.277033,1255.0171132087708,0.0
0.24516194,460.8402927822614,94.25,430074,0.24516194,11,0.012955738,2058,460.8402927822614,0.9112319797277451,23.278975,1264.0624079704285,0.0
0.3466065,474.4283589844854,98.25,433224,0.3466065,10,0.013233574,2068,474.4283589844854,0.9433398321270943,23.284262,1273.1484096050262,0.0
0.25242025,457.47584988230466,93.675,435960,0.25242025,11,0.013061183,2079,457.47584988230466,0.9313480779528618,23.283268,1282.2919254302979,0.0
0.28987223,454.57747851976944,93.225,439002,0.28987223,11,0.013965861,2090,454.57747851976944,0.902598150074482,23.277277,1291.6484196186066,0.0
