surrgain,EpisodesSoFar,TimeElapsed,entropy,EpRewMean,TimestepsSoFar,meankl,entloss,optimgain,EpTrueRewMean,EpThisIter,ev_tdlam_before,EpLenMean
0.07658385,411,638.3842980861664,7.742374,1215.7585848669464,297147,0.008320779,0.0,0.07658385,1215.7585848669464,1,0.32192039489746094,510.55
0.096895814,414,644.7242293357849,7.7380943,1252.5335190232247,301926,0.008231105,0.0,0.096895814,1252.5335190232247,3,0.8994100764393806,524.025
0.09194179,415,651.6295890808105,7.728944,1283.259949953879,304926,0.007949772,0.0,0.09194179,1283.259949953879,1,0.2796694040298462,541.1
0.09464191,418,657.8910512924194,7.708326,1243.8338461633914,308043,0.008630145,0.0,0.09464191,1243.8338461633914,3,0.8893254399299622,521.225
0.0828556,419,665.024653673172,7.6826653,1256.288516812503,311043,0.009878324,0.0,0.0828556,1256.288516812503,1,-0.028865456581115723,527.875
0.08625253,420,671.7438242435455,7.6524196,1295.7642651982385,314043,0.0075671757,0.0,0.08625253,1295.7642651982385,1,0.04084545373916626,547.3
0.08926195,421,678.3232233524323,7.6805453,1338.2058930721328,316476,0.009063829,0.0,0.08926195,1338.2058930721328,1,0.9190676957368851,562.925
0.086978585,424,685.0592632293701,7.6528893,1358.6107373577931,322176,0.0072764703,0.0,0.086978585,1358.6107373577931,3,0.744049459695816,574.325
0.08950062,425,691.9241616725922,7.6547694,1379.726551501588,324039,0.0075424556,0.0,0.08950062,1379.726551501588,1,0.6709783375263214,582.625
0.092722,427,698.7537343502045,7.665359,1411.9471131561816,328968,0.007959491,0.0,0.092722,1411.9471131561816,2,0.5950134694576263,597.075
0.10335802,430,705.2936787605286,7.6865716,1436.6765750465856,333864,0.008362456,0.0,0.10335802,1436.6765750465856,3,0.6855561137199402,609.1
0.07732487,431,711.7615015506744,7.6583376,1465.5698387642908,336447,0.008059415,0.0,0.07732487,1465.5698387642908,1,0.04706466197967529,621.075
0.08895322,432,718.2523055076599,7.667423,1506.3096572899917,338982,0.008390571,0.0,0.08895322,1506.3096572899917,1,0.8004423230886459,633.875
0.11667471,434,724.6056001186371,7.6592374,1532.466773127197,342660,0.008189553,0.0,0.11667471,1532.466773127197,2,0.7410871386528015,639.85
0.12607239,436,731.1303040981293,7.669003,1529.6825918162401,346128,0.008125487,0.0,0.12607239,1529.6825918162401,2,0.7340258061885834,630.825
0.07825452,438,737.648218870163,7.6644278,1534.4303734088082,350316,0.008451828,0.0,0.07825452,1534.4303734088082,2,0.5343194305896759,630.45
0.11379724,439,743.9908735752106,7.6518517,1545.4238292868777,352410,0.008386989,0.0,0.11379724,1545.4238292868777,1,0.4380985498428345,629.125
0.08619887,440,750.5108613967896,7.6534433,1558.7961299007975,355410,0.008006221,0.0,0.08619887,1558.7961299007975,1,-0.049487948417663574,636.1
0.0937836,442,757.0867123603821,7.652955,1532.1877185869196,358206,0.007987278,0.0,0.0937836,1532.1877185869196,2,0.8686464726924896,626.325
0.08913904,443,763.5586743354797,7.645633,1554.9798474614545,360015,0.010251078,0.0,0.08913904,1554.9798474614545,1,0.7940457165241241,633.5
0.10957314,445,770.0233292579651,7.6650395,1515.9039219219715,362136,0.008520601,0.0,0.10957314,1515.9039219219715,2,0.8437395691871643,621.225
0.09939083,447,776.55899310112,7.6459203,1494.5114917971357,364284,0.009257539,0.0,0.09939083,1494.5114917971357,2,0.8743146657943726,614.775
0.071757406,448,783.0515427589417,7.611325,1499.2471909305746,367284,0.009248197,0.0,0.071757406,1499.2471909305746,1,0.5292029976844788,622.8
0.10897602,449,789.7590708732605,7.604801,1535.6693726025326,369786,0.008570812,0.0,0.10897602,1535.6693726025326,1,0.8363618850708008,638.525
0.110131845,450,796.319769859314,7.610351,1554.6608023173746,372093,0.007923072,0.0,0.110131845,1554.6608023173746,1,0.6428828239440918,649.55
0.095582254,452,802.7731080055237,7.6107745,1524.5009550564205,375714,0.008191104,0.0,0.095582254,1524.5009550564205,2,0.9183184653520584,633.65
