optimgain,EpThisIter,EpRewMean,surrgain,EpTrueRewMean,meankl,entropy,entloss,ev_tdlam_before,TimeElapsed,TimestepsSoFar,EpisodesSoFar,EpLenMean
0.053550866,2,814.54694,0.053550866,917.0324520566037,0.0072121173,4.399848,0.0,-0.004402518272399902,218.86162662506104,173613,170,841.325
0.034326985,1,813.2939,0.034326985,917.1444932564478,0.0062749637,4.4143624,0.0,0.003978073596954346,222.61224365234375,176613,171,841.325
0.05714593,1,812.33124,0.05714593,916.999731087787,0.007976737,4.388061,0.0,-0.014181733131408691,226.35479378700256,179613,172,841.325
0.054499768,3,776.23425,0.054499768,879.142908616344,0.006663589,4.389687,0.0,0.019341111183166504,229.9928116798401,184371,175,805.975
0.04345783,1,769.0104,0.04345783,870.8325610982205,0.006189986,4.378074,0.0,0.019828081130981445,233.71497011184692,186474,176,798.5
0.044380277,1,760.9678,0.044380277,862.0884830502688,0.0075047794,4.376837,0.0,0.02372807264328003,237.35547184944153,188568,177,790.95
0.03600201,1,783.2072,0.03600201,885.6323203533777,0.007285855,4.3670254,0.0,0.013701200485229492,241.034606218338,191568,178,813.7
0.031838335,1,782.61554,0.031838335,885.2490108304046,0.00697769,4.4018764,0.0,0.0057637691497802734,244.72929430007935,194568,179,813.7
0.034453392,1,782.2522,0.034453392,884.5924624717827,0.008442354,4.4164076,0.0,0.022996127605438232,248.42700743675232,197568,180,813.7
0.036744833,1,781.5871,0.036744833,883.3286995625352,0.0061485125,4.4277744,0.0,0.013553857803344727,252.023033618927,200568,181,813.7
0.03001439,1,781.20264,0.03001439,882.7492308059691,0.00673218,4.4361796,0.0,0.03484135866165161,255.6326549053192,203568,182,813.7
0.029684637,1,797.1486,0.029684637,899.5591827670876,0.007863812,4.4393377,0.0,0.055760979652404785,259.28715324401855,206568,183,830.65
0.03545226,1,810.58307,0.03545226,913.8904608224424,0.0076535256,4.4586196,0.0,-0.021638989448547363,262.965852022171,209568,184,844.375
0.04489266,2,797.7126,0.04489266,899.390581099233,0.008033322,4.4584146,0.0,0.15127265453338623,266.6122169494629,214023,186,831.5
0.06265626,2,781.33295,0.06265626,880.1314000258992,0.009132978,4.441489,0.0,-0.06665313243865967,270.38118505477905,217311,188,814.85
0.048648596,2,760.39795,0.048648596,856.2970322900508,0.006777904,4.4432154,0.0,0.1376134157180786,274.1455090045929,220704,190,793.125
0.035463654,1,759.999,0.035463654,855.9070234089584,0.007912875,4.4599338,0.0,0.002298295497894287,277.7761266231537,223704,191,793.125
0.044640526,1,759.73584,0.044640526,855.230676981452,0.006058704,4.4840693,0.0,-0.21980440616607666,281.50542402267456,226704,192,793.125
0.032164097,1,759.40405,0.032164097,854.3912956513304,0.0058234856,4.5151725,0.0,0.008474171161651611,285.2212164402008,229704,193,793.125
0.034049794,1,758.77673,0.034049794,852.8666317434318,0.007345183,4.506205,0.0,-0.00540924072265625,288.8849632740021,232704,194,793.125
0.025422731,1,772.1859,0.025422731,866.5127530563102,0.0069330945,4.534571,0.0,0.004930377006530762,292.5463809967041,235704,195,806.75
0.043251257,2,749.2131,0.043251257,840.2574283120964,0.0069406857,4.529968,0.0,0.241227924823761,296.15140438079834,238176,197,782.8
0.038429137,1,749.63214,0.038429137,839.2849709939777,0.010299136,4.4898067,0.0,-0.007737278938293457,299.7435064315796,241176,198,782.8
0.037347343,1,763.0402,0.037347343,852.7076867926149,0.0069018514,4.465494,0.0,0.058155834674835205,303.3871386051178,244176,199,796.35
0.034256607,1,783.3313,0.034256607,874.8955800457734,0.007301463,4.4628906,0.0,0.02253967523574829,307.1133031845093,247176,200,818.375
0.04177548,1,775.54205,0.04177548,865.6876706682439,0.007380761,4.478876,0.0,0.002817809581756592,310.86684799194336,249189,201,810.15
0.03629206,1,796.5367,0.03629206,888.774034459943,0.007135008,4.4787207,0.0,0.000725865364074707,314.49319410324097,252189,202,832.55
0.034969375,1,796.08875,0.034969375,888.7077832234074,0.00804881,4.452581,0.0,0.012576043605804443,318.18840980529785,255189,203,832.55
0.03237216,1,796.66125,0.03237216,888.4232456106341,0.008778804,4.4417095,0.0,0.007039070129394531,321.80722999572754,258189,204,832.55
0.02937661,1,796.36444,0.02937661,888.0982361900635,0.007638266,4.4808955,0.0,0.012601971626281738,325.5549931526184,261189,205,832.55
0.054068692,1,795.9281,0.054068692,887.2768571143694,0.0075961114,4.4646673,0.0,0.02210366725921631,329.3359375,264087,206,831.7
0.049426787,1,795.7347,0.049426787,886.9027155334907,0.0076057864,4.4780483,0.0,-0.07210898399353027,333.05278611183167,267087,207,831.7
0.05003635,2,775.13477,0.05003635,864.1080206467064,0.0077701304,4.4649043,0.0,0.05433917045593262,336.8628897666931,270477,209,809.95
0.026563393,1,796.04364,0.026563393,887.1805339803064,0.007913008,4.4699774,0.0,0.011265397071838379,340.56207966804504,273477,210,832.2
0.0557921,1,796.2406,0.0557921,887.2590482247955,0.007906189,4.5180306,0.0,-0.11783111095428467,344.188848733902,276477,211,832.2
