EpTrueRewMean,EpisodesSoFar,TimestepsSoFar,ev_tdlam_before,entropy,entloss,surrgain,TimeElapsed,EpThisIter,meankl,EpRewMean,optimgain,EpLenMean
2478.306734214049,631,807390,0.6741880774497986,6.215083,0.0,0.10264649,1130.0204956531525,3,0.010092346,554.28174,0.10264649,776.45
2466.2474508266814,632,810093,0.8607759177684784,6.2119737,0.0,0.11447734,1134.527194261551,1,0.010974146,552.8248,0.11447734,773.975
2461.5528394338776,633,813093,0.021004855632781982,6.199021,0.0,0.080522776,1138.9878704547882,1,0.009914055,551.6335,0.080522776,774.1
2455.598669882896,635,817044,0.6728345155715942,6.1637764,0.0,0.09746654,1143.4651312828064,2,0.010784866,551.4149,0.09746654,774.8
2479.740101737786,636,820044,-0.054814934730529785,6.1460757,0.0,0.08882573,1147.9453728199005,1,0.009377866,557.2029,0.08882573,784.075
2412.003865353264,638,823968,0.8684727251529694,6.1871295,0.0,0.12841734,1152.4314663410187,2,0.0102436645,544.50946,0.12841734,766.775
2392.4311993165384,640,826812,0.8594635426998138,6.1632705,0.0,0.113293126,1156.899753332138,2,0.010289731,541.32733,0.113293126,763.175
2267.2047861775236,644,832437,0.7315424382686615,6.1842804,0.0,0.10923375,1161.3425755500793,4,0.009922678,514.6649,0.10923375,729.825
2250.396419132528,645,835437,-0.177079439163208,6.1749115,0.0,0.10348472,1165.8140251636505,1,0.010848641,513.4409,0.10348472,729.825
2230.160278134896,647,839436,0.7071608901023865,6.1530313,0.0,0.092376545,1170.362906217575,2,0.010461686,510.43896,0.092376545,727.85
2211.431428707373,648,841953,0.7582428455352783,6.101945,0.0,0.113334596,1174.8108851909637,1,0.01029188,507.35272,0.113334596,723.825
2241.4859501184314,649,844953,0.8201798647642136,6.0844526,0.0,0.11393161,1179.2688581943512,1,0.011289873,514.36725,0.11393161,734.575
2201.757392981137,650,846702,0.9126841202378273,6.071187,0.0,0.11711909,1183.6855635643005,1,0.011268765,506.83563,0.11711909,724.15
2186.6992329496447,651,849702,0.035785555839538574,6.0676875,0.0,0.08104025,1188.1186728477478,1,0.01066347,505.49356,0.08104025,724.15
2192.1087814761304,652,852702,-0.0003439188003540039,6.098404,0.0,0.07091661,1192.590800523758,1,0.010384122,505.51776,0.07091661,727.0
2194.7959414895367,653,853884,0.8399771600961685,6.0840034,0.0,0.10487851,1197.0346925258636,1,0.0104016345,505.83432,0.10487851,726.8
2243.2654275452296,654,856884,0.025451362133026123,6.1016183,0.0,0.0896919,1201.4731950759888,1,0.010674609,515.4977,0.0896919,741.325
2264.1186028047796,655,859884,0.005483448505401611,6.1506543,0.0,0.081900395,1205.9313666820526,1,0.011229132,519.8893,0.081900395,751.175
2228.24290923871,657,864759,0.5994907915592194,6.110413,0.0,0.08812501,1210.3677849769592,2,0.011549132,511.00302,0.08812501,744.15
2223.473508503036,658,867759,-0.04435014724731445,6.082416,0.0,0.09972169,1214.864247083664,1,0.014175043,510.1857,0.09972169,744.15
2180.1939916015276,659,869070,0.8207456320524216,6.1069136,0.0,0.14847276,1219.321340560913,1,0.012263869,501.40274,0.14847276,730.075
2174.6008165526328,660,869967,0.9754433650523424,6.101055,0.0,0.12879074,1223.7959275245667,1,0.011826926,499.84283,0.12879074,727.55
2212.989192549865,661,872967,0.07911300659179688,6.118881,0.0,1.0649234,1228.219701051712,1,0.012846159,508.19858,1.0649234,739.5
2198.3904673328543,663,877278,0.4082278609275818,6.0875807,0.0,0.09932804,1232.6681096553802,2,0.01129343,505.83105,0.09932804,732.3
2190.6268591653024,665,882054,0.752945214509964,6.080489,0.0,0.097169735,1237.1304833889008,2,0.010303627,503.11377,0.097169735,729.75
2122.7894943991137,667,884757,0.9282893463969231,6.0545707,0.0,0.10374335,1241.558982849121,2,0.010154734,488.93365,0.10374335,702.275
2067.073958694874,669,887637,0.9411631897091866,6.0730596,0.0,0.097401515,1246.0374946594238,2,0.009718434,477.3626,0.097401515,681.225
2109.5282787756864,670,890307,0.8379480838775635,6.074824,0.0,0.12611905,1250.561077594757,1,0.012395144,487.08838,0.12611905,695.8
2177.0401525387124,671,893307,-0.0899573564529419,6.0624347,0.0,0.07757814,1255.0347867012024,1,0.010997053,500.42755,0.07757814,715.975
2138.4735421573196,673,897507,0.6001448929309845,6.0484567,0.0,0.097141966,1259.469269990921,2,0.009485854,492.09366,0.097141966,703.45
2133.0710826115396,675,901005,0.9337025508284569,6.0688925,0.0,0.118572965,1263.9583568572998,2,0.010894271,488.33325,0.118572965,699.675
2146.670140166937,676,904005,-0.02593839168548584,6.050643,0.0,0.08571378,1268.425290107727,1,0.011036972,490.41772,0.08571378,699.675
2176.202186653056,677,906666,0.6967611610889435,6.037984,0.0,0.09705378,1272.8641710281372,1,0.012090267,495.51385,0.09705378,707.05
2201.018084659718,678,909666,-0.18799519538879395,6.043822,0.0,0.09509436,1277.3268501758575,1,0.01143392,499.4292,0.09509436,714.15
2243.175916820903,679,912666,-0.034180402755737305,6.0215263,0.0,0.08893615,1281.7542216777802,1,0.009940894,507.31796,0.08893615,727.5
2284.873570374472,680,915666,-0.0276949405670166,6.0223846,0.0,0.076762855,1286.213926076889,1,0.010322261,514.3087,0.076762855,740.45
2281.0286056188243,682,919632,0.8108088225126266,6.013305,0.0,0.11347125,1290.6200528144836,2,0.013859513,513.6671,0.11347125,737.725
2231.1714598163053,685,922431,0.8294242918491364,6.0255685,0.0,0.09982073,1295.0764594078064,3,0.010213707,502.84634,0.09982073,724.95
2226.496042334261,687,925938,0.9136257469654083,5.99144,0.0,0.12279485,1299.4940254688263,2,0.010519849,502.18457,0.12279485,720.85
2247.2707343982283,688,928938,0.48872363567352295,5.964738,0.0,0.09041187,1303.9613735675812,1,0.010603135,506.74316,0.09041187,724.875
2216.7244301205665,689,930660,0.744249016046524,5.934697,0.0,0.13029872,1308.450813293457,1,0.011682957,500.0479,0.13029872,714.225
2260.1505884448907,690,933660,0.17904508113861084,5.9755244,0.0,0.09179327,1312.9091935157776,1,0.010821098,508.673,0.09179327,724.65
2229.6590865522203,692,937818,0.716125100851059,5.983339,0.0,0.09224803,1317.3933894634247,2,0.010878687,501.02686,0.09224803,709.3
2285.6082442118964,693,940818,0.032000601291656494,5.9375815,0.0,0.090633094,1321.8210451602936,1,0.011259491,511.51642,0.090633094,724.45
2221.480906051796,694,941580,0.8737709820270538,5.92071,0.0,0.09414068,1326.2057619094849,1,0.009889832,498.76367,0.09414068,705.8
2237.5954429551657,695,944580,-0.11058640480041504,5.9202285,0.0,0.089280955,1330.9120826721191,1,0.01052586,500.28915,0.089280955,705.8
2250.6919301887383,696,947580,0.01567661762237549,5.922624,0.0,0.08891043,1335.3392465114594,1,0.012229324,502.32675,0.08891043,705.8
2290.022810128489,697,950580,-0.03899109363555908,5.9301763,0.0,0.08924071,1339.7035293579102,1,0.011131497,508.6622,0.08924071,715.175
2321.808603943088,699,955836,0.6986612379550934,5.921636,0.0,0.10504145,1344.116698026657,2,0.00960038,512.9282,0.10504145,723.05
2378.7643464519538,700,958836,-0.04887080192565918,5.9228354,0.0,0.08982964,1348.505285024643,1,0.013351932,523.7671,0.08982964,740.575
2378.40453405457,701,961836,0.669636458158493,5.893611,0.0,0.102802895,1352.9277110099792,1,0.010504996,523.084,0.102802895,740.575
2380.4830938053587,702,964836,-0.08017146587371826,5.853212,0.0,0.09170944,1357.3476583957672,1,0.012144137,522.124,0.09170944,740.575
2424.4900322906024,703,967836,-0.04434633255004883,5.862798,0.0,0.072651654,1361.767986536026,1,0.010066847,529.7075,0.072651654,754.65
2410.391703615959,705,972369,0.6121721863746643,5.926026,0.0,0.09564742,1366.1449935436249,2,0.010828521,525.53723,0.09564742,752.625
2439.572752204693,706,975369,0.012930691242218018,5.907649,0.0,0.08461948,1370.6446855068207,1,0.010122689,529.37006,0.08461948,762.75
2496.056325234481,707,978369,0.03676348924636841,5.9081416,0.0,0.0883083,1375.1176459789276,1,0.010218537,539.3169,0.0883083,780.1
2527.203775843113,708,981369,-0.15154564380645752,5.8793383,0.0,0.112126,1379.510100364685,1,0.010792494,543.2416,0.112126,789.375
2581.6830311721606,709,984369,0.05971884727478027,5.818293,0.0,0.08564609,1383.9304418563843,1,0.010564677,553.1146,0.08564609,806.1
2601.5398145255353,710,987369,-0.028177618980407715,5.811524,0.0,0.09267315,1388.3073995113373,1,0.013787736,554.92834,0.09267315,808.85
2606.9526524079124,711,990369,-0.010955452919006348,5.8005815,0.0,0.091230795,1392.7538814544678,1,0.0113624325,555.07355,0.091230795,808.85
2606.0032607713247,712,993369,0.13733142614364624,5.830318,0.0,0.09021435,1397.1813867092133,1,0.012026678,553.81067,0.09021435,808.85
2632.761311297492,713,995619,0.8434356600046158,5.8203173,0.0,0.10063417,1401.6007297039032,1,0.009291841,558.9552,0.10063417,817.6
2677.08516419062,714,998619,-0.13482451438903809,5.784185,0.0,0.09457852,1406.051035642624,1,0.0113573335,565.74365,0.09457852,828.75
2712.5714059298075,715,1001619,-0.11018717288970947,5.786056,0.0,0.095772,1410.436027288437,1,0.011547924,571.58234,0.095772,838.45
