EpThisIter,optimgain,EpTrueRewMean,EpisodesSoFar,TimeElapsed,TimestepsSoFar,EpLenMean,EpRewMean,surrgain,entropy,entloss,meankl,ev_tdlam_before
1,0.04087123,882.9016942876755,375,868.864176273346,725853,901.625,853.35876,0.04087123,4.100492,0.0,0.008696344,-0.00557255744934082
1,0.046388876,896.461928508597,376,872.643000125885,728853,915.0,865.8743,0.046388876,4.1316752,0.0,0.007630702,0.03415101766586304
1,0.04314098,912.1005653088339,377,876.3666141033173,731853,930.675,880.03455,0.04314098,4.1581106,0.0,0.007824022,-0.003609299659729004
1,0.05214167,911.7752865443924,378,880.0742738246918,734853,930.675,880.01056,0.05214167,4.1223087,0.0,0.008200195,-0.01962268352508545
1,0.041306846,912.2298056699132,379,883.820526599884,737853,930.675,879.67413,0.041306846,4.1182323,0.0,0.008500762,-0.019069552421569824
1,0.035288632,913.3317383804726,380,887.5165162086487,740853,930.675,879.2542,0.035288632,4.1080637,0.0,0.007788415,-0.005494594573974609
1,0.053350307,913.44704050906,381,891.2913160324097,743853,930.675,879.17126,0.053350307,4.1221085,0.0,0.008133903,-0.03494739532470703
1,0.040828105,913.9760090260937,382,895.0995490550995,746853,930.675,878.81854,0.040828105,4.1296678,0.0,0.007717594,-8.356571197509766e-05
1,0.04350759,914.6180771952643,383,898.8653104305267,749853,930.675,879.0197,0.04350759,4.1282735,0.0,0.0067333635,3.5762786865234375e-06
1,0.057382017,914.9847937328981,384,902.5547363758087,752853,930.675,879.1257,0.057382017,4.0952463,0.0,0.0072612483,-1.2636184692382812e-05
1,0.039272375,915.2375743175842,385,906.2496712207794,755853,930.675,879.29944,0.039272375,4.1078506,0.0,0.008440095,-1.2040138244628906e-05
1,0.043085627,915.1667680755079,386,910.0286371707916,758853,930.675,879.2897,0.043085627,4.111212,0.0,0.008520333,-6.759166717529297e-05
1,0.037397243,915.0685877679119,387,913.7799172401428,761853,930.675,879.19006,0.037397243,4.1160965,0.0,0.008347555,-6.42538070678711e-05
1,0.03378677,915.1359325570372,388,917.5892066955566,764853,930.675,878.9662,0.03378677,4.1178513,0.0,0.00890627,-3.5762786865234375e-07
1,0.068377525,924.6151439585453,389,921.3134875297546,767367,940.05,887.04346,0.068377525,4.11554,0.0,0.008246101,0.2477337121963501
1,0.04323426,924.9656104715687,390,925.0546886920929,770367,940.05,886.90936,0.04323426,4.1340003,0.0,0.00729909,-4.76837158203125e-07
1,0.04194793,925.1531876123711,391,928.8008348941803,773367,940.05,885.41876,0.04194793,4.130738,0.0,0.00836098,-0.0011636018753051758
2,0.04053521,925.113288547732,393,932.586846113205,779367,940.05,884.3701,0.04053521,4.12165,0.0,0.008064682,-3.5762786865234375e-07
1,0.04564473,925.2946657503147,394,936.2652995586395,782367,940.05,884.5798,0.04564473,4.082275,0.0,0.008441884,-0.0002918243408203125
1,0.038588755,925.8101125518506,395,940.0121893882751,785367,940.05,884.9505,0.038588755,4.074317,0.0,0.010011732,-0.0010818243026733398
1,0.05270852,926.4232531897978,396,943.7775497436523,788367,940.05,884.3617,0.05270852,4.0686717,0.0,0.0081787305,-7.939338684082031e-05
1,0.05384159,926.9399492985815,397,947.5440835952759,791367,940.05,884.63684,0.05384159,4.064949,0.0,0.00836147,-0.0001399517059326172
1,0.04457521,927.0423274965724,398,951.338508605957,794367,940.05,883.5453,0.04457521,4.0548463,0.0,0.008475591,-0.02044045925140381
1,0.060531214,926.1268701062065,399,955.0704863071442,797184,938.525,882.4914,0.060531214,4.053863,0.0,0.008863773,0.09536248445510864
1,0.052946635,949.9015301459356,400,958.7997069358826,800184,962.05,905.2235,0.052946635,4.053705,0.0,0.00906863,-0.0737295150756836
1,0.03678438,950.4078531435935,401,962.4878633022308,803184,962.05,905.32794,0.03678438,4.064298,0.0,0.008308235,-0.032641053199768066
