entloss,surrgain,EpLenMean,EpTrueRewMean,EpisodesSoFar,TimestepsSoFar,TimeElapsed,EpThisIter,EpRewMean,ev_tdlam_before,entropy,meankl,optimgain
0.0,0.103694364,735.3,2112.37576785108,699,939918,1376.5291969776154,2,498.14056,0.4879567623138428,7.0508385,0.009982532,0.103694364
0.0,0.10409592,719.45,2068.0321931318035,701,943089,1381.0151410102844,2,485.85562,0.7609066218137741,7.077715,0.011190414,0.10409592
0.0,0.10315202,736.775,2126.3078777620017,703,946935,1385.549542427063,2,496.57465,0.6322598159313202,7.0461264,0.010519661,0.10315202
0.0,0.09368645,756.9,2189.5433834058067,704,949935,1390.094049692154,1,509.3811,-0.21116650104522705,7.0338573,0.009949087,0.09368645
0.0,0.11798909,754.475,2181.6928911655173,706,953271,1394.644462108612,2,507.94946,0.8264978975057602,7.0357623,0.010208953,0.11798909
0.0,0.13113907,753.625,2185.6454610246446,707,954222,1399.1915984153748,1,508.4362,0.7401652038097382,7.0401654,0.009799447,0.13113907
0.0,0.10197115,766.75,2235.7721051962667,709,959250,1403.7312903404236,2,519.08905,0.5435002148151398,7.0582447,0.009236785,0.10197115
0.0,0.09822428,775.025,2255.8069751263806,711,964008,1408.293751001358,2,522.65906,0.6326407194137573,7.046143,0.009471867,0.09822428
0.0,0.10593706,774.175,2250.3298729441062,712,966906,1412.8034496307373,1,519.647,0.7811560481786728,7.0242324,0.010164139,0.10593706
0.0,0.11651815,770.5,2236.5910788081987,714,970560,1417.0326681137085,2,515.411,0.8764470890164375,7.0353436,0.00986582,0.11651815
0.0,0.08072032,774.75,2246.5234091873913,715,973560,1421.1930599212646,1,516.36096,0.010695159435272217,7.050428,0.011900187,0.08072032
0.0,0.11386029,762.35,2194.840940912991,717,975636,1425.1615586280823,2,504.16742,0.8950450643897057,7.0455317,0.011373922,0.11386029
0.0,0.09963486,762.35,2193.698431770229,718,978636,1428.8325550556183,1,504.31323,-0.009628057479858398,7.046391,0.011070585,0.09963486
0.0,0.12539063,728.15,2081.8015894481696,721,983337,1432.5229513645172,3,482.60992,0.8400889933109283,7.0436273,0.010914605,0.12539063
0.0,0.106912866,731.15,2101.81061060302,722,986184,1436.2237577438354,1,486.08234,0.7206015586853027,7.0560346,0.009553708,0.106912866
0.0,0.16698138,725.2,2091.839017584186,723,988470,1440.0488412380219,1,483.09137,0.6999371647834778,7.0304117,0.011480536,0.16698138
0.0,0.097536705,722.15,2088.52329544428,724,991104,1443.6305310726166,1,479.758,0.8446037322282791,7.025822,0.010423437,0.097536705
0.0,0.10121506,722.15,2089.0658091143323,725,994104,1447.2750022411346,1,480.8536,-0.13201391696929932,7.001161,0.0100992145,0.10121506
0.0,0.10522565,712.15,2056.3114197976597,726,995904,1452.729868888855,1,473.8714,0.6618178188800812,6.9823613,0.011763968,0.10522565
0.0,0.11081785,728.5,2120.5410062206524,727,998307,1458.054355621338,1,486.22275,0.8382894694805145,6.980897,0.014066397,0.11081785
0.0,0.117799684,730.25,2115.7861230239423,729,1003557,1462.9230399131775,2,484.14325,0.4464581608772278,6.9688115,0.011167502,0.117799684
