EpLenMean,EpTrueRewMean,surrgain,EpisodesSoFar,TimeElapsed,entropy,TimestepsSoFar,EpRewMean,EpThisIter,meankl,entloss,optimgain,ev_tdlam_before
200.0,200.0,0.00879538,1500,1273.9239563941956,0.44935164,271265,98.98988,5,0.00510492,0.0,0.00879538,0.9050679877400398
198.725,198.725,0.011332951,1505,1278.1598136425018,0.41433758,272214,99.39447,5,0.008446645,0.0,0.011332951,0.804769828915596
198.725,198.725,0.0119152665,1510,1283.0312683582306,0.3987683,273214,98.343094,5,0.0070073605,0.0,0.0119152665,0.8858671113848686
198.725,198.725,0.0053297635,1516,1288.2921559810638,0.3995624,274414,101.28787,6,0.0073879077,0.0,0.0053297635,0.7990491390228271
198.725,198.725,0.004289979,1521,1293.0449199676514,0.4136552,275414,103.285645,5,0.0043024872,0.0,0.004289979,0.8906733617186546
198.725,198.725,0.013731688,1526,1297.6773743629456,0.40853006,276414,104.62996,5,0.0058274707,0.0,0.013731688,0.8928007557988167
198.725,198.725,0.012568021,1531,1303.1997215747833,0.40311903,277414,105.1792,5,0.007899285,0.0,0.012568021,0.939925741404295
198.725,198.725,0.009699734,1536,1308.310776233673,0.4084404,278414,106.34672,5,0.0057930993,0.0,0.009699734,0.8840813860297203
198.725,198.725,0.012767535,1541,1313.2617807388306,0.4303742,279414,105.75127,5,0.009899694,0.0,0.012767535,0.9329675063490868
200.0,200.0,0.0025310318,1546,1317.8346173763275,0.41017628,280414,107.83826,5,0.0070087845,0.0,0.0025310318,0.9172810316085815
200.0,200.0,0.011902209,1551,1322.8069288730621,0.4150952,281414,108.575294,5,0.009122627,0.0,0.011902209,0.9238447546958923
200.0,200.0,0.004362868,1557,1327.2665185928345,0.45025408,282614,105.3116,6,0.0073873987,0.0,0.004362868,0.8612352758646011
199.875,199.875,0.012160784,1562,1331.7966578006744,0.41343307,283609,104.99068,5,0.006648153,0.0,0.012160784,0.918511837720871
199.875,199.875,0.013538971,1567,1336.399698972702,0.44220006,284609,103.86662,5,0.008830493,0.0,0.013538971,0.8843276873230934
199.875,199.875,0.010381386,1572,1341.8856279850006,0.40919518,285609,102.25142,5,0.008352517,0.0,0.010381386,0.8259871304035187
199.875,199.875,0.0041347733,1577,1346.5734269618988,0.44898364,286609,103.0212,5,0.0073455474,0.0,0.0041347733,0.905610017478466
199.875,199.875,0.007194645,1582,1351.419323682785,0.40851358,287609,103.893555,5,0.008885507,0.0,0.007194645,0.901794970035553
199.875,199.875,0.005716417,1587,1356.124082326889,0.41087857,288609,104.426735,5,0.00636473,0.0,0.005716417,0.8352566957473755
199.875,199.875,0.00673362,1592,1360.9702382087708,0.43043232,289609,104.91331,5,0.004419749,0.0,0.00673362,0.8678224384784698
200.0,200.0,0.011262867,1598,1365.2513098716736,0.44611993,290809,106.375145,6,0.0076787444,0.0,0.011262867,0.828014686703682
200.0,200.0,0.005551666,1603,1369.7389044761658,0.45455527,291809,106.25791,5,0.0047480687,0.0,0.005551666,0.963148046284914
200.0,200.0,0.006430462,1608,1374.8974673748016,0.43345815,292809,110.88423,5,0.008121049,0.0,0.006430462,0.8797658756375313
200.0,200.0,0.012425268,1613,1380.0192093849182,0.42987618,293809,114.504234,5,0.008337252,0.0,0.012425268,0.8828645199537277
200.0,200.0,0.005746657,1618,1385.1588914394379,0.42898577,294809,117.20587,5,0.0052220966,0.0,0.005746657,0.9092434570193291
200.0,200.0,0.007909289,1623,1389.7996280193329,0.44576952,295809,121.4713,5,0.007312294,0.0,0.007909289,0.917360357940197
