EpLenMean,EpTrueRewMean,EpisodesSoFar,TimeElapsed,ev_tdlam_before,optimgain,entloss,TimestepsSoFar,entropy,meankl,EpThisIter,EpRewMean,surrgain
423.375,1185.572447188637,482,630.5284752845764,0.9539759904146194,0.10595228,0.0,435924,7.09003,0.008823042,3,425.63834,0.10595228
428.075,1200.7316349192174,484,634.9578015804291,0.9589102678000927,0.104267985,0.0,438357,7.0668473,0.010106333,2,431.496,0.104267985
434.225,1220.8504334295426,486,639.3343088626862,0.9492705538868904,0.11177231,0.0,441378,7.059554,0.008134653,2,437.6001,0.11177231
417.75,1181.3422440715863,491,643.7195448875427,0.8864283636212349,0.093097195,0.0,444966,7.058732,0.00933205,5,423.6002,0.093097195
414.775,1176.6304672610063,494,648.1693451404572,0.9767810702323914,0.12823734,0.0,448563,7.037218,0.009699729,3,421.29083,0.12823734
397.775,1126.337116863947,496,652.6023969650269,0.95358582213521,0.10618296,0.0,450750,7.0183845,0.008783021,2,405.2033,0.10618296
393.15,1114.0172900176822,498,657.0508799552917,0.9045666307210922,0.106514476,0.0,453054,7.001356,0.008124762,2,401.34854,0.106514476
386.575,1092.2068118314517,501,661.462607383728,0.9635558985173702,0.106248096,0.0,455973,6.993361,0.010261919,3,394.50122,0.106248096
387.325,1099.3524337090887,502,665.8567750453949,0.9100894406437874,0.12388746,0.0,457122,6.991573,0.009005036,1,396.6881,0.12388746
387.35,1096.0008462286155,504,670.2640509605408,0.927959255874157,0.09985459,0.0,460047,6.955931,0.007920772,2,396.46097,0.09985459
387.275,1118.0304512767311,506,674.6849224567413,0.9549511149525642,0.12596205,0.0,463272,6.919572,0.008902656,2,399.7588,0.12596205
384.15,1105.7988444495338,509,679.1050848960876,0.95478954911232,0.12947005,0.0,466443,6.921818,0.008824062,3,397.6187,0.12947005
385.875,1104.7420631812577,512,683.5217621326447,0.7998270839452744,0.10541344,0.0,470220,6.9465933,0.008988,3,396.51187,0.10541344
393.05,1121.1898456661052,514,687.96848487854,0.9621302336454391,0.12677997,0.0,472971,6.925978,0.009009994,2,402.0312,0.12677997
409.725,1170.1016059238857,516,692.3690564632416,0.9512678310275078,0.117303446,0.0,477486,6.9286537,0.008822981,2,416.92032,0.117303446
417.775,1196.4643465761965,518,696.7902326583862,0.9583088830113411,0.09793864,0.0,480384,6.933415,0.008633751,2,425.48004,0.09793864
424.1,1212.0987141833643,520,701.2135028839111,0.9777962435036898,0.10881449,0.0,485100,6.9237537,0.009237509,2,431.3382,0.10881449
448.25,1286.8479859860156,522,705.6522834300995,0.9454566612839699,0.14195618,0.0,489714,6.917586,0.011124398,2,454.39005,0.14195618
451.15,1299.3044657376001,524,710.0897903442383,0.9556146748363972,0.111669496,0.0,492495,6.867476,0.009722454,2,455.7538,0.111669496
463.75,1329.5837996751718,526,714.5051939487457,0.8315043151378632,0.058061633,0.0,497028,6.875715,0.00847231,2,464.8124,0.058061633
480.875,1368.7755702802144,529,718.8437132835388,0.6045190691947937,0.10557747,0.0,501819,6.855757,0.009266266,3,477.13242,0.10557747
500.95,1426.575322546632,531,723.24462723732,0.7643441259860992,0.09203136,0.0,505080,6.8488803,0.009498475,2,495.25824,0.09203136
508.875,1442.8133419826572,534,727.6393158435822,0.883674219250679,0.1180349,0.0,509628,6.8385625,0.008244911,3,501.61002,0.1180349
522.275,1475.8116186582427,536,732.0051610469818,0.9329275265336037,0.1449873,0.0,513423,6.837651,0.009016309,2,515.21375,0.1449873
521.05,1473.9095999086508,539,736.3987390995026,0.9670948199927807,0.11976147,0.0,516654,6.807115,0.009383481,3,514.4413,0.11976147
532.675,1510.6740579024445,541,740.7258036136627,0.9495898745954037,0.139819,0.0,519894,6.782047,0.009263499,2,527.13245,0.139819
547.95,1546.3316316209887,542,745.1145567893982,0.8626109212636948,0.1000236,0.0,522876,6.755738,0.009434229,1,538.9019,0.1000236
546.675,1540.5234672225947,543,749.5384829044342,0.9286737963557243,0.110472225,0.0,524115,6.8106837,0.009092498,1,537.527,0.110472225
550.8,1556.7813974842825,544,753.906046628952,0.9547388814389706,0.101528734,0.0,526143,6.780819,0.008651821,1,542.8117,0.101528734
547.975,1544.878809537339,546,758.2471625804901,0.9719844218343496,0.12840793,0.0,529029,6.7810493,0.009578098,2,541.4296,0.12840793
541.725,1518.9855904289925,550,762.6170508861542,0.9248784705996513,0.11102097,0.0,533097,6.755798,0.008950051,4,532.0947,0.11102097
558.525,1564.9159000401037,551,767.042281627655,0.8692602813243866,0.121014945,0.0,536097,6.7511587,0.011128541,1,547.53845,0.121014945
566.625,1587.057748141921,553,771.467556476593,0.9657951034605503,0.10888349,0.0,539589,6.7512856,0.009033065,2,556.9933,0.10888349
556.6,1554.091899602803,555,775.8879294395447,0.9179921671748161,0.11781556,0.0,542622,6.756574,0.010089386,2,549.0227,0.11781556
556.15,1543.7610899615952,556,780.2995703220367,0.6747857630252838,0.09447403,0.0,544224,6.7564874,0.009733105,1,544.84155,0.09447403
555.3,1539.8748484387258,557,784.6444935798645,0.9405312947928905,0.10530431,0.0,545463,6.728703,0.011448844,1,543.7939,0.10530431
537.85,1490.4637259549556,559,789.0637249946594,0.9373665601015091,0.113905065,0.0,547749,6.714543,0.00855268,2,529.4081,0.113905065
535.975,1486.1858738342291,560,793.4390335083008,0.9770459216088057,0.11863879,0.0,549417,6.717168,0.009489518,1,529.39124,0.11863879
514.625,1425.3123651991507,562,797.7849576473236,0.9652338735759258,0.11475901,0.0,551469,6.7244725,0.009138596,2,510.80103,0.11475901
539.775,1496.2570938365463,564,802.2319686412811,0.6663227081298828,0.09014016,0.0,557268,6.696394,0.010372721,2,532.3111,0.09014016
542.425,1501.8726888775968,566,806.6674070358276,0.6447313129901886,0.08740719,0.0,562119,6.6711864,0.0094961375,2,534.94104,0.08740719
535.4,1489.149303458346,568,811.0464403629303,0.958886731415987,0.10039978,0.0,564651,6.6361556,0.009450236,2,530.68054,0.10039978
523.025,1459.1122775781903,571,815.4140901565552,0.9329010397195816,0.10118963,0.0,567843,6.6136622,0.0093459,3,522.08777,0.10118963
523.4,1467.4200661152395,572,819.7972011566162,0.8319316357374191,0.18499777,0.0,570843,6.6105394,0.009803791,1,523.5636,0.18499777
538.875,1514.3053083303523,573,824.2268011569977,0.9224868789315224,0.09736996,0.0,573513,6.608905,0.008296433,1,536.8249,0.09736996
555.3,1563.1940323706249,574,828.6396205425262,0.8209190666675568,0.13279295,0.0,576264,6.582337,0.009537843,1,552.033,0.13279295
566.45,1594.576385435264,575,833.0064234733582,0.7838816791772842,0.08592952,0.0,579264,6.5903783,0.0087881,1,560.2347,0.08592952
573.675,1625.331881680081,576,837.3804502487183,-0.058779358863830566,0.08224371,0.0,582264,6.5436354,0.009245547,1,566.49963,0.08224371
574.1,1629.4694625507304,577,841.7973024845123,0.9126503244042397,0.14500675,0.0,583776,6.5637026,0.010480712,1,568.94543,0.14500675
576.35,1629.035879764076,579,846.1485686302185,0.6744177639484406,0.11445299,0.0,585816,6.5639224,0.010166019,2,567.31726,0.11445299
