entloss,optimgain,TimestepsSoFar,meankl,entropy,EpTrueRewMean,ev_tdlam_before,EpThisIter,TimeElapsed,EpisodesSoFar,surrgain,EpRewMean,EpLenMean
0.0,0.265961,364431,0.012541955,23.448565,430.4430305847879,0.8430957645177841,10,675.3778116703033,1771,0.265961,89.178246,87.8
0.0,0.25758925,367803,0.012307661,23.450422,451.77343545387157,0.8639045804738998,12,681.1408460140228,1783,0.25758925,94.33977,91.475
0.0,0.33958402,370929,0.012593083,23.442217,454.779628848794,0.8464332967996597,11,686.8692166805267,1794,0.33958402,94.89281,92.475
0.0,0.29615486,374169,0.011846523,23.444174,457.22433430352504,0.8929205238819122,12,692.6048884391785,1806,0.29615486,93.686584,93.6
0.0,0.23952867,377181,0.0115378145,23.446026,453.19845340716273,0.8258827924728394,10,698.3313465118408,1816,0.23952867,92.07739,93.375
0.0,0.26107225,380079,0.013358015,23.447817,460.49603120772355,0.8352052569389343,9,704.0392465591431,1825,0.26107225,90.55039,95.425
0.0,0.24833342,383172,0.01336379,23.447832,462.562467715381,0.8455504924058914,12,709.7986507415771,1837,0.24833342,90.279625,94.625
0.0,0.29070807,385947,0.013736041,23.44232,453.19937108293306,0.8499735593795776,11,715.5565066337585,1848,0.29070807,88.827965,92.65
0.0,0.25345558,388926,0.013278659,23.441889,459.4673510212864,0.8413829207420349,10,721.3171300888062,1858,0.25345558,93.017075,91.725
0.0,0.28195375,392007,0.014708882,23.442364,448.2557831555323,0.8134042769670486,12,726.9588758945465,1870,0.28195375,91.39476,89.375
0.0,0.13073167,395139,0.0038512587,23.446959,456.5658360352192,0.8488081991672516,11,732.7227747440338,1881,0.13073167,92.9059,91.575
0.0,0.30369562,398004,0.01291837,23.45042,460.55371703945076,0.879155345261097,10,738.4436531066895,1891,0.30369562,94.94501,92.525
0.0,0.29100192,401148,0.013826037,23.443867,460.4604744144103,0.865554541349411,11,744.2069225311279,1902,0.29100192,94.82863,93.3
0.0,0.2833425,404310,0.013650136,23.44393,466.60431116882063,0.84757399559021,11,749.9351797103882,1913,0.2833425,96.23071,94.7
0.0,0.28232345,407187,0.013560811,23.446613,459.28844936994426,0.8745467662811279,11,755.60671043396,1924,0.28232345,94.84781,93.35
0.0,0.25820997,410295,0.013228879,23.44434,437.4232395256504,0.889563724398613,12,761.3903758525848,1936,0.25820997,87.42597,89.0
0.0,0.27385414,413073,0.01315646,23.440432,427.5656823876158,0.8469416946172714,11,767.1314322948456,1947,0.27385414,87.07512,87.0
0.0,0.27336174,416094,0.013472887,23.436052,436.085839169462,0.8888818100094795,11,772.9327380657196,1958,0.27336174,89.95082,87.575
0.0,0.53582287,419076,0.013463734,23.43459,427.14808933319256,0.8911914452910423,12,778.6440377235413,1970,0.53582287,87.95732,84.65
