EpThisIter,ev_tdlam_before,surrgain,EpisodesSoFar,entropy,EpRewMean,EpTrueRewMean,EpLenMean,meankl,optimgain,entloss,TimestepsSoFar,TimeElapsed
1,0.01079946756362915,0.061455812,412,4.2177105,853.28455,865.2982101923466,889.825,0.008624555,0.061455812,0.0,862470,1067.823852300644
1,-0.034400105476379395,0.053183436,413,4.2179837,866.5114,879.111501561612,904.0,0.009020521,0.053183436,0.0,865470,1071.709656238556
1,-0.0274660587310791,0.04034315,414,4.210723,888.242,900.6597717636098,926.225,0.008313214,0.04034315,0.0,868470,1075.5646138191223
1,0.0265924334526062,0.0531925,415,4.2167354,887.9891,897.0358960311138,926.225,0.007817822,0.0531925,0.0,871470,1079.4387152194977
1,0.16731470823287964,0.06704,416,4.2199483,882.0096,891.3004790353256,918.9,0.00890937,0.06704,0.0,873591,1083.2671530246735
2,0.14367002248764038,0.054962028,418,4.229316,883.9974,895.4324679489209,921.35,0.007906029,0.054962028,0.0,877215,1087.0302562713623
1,-0.05341982841491699,0.052111745,419,4.25049,886.3727,898.9162771594486,923.975,0.008590246,0.052111745,0.0,880215,1090.8149678707123
1,-0.04973602294921875,0.0466596,420,4.242005,885.7537,901.5125211645969,923.975,0.008153403,0.0466596,0.0,883215,1094.6475479602814
1,0.02896052598953247,0.0455167,421,4.2460113,885.12305,899.4593332263601,923.975,0.008342687,0.0455167,0.0,886215,1098.4231476783752
1,0.02556025981903076,0.040092923,422,4.215492,895.21893,913.0844150558765,935.15,0.007731014,0.040092923,0.0,889215,1102.2669322490692
2,0.07369714975357056,0.0535037,424,4.2035837,875.54706,895.0183117319117,913.95,0.00744054,0.0535037,0.0,892671,1106.0524642467499
1,0.8057951033115387,0.07512575,425,4.199104,866.5876,884.6121848509353,905.15,0.00808109,0.07512575,0.0,894615,1109.8154108524323
1,-0.05670273303985596,0.057286885,426,4.197021,865.78015,882.6138641203888,905.15,0.008215421,0.057286885,0.0,897615,1113.6264984607697
1,-0.006901383399963379,0.0588471,427,4.1930165,876.2334,891.7659201556805,915.775,0.008108965,0.0588471,0.0,900615,1117.5213329792023
1,0.7425349056720734,0.06888214,428,4.188882,863.6292,879.310640533288,905.275,0.008393304,0.06888214,0.0,902355,1121.3984899520874
1,0.704774022102356,0.06675178,429,4.1846333,881.23474,897.7015243016491,923.775,0.007327077,0.06675178,0.0,905355,1125.2812719345093
1,-0.05520188808441162,0.05772462,430,4.194131,880.13416,897.1339561018442,923.775,0.008960249,0.05772462,0.0,908355,1129.079995393753
1,-0.01949751377105713,0.053257342,431,4.175417,879.3172,897.7515501573114,923.775,0.009067524,0.053257342,0.0,911355,1132.920634508133
1,-0.009515643119812012,0.053770993,432,4.171416,879.1748,898.4283843053832,923.775,0.008239522,0.053770993,0.0,914355,1136.7099854946136
1,-0.009451746940612793,0.044363685,433,4.2105174,879.5163,898.862933724211,923.775,0.008160586,0.044363685,0.0,917355,1140.5023968219757
1,-0.0054624080657958984,0.042014636,434,4.226533,879.1666,896.2592981292826,923.775,0.007310965,0.042014636,0.0,920355,1144.568091392517
1,-0.006041407585144043,0.053087626,435,4.229676,878.8844,898.7882656696623,923.775,0.009178104,0.053087626,0.0,923355,1148.4613416194916
1,-0.02788400650024414,0.05629626,436,4.2281275,878.13556,897.5717849186491,923.775,0.0073704426,0.05629626,0.0,926355,1152.2409934997559
1,-0.023571491241455078,0.040387142,437,4.220985,878.0869,898.6995651589641,923.775,0.008174277,0.040387142,0.0,929355,1156.1076290607452
1,0.049988627433776855,0.048404705,438,4.224454,879.0036,900.3195980869605,923.775,0.0075635733,0.048404705,0.0,932355,1160.0032110214233
1,-0.18984174728393555,0.04955589,439,4.231011,878.8737,900.3538015421458,923.775,0.00863597,0.04955589,0.0,935355,1163.788464307785
1,-0.061542391777038574,0.049116395,440,4.232055,878.92725,901.0321053534259,923.775,0.008670112,0.049116395,0.0,938355,1167.6823000907898
2,0.37727493047714233,0.058738608,442,4.2587285,863.70245,888.8986478484243,907.1,0.008504656,0.058738608,0.0,942354,1171.5076184272766
1,-0.04311370849609375,0.046308555,443,4.264343,864.306,890.7850194812967,907.1,0.0098383445,0.046308555,0.0,945354,1175.2403252124786
1,-0.06014585494995117,0.059010454,444,4.2618175,863.7793,890.4130382621406,907.1,0.00792769,0.059010454,0.0,948354,1179.1212923526764
1,-0.0029162168502807617,0.04805596,445,4.260796,864.64417,892.2011590067341,907.1,0.008399353,0.04805596,0.0,951354,1183.0120730400085
2,0.6234649121761322,0.070795685,447,4.2683325,840.75165,866.2444109161406,881.125,0.0075950935,0.070795685,0.0,953205,1186.829451084137
1,-0.004500389099121094,0.048669055,448,4.290915,841.70233,867.4920034656458,881.125,0.008787891,0.048669055,0.0,956205,1190.6834263801575
2,0.13629871606826782,0.060414247,450,4.287454,825.1453,849.4157956132176,864.0,0.00786042,0.060414247,0.0,960150,1194.5137221813202
1,-0.010338068008422852,0.04661697,451,4.286201,823.23517,847.7686532149573,864.0,0.00898236,0.04661697,0.0,963150,1198.7576413154602
