surrgain,TimestepsSoFar,ev_tdlam_before,EpRewMean,meankl,entropy,EpTrueRewMean,EpLenMean,entloss,optimgain,EpThisIter,TimeElapsed,EpisodesSoFar
0.07288873,361002,0.8439395278692245,196.2749,0.008249337,3.6925359,937.415549027296,549.0,0.0,0.07288873,2,502.9728331565857,245
0.08655889,365481,0.6190611720085144,198.28616,0.0070841727,3.6868289,951.5673619526976,563.45,0.0,0.08655889,2,507.3221275806427,247
0.09147531,368961,0.7723121047019958,199.57376,0.00917579,3.7146368,959.9596592043457,554.925,0.0,0.09147531,2,511.6396954059601,249
0.08356629,373134,0.8259358257055283,201.83699,0.010291308,3.7130508,977.5510226794711,552.975,0.0,0.08356629,3,515.9849548339844,252
0.055974327,376737,0.49213075637817383,194.8147,0.0092670275,3.689217,953.5011211493238,535.9,0.0,0.055974327,4,520.2300453186035,256
0.06810753,380049,0.8681265264749527,193.29413,0.009242272,3.6993697,951.8781383026848,535.175,0.0,0.06810753,2,524.5052154064178,258
0.07161419,383238,0.815230667591095,187.99588,0.008775417,3.7018437,933.379596387472,511.75,0.0,0.07161419,2,528.7959613800049,260
0.06287341,385506,0.8071497678756714,179.29019,0.00865528,3.7080607,889.6718224619502,483.675,0.0,0.06287341,2,533.1251232624054,262
0.10462059,388452,0.8745541423559189,176.0628,0.009052085,3.7016969,863.4002734116286,464.1,0.0,0.10462059,3,537.4376091957092,265
0.058460694,391176,0.8068158626556396,171.08981,0.009346695,3.7004387,848.6318248693221,456.725,0.0,0.058460694,3,541.6971633434296,268
0.10993123,393504,-0.09288954734802246,178.00137,0.00860664,3.704316,874.9879459349546,470.65,0.0,0.10993123,1,545.9674112796783,269
0.072712265,396411,0.8041421473026276,173.66338,0.0096284775,3.704651,848.609471077353,458.775,0.0,0.072712265,3,550.1583726406097,272
0.10230231,399111,0.8209200501441956,169.52354,0.009514849,3.7045271,829.689738494736,449.4,0.0,0.10230231,2,554.4663960933685,274
0.074422844,402435,0.8116847723722458,170.00851,0.00846901,3.6856363,839.4631094083827,455.525,0.0,0.074422844,3,558.7849593162537,277
0.07756071,405480,0.4913758635520935,161.28311,0.008768442,3.681551,788.2741710394105,428.8,0.0,0.07756071,4,563.03821849823,281
0.064549536,408459,0.8182696104049683,157.66884,0.009824326,3.6659176,773.0183711817896,414.6,0.0,0.064549536,3,567.3685915470123,284
0.07422669,412482,0.8879596441984177,149.39977,0.008983318,3.649202,728.9862183700045,378.725,0.0,0.07422669,4,571.7203750610352,288
0.079047576,414948,0.7936844825744629,147.9562,0.010044729,3.6400673,709.0021054237444,372.775,0.0,0.079047576,2,576.0439786911011,290
0.076320395,418464,0.6700787544250488,146.41861,0.009284259,3.6234453,677.7337700950027,357.575,0.0,0.076320395,4,580.3655631542206,294
0.08471086,421014,0.8161709606647491,151.86203,0.0090120975,3.652047,674.4452251127016,355.1,0.0,0.08471086,3,584.662150144577,297
0.08310153,423621,0.7605272531509399,148.7081,0.009348527,3.6238997,635.9454900928226,336.525,0.0,0.08310153,3,588.9736571311951,300
