EpisodesSoFar,entloss,entropy,optimgain,EpThisIter,TimeElapsed,TimestepsSoFar,EpRewMean,ev_tdlam_before,meankl,surrgain,EpTrueRewMean,EpLenMean
378,0.0,3.6701047,0.046000686,1,469.5315327644348,399933,2398.1333240973895,-0.009720444679260254,0.008527572,0.046000686,2398.1333240973895,833.9
380,0.0,3.6292498,0.047005355,2,473.31146216392517,405105,2382.9114667560366,0.7301203012466431,0.0075862114,0.047005355,2382.9114667560366,827.0
381,0.0,3.6014183,0.048827033,1,476.9862411022186,408105,2427.9384661065947,-0.003951549530029297,0.00913908,0.048827033,2427.9384661065947,844.475
382,0.0,3.5994585,0.053162534,1,480.6701612472534,411105,2457.5501791681772,0.11904126405715942,0.008008153,0.053162534,2457.5501791681772,855.75
383,0.0,3.6045902,0.052478645,1,484.4237518310547,414105,2457.6154864636565,-0.023932814598083496,0.008401888,0.052478645,2457.6154864636565,855.75
384,0.0,3.5637577,0.043818086,1,488.2518298625946,417105,2461.7398479117287,0.024618983268737793,0.009225651,0.043818086,2461.7398479117287,859.4
385,0.0,3.6129215,0.041300055,1,491.95484614372253,420105,2456.863741521033,-0.006252408027648926,0.008077277,0.041300055,2456.863741521033,859.4
386,0.0,3.6085126,0.0510478,1,495.7332515716553,423105,2454.408232039608,0.2595584988594055,0.009079585,0.0510478,2454.408232039608,859.4
388,0.0,3.6096196,0.05549639,2,499.4799907207489,428208,2431.484656501234,0.7242162525653839,0.008990228,0.05549639,2431.484656501234,851.925
389,0.0,3.6251547,0.04402484,1,503.15477561950684,431208,2423.844291258259,-0.06095623970031738,0.008345743,0.04402484,2423.844291258259,851.925
390,0.0,3.5979533,0.046482723,1,506.88087129592896,434208,2424.1888359779923,-0.06907892227172852,0.008482629,0.046482723,2424.1888359779923,851.925
391,0.0,3.588096,0.04082012,1,510.54936242103577,437208,2447.3262230328073,0.05308789014816284,0.007671308,0.04082012,2447.3262230328073,861.5
392,0.0,3.568756,0.047644544,1,514.2237145900726,440208,2442.2131658861076,-0.04177284240722656,0.010620597,0.047644544,2442.2131658861076,861.5
393,0.0,3.5393608,0.05505438,1,517.886604309082,443208,2437.3288270070684,-0.10117006301879883,0.009169789,0.05505438,2437.3288270070684,861.5
394,0.0,3.525634,0.050598282,1,521.6150949001312,446208,2435.62382573491,-0.17610609531402588,0.0078110984,0.050598282,2435.62382573491,861.5
395,0.0,3.508508,0.042225815,1,525.265248298645,449208,2434.517255943931,-0.01890575885772705,0.009098722,0.042225815,2434.517255943931,863.625
396,0.0,3.4980767,0.045211736,1,529.0503852367401,452208,2470.2647730452763,0.027839243412017822,0.0075753266,0.045211736,2470.2647730452763,878.775
397,0.0,3.4889214,0.08071041,1,532.729907989502,453903,2442.302267153928,0.841455414891243,0.008715236,0.08071041,2442.302267153928,867.9
