EpTrueRewMean,ev_tdlam_before,TimestepsSoFar,EpLenMean,meankl,optimgain,EpThisIter,entropy,surrgain,EpisodesSoFar,entloss,TimeElapsed,EpRewMean
537.8625473064603,0.9130973741412163,736851,106.625,0.00400344,0.14504068,10,23.340818,0.14504068,3010,0.0,1371.6567120552063,106.068726
514.7039414544522,0.9247529581189156,739896,101.45,0.0039945906,0.14812678,10,23.339361,0.14812678,3020,0.0,1377.4597842693329,100.857834
524.8908504931106,0.9066159352660179,742932,104.125,0.004536867,0.19665924,9,23.336836,0.19665924,3029,0.0,1383.3541543483734,100.65633
536.3892813184063,0.890391394495964,745905,106.2,0.003911464,0.14450902,9,23.335142,0.14450902,3038,0.0,1389.1274948120117,103.36992
547.7245903104301,0.8671168684959412,748842,107.575,0.003934606,0.16280915,9,23.333334,0.16280915,3047,0.0,1395.0365421772003,104.93514
572.7355777181763,0.8731662184000015,752004,111.95,0.003771769,0.15310292,9,23.330877,0.15310292,3056,0.0,1400.810754776001,107.44061
586.019351586889,0.9123267456889153,755133,114.8,0.0041747894,0.15392487,9,23.328207,0.15392487,3065,0.0,1406.6436388492584,111.06577
559.0808115086509,0.9129070937633514,757962,110.325,0.0042123487,0.16819094,9,23.327883,0.16819094,3074,0.0,1412.5804834365845,108.38689
559.5413023865207,0.8838002234697342,761091,110.475,0.0038637742,0.14465687,9,23.329508,0.14465687,3083,0.0,1418.389694929123,106.75786
578.9790410394395,0.8705364316701889,764412,114.5,0.0039880625,0.15186715,9,23.331318,0.15186715,3092,0.0,1424.118544101715,110.6783
565.8264419924014,0.9255900904536247,767487,111.975,0.014374259,0.28051892,10,23.33138,0.28051892,3102,0.0,1429.9541320800781,109.4588
568.9113266019651,0.8909648880362511,770619,111.65,0.0044564493,0.16819385,10,23.330482,0.16819385,3112,0.0,1435.6926877498627,110.99028
556.6345534443855,0.883854940533638,773784,109.25,0.0041035363,0.16399677,10,23.32839,0.16399677,3122,0.0,1441.3771905899048,109.209885
548.946300624441,0.9157001748681068,776715,107.575,0.0041620373,0.1562208,8,23.327375,0.1562208,3130,0.0,1447.2199320793152,108.62534
569.9216334339004,0.8905265852808952,779865,110.8,0.0044850577,0.13712706,9,23.32731,0.13712706,3139,0.0,1452.9507434368134,112.17192
561.77568666814,0.8965361714363098,782934,109.925,0.014456268,0.30359071,10,23.324724,0.30359071,3149,0.0,1458.7186532020569,110.09082
592.2621143179103,0.8759061768651009,785718,115.65,0.0040166676,0.15914664,7,23.32056,0.15914664,3156,0.0,1464.3700771331787,114.64465
588.329938413912,0.897029347717762,788790,114.9,0.0038331826,0.13224085,9,23.317118,0.13224085,3165,0.0,1470.1061611175537,113.70686
553.5142019226638,0.9039334207773209,791859,108.1,0.0040949807,0.13987646,11,23.316143,0.13987646,3176,0.0,1475.8262729644775,106.82381
542.1858993330436,0.909445695579052,795048,106.325,0.0043030935,0.17277198,11,23.313314,0.17277198,3187,0.0,1481.4130866527557,103.817
512.5418038977072,0.8272059559822083,798288,101.0,0.003950589,0.15346754,10,23.310078,0.15346754,3197,0.0,1487.072049856186,99.43164
494.60159374493776,0.8920319676399231,801429,97.325,0.0041114576,0.13427757,11,23.30939,0.13427757,3208,0.0,1492.7976548671722,96.95182
508.22307179059896,0.9167525544762611,804786,101.675,0.0039295875,0.14065392,10,23.3033,0.14065392,3218,0.0,1498.399616241455,98.85604
526.2383835175908,0.9170715287327766,807642,104.95,0.0041094436,0.1745645,9,23.298826,0.1745645,3227,0.0,1504.0992496013641,102.342606
535.9401392257089,0.9048714563250542,810504,106.6,0.004056664,0.14584765,8,23.295147,0.14584765,3235,0.0,1509.80340051651,102.52057
537.0930753443542,0.8771835938096046,813390,106.075,0.0044263154,0.14848569,10,23.300556,0.14848569,3245,0.0,1515.402992963791,101.137024
545.7987829053245,0.8976558297872543,816462,108.625,0.0039484114,0.15991318,9,23.300535,0.15991318,3254,0.0,1521.1115419864655,104.372025
546.9229648959101,0.869767427444458,819558,107.4,0.004351709,0.17165972,10,23.301271,0.17165972,3264,0.0,1526.7264606952667,103.69441
525.1992435911247,0.8918813318014145,822597,104.1,0.0040579494,0.14362109,10,23.302488,0.14362109,3274,0.0,1532.4690907001495,100.43681
544.1804918845135,0.8693565726280212,825747,108.475,0.004148403,0.15252237,9,23.300032,0.15252237,3283,0.0,1538.1770997047424,102.23125
542.4348505933292,0.8723226636648178,828666,107.45,0.0038495935,0.15731494,9,23.301752,0.15731494,3292,0.0,1543.8165695667267,102.5255
532.0161860307987,0.8918128982186317,831684,105.925,0.003796747,0.15024748,10,23.303144,0.15024748,3302,0.0,1549.5320310592651,99.2084
548.8154889488467,0.8742378950119019,834597,107.925,0.0040729744,0.16288733,9,23.302568,0.16288733,3311,0.0,1555.103257894516,104.1512
548.0087773704736,0.8925871402025223,838113,107.325,0.0045508947,0.16793312,10,23.305845,0.16793312,3321,0.0,1560.7559638023376,105.39514
560.0003008871823,0.9001732021570206,841143,109.65,0.0042020613,0.15364417,9,23.29915,0.15364417,3330,0.0,1566.5109281539917,107.15344
568.1260828359248,0.89217159897089,844377,110.925,0.0042479215,0.15464844,10,23.295572,0.15464844,3340,0.0,1572.0887429714203,109.80098
560.1618954671163,0.8830359056591988,847368,111.15,0.0037944214,0.14388758,9,23.297873,0.14388758,3349,0.0,1577.7925391197205,107.73505
574.3567138604421,0.8920622169971466,850959,114.6,0.014811731,0.31292874,9,23.300028,0.31292874,3358,0.0,1583.3867383003235,108.303024
568.9145597941698,0.875280037522316,853785,114.15,0.003992134,0.14468214,9,23.299868,0.14468214,3367,0.0,1589.1609292030334,105.99443
